Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Mark Moseley,20,21,95.2,1/1,6/6,8/8,5/6,0/0,0/0,48,0
Nick Lowery,19,24,79.2,2/2,4/4,5/5,8/10,0/0,0/0,47,0
Bill Capece,18,23,78.3,0/0,10/11,5/6,1/3,0/0,0/0,51,0
Rolf Benirschke,16,22,72.7,2/2,6/7,0/1,7/7,0/0,0/0,51,0
Uwe von Schamann,15,20,75,0/0,8/9,4/5,3/5,0/0,0/0,47,1
Jim Breech,14,18,77.8,2/2,3/3,5/6,3/5,0/0,0/0,50,1
Jan Stenerud,13,18,72.2,1/1,4/5,5/5,3/6,0/0,0/0,48,1
Joe Danelo,12,21,57.1,0/0,5/5,5/7,2/8,0/0,0/0,45,0
Ray Wersching,12,17,70.6,0/0,1/3,5/6,6/7,0/0,0/0,45,1
Rich Karlis,11,13,84.6,2/2,3/3,3/4,3/4,0/0,0/0,47,1
Pat Leahy,11,17,64.7,1/1,3/5,4/5,3/6,0/0,0/0,49,3
Eddie Murray,11,12,91.7,0/0,6/6,2/2,3/4,0/0,0/0,49,1
Gary Anderson,10,12,83.3,0/0,4/4,1/2,5/5,0/0,0/0,48,1
Chris Bahr,10,16,62.5,1/1,2/3,4/5,3/5,0/0,0/0,43,1
Norm Johnson,10,14,71.4,0/0,3/4,5/6,2/3,0/0,0/0,48,1
Mick Luckhurst,10,14,71.4,0/0,6/6,0/3,2/3,0/0,0/0,51,0
Rafael Septien,10,14,71.4,1/1,3/3,3/4,2/4,0/0,0/0,53,0
Bob Thomas,10,12,83.3,1/1,0/0,4/5,5/5,0/0,0/0,46,0
Mike Lansford,9,15,60,0/0,4/5,5/8,0/0,0/0,0/0,39,0
Rick Danmeier,8,14,57.1,0/0,4/5,1/2,3/6,0/0,0/0,43,1
Efren Herrera,8,14,57.1,1/1,1/2,2/4,4/7,0/0,0/0,49,1
Neil O'Donoghue,8,13,61.5,1/1,2/3,3/3,2/6,0/0,0/0,48,0
Matt Bahr,7,15,46.7,1/1,3/4,1/3,2/7,0/0,0/0,46,3
Tony Franklin,6,9,66.7,0/0,1/1,1/1,4/5,0/0,0/0,47,0
Danny Miller,6,11,54.6,0/0,3/3,0/4,2/3,0/0,0/0,58,2
Mike Wood,6,10,60,0/0,0/1,3/5,2/3,0/0,0/0,51,2
John Smith,5,8,62.5,0/1,2/2,2/2,1/3,0/0,0/0,42,1
Toni Fritsch,4,7,57.1,1/1,1/2,0/1,2/3,0/0,0/0,42,1
Florian Kempf,4,6,66.7,0/0,1/1,3/3,0/1,0/0,0/0,37,0
John Roveto,4,13,30.8,1/1,0/0,0/4,2/4,0/0,0/0,51,1
Morten Andersen,2,5,40,0/0,0/0,1/1,1/3,0/0,0/0,45,0
Nick Mike-Mayer,1,4,25,0/0,1/2,0/0,0/2,0/0,0/0,21,0
Rex Robinson,1,2,50,0/0,1/1,0/1,0/0,0/0,0/0,24,0
Steve Cox,0,1,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
Russell Erxleben,0,1,0,0/0,0/1,0/0,0/0,0/0,0/0,0,0
