Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Saints,652,440,67.5,6.8,4423,28,18,89.4,232,35.6,47,8,58,16,109
Cardinals,590,356,60.3,7.2,4228,32,24,83.4,210,35.6,52,7,62,24,163
Seahawks,590,371,62.9,7.1,4181,30,13,91.8,211,35.8,51,8,65T,36,217
Lions,587,368,62.7,7.2,4216,19,22,79.4,203,34.6,47,8,91T,54,338
Patriots,586,403,68.8,8.3,4859,50,9,116,243,41.5,57,15,69T,21,128
Packers,578,383,66.3,7.7,4461,30,15,96,210,36.3,52,17,82,19,127
Eagles,577,350,60.7,6.9,4005,24,15,84.6,186,32.2,43,11,75,49,250
Bengals,575,373,64.9,7.2,4131,26,20,86.7,213,37,51,8,70T,17,119
Rams,574,333,58,6.2,3561,19,28,67,193,33.6,42,1,40T,48,328
Bears,569,327,57.5,6.5,3701,18,21,72.2,168,29.5,44,8,81,43,339
Chiefs,563,335,59.5,6.3,3525,17,20,73,171,30.4,40,2,58T,55,344
Dolphins,558,318,57,6,3319,12,16,69.6,162,29,41,3,64,42,288
Ravens,557,341,61.2,5.9,3308,13,14,75.2,175,31.4,23,5,79T,39,273
Falcons,555,336,60.5,6.4,3573,18,15,78.9,161,29,42,6,74,47,277
Colts,551,355,64.4,7.6,4172,32,14,96.1,212,38.5,53,9,73T,23,139
Browns,545,305,56,7.1,3866,29,20,80.7,192,35.2,53,6,78T,19,140
Giants,544,302,55.5,6.2,3376,23,20,73,167,30.7,36,6,60T,28,222
Cowboys,531,342,64.4,8.1,4290,36,19,97.1,217,40.9,56,11,59T,25,185
Texans,529,346,65.4,7.4,3925,24,21,86.1,190,35.9,40,10,77,22,174
Redskins,525,319,60.8,6.9,3622,18,11,84.2,192,36.6,43,6,54T,29,159
Broncos,515,326,63.3,7.3,3759,21,15,86.7,187,36.3,42,7,68,32,175
Niners,513,274,53.4,5.2,2685,15,17,64.3,140,27.3,30,4,57T,55,365
Jets,512,310,60.6,6.5,3330,15,19,73.9,173,33.8,38,7,57T,53,316
Panthers,505,285,56.4,5.8,2941,19,17,71.9,142,28.1,28,9,74,33,206
Buccaneers,490,316,64.5,7.3,3579,18,8,91.7,162,33.1,41,11,69T,36,222
Chargers,471,281,59.7,6.7,3175,22,16,81.3,158,33.6,44,4,49,24,170
Jaguars,469,288,61.4,7.4,3495,28,8,97.1,180,38.4,44,8,80,31,167
Titans,464,288,62.1,6.6,3077,9,17,72.6,171,36.8,28,7,73,30,199
Raiders,451,260,57.6,6.4,2893,17,20,70.9,133,29.5,31,6,59,41,262
Bills,445,263,59.1,6.4,2842,12,14,73.8,141,31.7,33,6,85,26,208
Steelers,442,282,63.8,7.7,3418,34,14,99.9,179,40.5,43,7,83T,47,347
Vikings,432,249,57.6,6.8,2938,12,14,74.2,139,32.2,25,8,79,38,193
