Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
Saints,440,4423,10,28,47,8,58,232,52.7,4
Patriots,403,4859,12.1,50,57,15,69,243,60.3,4
Packers,383,4461,11.6,30,52,17,82,210,54.8,9
Bengals,373,4131,11.1,26,51,8,70,213,57.1,5
Seahawks,371,4181,11.3,30,51,8,65,211,56.9,2
Lions,368,4216,11.5,19,47,8,91,203,55.2,6
Cardinals,356,4228,11.9,32,52,7,62,210,59,7
Colts,355,4172,11.8,32,53,9,73,212,59.7,5
Eagles,350,4005,11.4,24,43,11,75,186,53.1,3
Texans,346,3925,11.3,24,40,10,77,190,54.9,10
Cowboys,342,4290,12.5,36,56,11,59,217,63.4,4
Ravens,341,3308,9.7,13,23,5,79,175,51.3,3
Falcons,336,3573,10.6,18,42,6,74,161,47.9,4
Chiefs,335,3525,10.5,17,39,2,58,171,51,6
Rams,333,3561,10.7,19,42,1,40,192,57.7,5
Bears,327,3701,11.3,18,44,8,81,168,51.4,4
Broncos,326,3759,11.5,21,41,7,68T,187,57.4,6
Redskins,319,3622,11.4,18,43,6,54T,192,60.2,4
Dolphins,318,3319,10.4,12,41,3,64,162,50.9,2
Buccaneers,316,3579,11.3,18,41,11,69,162,51.3,6
Jets,310,3330,10.7,15,38,7,57,173,55.8,2
Browns,305,3866,12.7,29,53,6,78T,192,63,6
Giants,302,3376,11.2,23,36,6,60T,167,55.3,2
Titans,288,3077,10.7,9,28,7,73T,171,59.4,5
Jaguars,288,3495,12.1,28,44,8,80,180,62.5,4
Panthers,285,2941,10.3,19,28,9,74T,142,49.8,7
Steelers,282,3418,12.1,34,43,7,83,179,63.5,1
Chargers,281,3175,11.3,22,44,4,49T,158,56.2,2
Niners,274,2685,9.8,15,30,4,57,140,51.1,6
Bills,263,2842,10.8,12,33,6,85,141,53.6,4
Raiders,260,2893,11.1,17,31,6,59T,133,51.2,2
Vikings,249,2938,11.8,12,25,8,79,139,55.8,5
