Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Andre Johnson,103,1147,5,15,3,53,55,53.4,1,423,166
Mike Furrey,98,1086,6,9,0,31,54,55.1,1,259,143
Marvin Harrison,95,1366,12,18,4,68,78,82.1,1,284,147
Torry Holt,93,1188,10,14,2,67,67,72,2,270,178
Donald Driver,92,1295,8,21,5,82,53,57.6,1,491,171
Laveranues Coles,91,1098,6,12,3,58,52,57.1,1,281,151
T.J. Houshmandzadeh,90,1081,9,19,1,40,58,64.4,0,324,132
Steven Jackson,90,806,3,7,1,64,31,34.4,2,779,110
Kellen Winslow,89,875,3,11,1,40,42,47.2,1,337,120
Reggie Bush,88,742,2,5,2,74,32,36.4,0,710,119
Chad Johnson,87,1369,7,16,8,74,66,75.9,1,313,151
Reggie Wayne,86,1310,9,18,2,51,72,83.7,1,189,137
Terrell Owens,85,1180,13,18,4,56,62,72.9,0,378,153
Anquan Boldin,83,1203,4,18,4,64,53,63.9,0,485,153
Steve Smith,83,1166,8,17,4,72,51,61.4,0,459,140
Jerricho Cotchery,82,961,6,12,1,71,53,64.6,0,354,124
Lee Evans,82,1292,8,15,6,83,53,64.6,1,350,138
Roy Williams,82,1310,7,24,3,60,66,80.5,2,309,152
Brian Westbrook,77,699,4,9,1,52,30,39,1,631,111
Isaac Bruce,74,1098,3,23,4,45,54,73,0,278,125
Hines Ward,74,975,6,13,2,70,50,67.6,2,349,125
Tony Gonzalez,73,900,5,9,1,57,54,74,1,287,104
Todd Heap,73,765,6,7,0,30,40,54.8,0,266,116
Antonio Gates,71,924,9,14,1,57,49,69,0,312,118
Marques Colston,70,1038,8,15,3,86,51,72.9,0,368,115
Terry Glenn,70,1047,6,14,5,54,47,67.1,0,266,112
Keyshawn Johnson,70,815,4,8,1,40,42,60,1,207,125
Larry Fitzgerald,69,946,6,11,2,57,52,75.4,0,218,111
Javon Walker,69,1084,8,16,4,83,53,76.8,0,339,125
Derrick Mason,68,750,2,7,0,38,45,66.2,1,142,110
Mark Clayton,67,939,5,11,5,87,42,62.7,0,357,112
Wes Welker,67,687,1,9,0,38,33,49.2,0,273,99
Jeremy Shockey,66,623,7,2,0,25,37,56.1,0,192,114
Jason Witten,64,754,1,10,1,42,37,57.8,0,254,92
Plaxico Burress,63,988,10,17,6,55,44,69.8,2,219,124
Darrell Jackson,63,956,10,13,6,72,44,69.8,1,237,111
Ronald Curry,62,727,1,8,0,39,40,64.5,0,205,90
Joey Galloway,62,1057,7,17,6,64,44,71,0,289,141
Randy McMichael,62,640,3,5,0,24,35,56.4,0,302,96
Reche Caldwell,61,760,4,11,3,62,41,67.2,1,202,103
Braylon Edwards,61,884,6,13,4,75,38,62.3,0,316,125
Frank Gore,61,485,1,4,0,39,20,32.8,1,459,86
Kevin Jones,61,520,2,5,0,26,27,44.3,1,542,78
Muhsin Muhammad,60,863,5,16,1,40,45,75,1,168,116
Arnaz Battle,59,686,3,4,2,56,36,61,1,245,84
Chris Chambers,59,677,4,9,2,46,36,61,0,191,150
Tiki Barber,58,465,0,2,0,28,23,39.7,0,483,80
Chris Cooley,57,734,6,12,2,66,33,57.9,0,413,94
Eric Moulds,57,557,1,6,0,29,33,57.9,1,212,78
Travis Taylor,57,651,3,11,0,36,29,50.9,2,197,87
Alge Crumpler,56,780,8,13,2,46,38,67.9,0,262,101
LaDainian Tomlinson,56,508,3,4,1,51,22,39.3,0,544,80
Marty Booker,55,747,6,7,3,52,36,65.4,0,278,90
Santana Moss,55,790,6,11,4,68,36,65.4,1,234,101
Ladell Betts,53,445,1,4,0,34,22,41.5,2,474,64
Deion Branch,53,725,4,8,0,38,40,75.5,0,185,102
Eddie Kennison,53,860,5,15,2,51,41,77.4,0,155,102
Rod Smith,52,512,3,1,0,20,33,63.5,2,146,94
Reggie Williams,52,616,4,7,1,48,28,53.8,0,279,91
Bernard Berrian,51,775,6,11,6,62,32,62.8,2,202,99
L.J. Smith,50,611,5,9,2,65,29,58,0,312,80
Santonio Holmes,49,824,2,12,3,67,41,83.7,0,340,86
Peerless Price,49,402,3,3,0,25,20,40.8,1,130,76
Benjamin Watson,49,643,3,10,2,40,32,65.3,3,228,91
Eric Parker,48,659,0,8,0,38,35,72.9,0,128,70
Michael Pittman,47,405,0,3,0,25,15,31.9,0,314,74
Drew Bennett,46,737,3,13,0,39,36,78.3,2,151,97
Reggie Brown,46,816,8,15,6,60,34,73.9,0,199,92
Maurice Jones-Drew,46,436,2,5,1,51,16,34.8,0,426,62
Ahman Green,46,373,1,1,0,20,14,30.4,2,421,63
Mewelde Moore,46,468,1,5,2,50,15,32.6,0,470,62
Jermaine Wiggins,46,386,1,4,0,24,19,41.3,1,127,66
Desmond Clark,45,626,6,7,0,33,35,77.8,0,215,79
D.J. Hackett,45,610,4,9,1,47,33,73.3,0,206,67
Greg Jennings,45,632,3,10,2,75,30,66.7,1,269,104
Troy Brown,43,384,4,2,0,23,28,65.1,0,184,75
Kevin Faulk,43,356,2,2,1,43,15,34.9,0,258,56
Randy Moss,42,553,3,6,1,51,29,69,0,117,95
Chester Taylor,42,288,0,2,0,24,16,38.1,1,300,51
Larry Johnson,41,410,2,4,1,78,21,51.2,0,455,67
Matt Jones,41,643,4,13,1,49,33,80.5,1,180,76
Samie Parker,41,561,1,8,1,43,33,80.5,0,141,68
Joseph Addai,40,325,1,3,0,21,20,50,0,296,49
Antonio Bryant,40,733,3,15,3,72,31,77.5,0,169,91
Kevin Curtis,40,479,4,7,1,42,27,67.5,0,124,57
Bryant Johnson,40,740,4,14,5,58,30,75,0,241,73
Joe Jurevicius,40,495,3,2,1,52,31,77.5,0,131,63
Michael Jenkins,39,436,7,4,0,34,22,56.4,0,93,83
George Wrighster,39,353,3,3,0,23,21,53.8,0,124,64
Edgerrin James,38,217,0,0,0,14,9,23.7,0,187,61
Donte' Stallworth,38,725,5,14,4,84,30,79,0,208,78
Joe Horn,37,679,4,10,3,72,28,75.7,0,168,59
Ben Utecht,37,377,0,2,0,26,18,48.6,1,178,53
Troy Williamson,37,455,0,6,1,46,22,59.5,0,179,76
Cedrick Wilson,37,504,1,5,0,38,25,67.6,1,107,69
Patrick Crayton,36,516,4,7,2,53,28,77.8,1,193,48
Steve Heiden,36,249,2,0,0,13,9,25,0,157,45
Chris Henry,36,605,9,9,5,71,27,75,0,172,76
Thomas Jones,36,154,0,1,0,21,5,13.9,0,252,47
Keenan McCardell,36,437,0,3,0,28,24,66.7,1,75,51
Dominic Rhodes,36,251,0,1,0,27,9,25,1,218,46
Ernest Wilford,36,524,2,6,2,41,27,75,1,125,73
Alex Smith,35,250,3,3,0,27,12,34.3,1,111,52
Nate Washington,35,624,4,11,4,49,28,80,0,117,70
Owen Daniels,34,352,5,4,0,33,21,61.8,0,182,50
Ike Hilliard,34,339,2,2,1,44,19,55.9,0,147,53
Eric Johnson,34,292,2,2,0,26,15,44.1,0,144,48
Heath Miller,34,393,5,3,1,87,21,61.8,0,187,55
Josh Reed,34,410,2,6,1,52,21,61.8,0,152,48
Ronnie Brown,33,276,0,2,0,24,12,36.4,0,267,37
Michael Clayton,33,356,1,2,0,27,22,66.7,1,108,65
Wali Lundy,33,204,0,0,0,15,7,21.2,0,282,39
Bobby Wade,33,461,2,8,0,25,22,66.7,0,161,58
DeAngelo Williams,33,313,1,3,1,41,11,33.3,0,330,36
DeShaun Foster,32,159,0,0,0,14,3,9.4,1,169,46
Devery Henderson,32,745,5,14,8,76,28,87.5,0,205,54
Antwaan Randle El,32,351,3,4,0,34,20,62.5,1,75,62
Amani Toomer,32,360,3,4,1,44,22,68.8,0,44,51
Chris Baker,31,300,4,2,0,28,18,58.1,0,129,45
Willie Parker,31,222,3,2,0,25,12,38.7,1,259,42
Dallas Clark,30,367,4,6,1,40,22,73.3,0,131,58
Doug Gabriel,30,428,3,6,1,45,18,60,1,164,55
Deuce McAllister,30,198,0,2,0,24,8,26.7,1,204,36
Roddy White,30,506,0,8,5,55,19,63.3,1,78,65
Cadillac Williams,30,196,0,1,0,21,4,13.3,1,213,42
Noah Herron,29,211,2,0,0,16,12,41.4,1,218,35
Marcus Robinson,29,381,4,7,1,40,20,69,2,108,58
Bo Scaife,29,370,2,6,0,34,18,62.1,1,151,57
Mack Strong,29,159,0,0,0,13,4,13.8,2,127,42
Drew Carter,28,357,3,5,1,42,14,50,0,77,51
Ashley Lelie,28,430,1,6,2,51,21,75,0,68,68
Randal Williams,28,293,0,3,0,28,14,50,2,78,56
Reuben Droughns,27,169,0,1,0,24,10,37,0,227,33
Vincent Jackson,27,453,6,7,2,55,19,70.4,0,73,55
Brandon Jones,27,384,4,5,1,53,21,77.8,0,77,56
Alvis Whitted,27,299,0,3,0,33,17,63,1,31,60
Dante Hall,26,204,2,0,0,19,15,57.7,0,68,40
Courtney Anderson,25,285,2,3,0,35,14,56,1,91,44
Bubba Franks,25,232,0,0,0,19,13,52,2,117,53
Jason McKie,25,162,0,1,0,26,7,28,0,149,37
Leon Washington,25,270,0,4,2,64,7,28,1,267,31
Tatum Bell,24,115,0,0,0,16,5,20.8,2,157,31
Correll Buckhalter,24,256,1,3,1,55,11,45.8,1,211,28
Bobby Engram,24,290,1,6,0,25,15,62.5,0,70,36
Greg Lewis,24,348,2,4,1,45,20,83.3,1,80,37
Marion Barber,23,196,2,2,0,26,8,34.8,0,163,32
Terrance Copper,23,385,3,9,2,48,18,78.3,2,91,42
Justin Griffith,23,168,3,0,0,16,12,52.2,1,146,28
Rudi Johnson,23,124,0,0,0,18,4,17.4,0,122,31
Brandon Lloyd,23,365,0,4,3,52,15,65.2,1,63,56
Justin McCareins,23,347,1,7,3,50,12,52.2,1,92,40
Billy McMullen,23,307,2,4,1,40,14,60.9,0,90,42
Roscoe Parrish,23,320,2,5,2,51,10,43.5,1,123,40
Robert Royal,23,233,3,4,0,33,13,56.5,0,106,39
Fred Taylor,23,242,1,4,0,36,8,34.8,1,259,28
Troy Walters,23,209,2,2,0,26,13,56.5,0,86,34
Kenny Watson,23,213,0,2,1,46,12,52.2,0,258,32
Hank Baskett,22,464,2,6,2,89,17,77.3,0,172,42
Tim Carter,22,253,2,3,0,27,13,59.1,1,32,49
Rashied Davis,22,303,2,6,0,31,16,72.7,0,51,56
Warrick Dunn,22,170,1,0,0,18,11,50,0,159,26
Laurence Maroney,22,194,1,3,0,31,11,50,0,220,30
Dennis Northcutt,22,228,0,3,1,43,10,45.4,0,91,45
Musa Smith,22,135,0,1,0,30,6,27.3,0,159,25
Jerramy Stevens,22,231,4,2,0,26,12,54.6,1,61,48
Anthony Thomas,22,139,0,0,0,18,6,27.3,0,151,24
Demetrius Williams,22,396,2,9,1,77,18,81.8,0,122,44
Mike Alstott,21,85,0,0,0,18,6,28.6,0,105,38
Dan Campbell,21,308,4,9,0,30,16,76.2,0,121,32
Daniel Graham,21,235,2,3,0,29,12,57.1,1,105,34
Derek Hagan,21,221,1,1,0,24,13,61.9,0,56,37
Reggie Kelly,21,254,1,3,0,32,12,57.1,0,89,32
Kris Mangum,21,170,1,0,0,19,11,52.4,0,78,32
David Martin,21,198,2,2,0,23,13,61.9,0,78,35
Ruvell Martin,21,358,1,7,0,36,16,76.2,0,108,42
Sammy Morris,21,162,0,2,1,44,8,38.1,2,151,35
Ovie Mughelli,21,182,2,2,0,30,7,33.3,1,143,24
Mike Bell,20,158,0,2,0,24,5,25,0,197,27
Vernon Davis,20,265,3,5,2,52,9,45,1,121,42
Brad Hoover,20,122,0,0,0,16,4,20,0,68,28
Joe Klopfenstein,20,226,1,3,0,28,9,45,0,96,34
ReShard Lee,20,138,0,0,0,15,8,40,0,126,25
Brandon Marshall,20,309,2,3,1,71,14,70,1,106,37
Daniel Wilcox,20,166,3,1,0,35,12,60,2,81,26
Aaron Stecker,19,190,0,3,1,48,9,47.4,0,83,27
David Tyree,19,197,2,1,0,33,10,52.6,0,45,34
Stephen Alexander,18,160,2,1,0,24,10,55.6,0,91,34
Anthony Becht,18,115,1,0,0,13,4,22.2,1,55,26
Nate Burleson,18,192,2,2,0,36,9,50,0,31,36
Mark Campbell,18,164,0,2,0,33,9,50,0,86,29
Jameel Cook,18,107,0,0,0,15,5,27.8,2,104,26
Bryan Fletcher,18,202,2,3,0,26,12,66.7,0,85,25
Arlen Harris,18,132,0,2,0,20,4,22.2,0,95,25
Verron Haynes,18,95,0,0,0,16,4,22.2,0,92,22
Travis Henry,18,78,0,0,0,12,2,11.1,0,106,25
Jamal Lewis,18,115,0,0,0,15,5,27.8,0,136,26
Willis McGahee,18,156,0,2,1,56,4,22.2,0,205,25
Tony Scheffler,18,286,4,6,0,29,15,83.3,0,73,37
Mike Sellers,18,105,1,0,0,15,6,33.3,1,86,22
Obafemi Ayanbadejo,17,139,0,1,0,27,7,41.2,1,129,19
Samkon Gado,17,85,0,0,0,19,3,17.6,0,81,22
Az-Zahir Hakim,17,147,0,2,0,23,6,35.3,0,60,27
Vernand Morency,17,118,0,1,0,29,4,23.5,0,125,18
Lorenzo Neal,17,83,0,1,0,21,3,17.6,1,98,26
Clinton Portis,17,170,0,2,1,74,5,29.4,0,193,25
Kevin Walter,17,160,0,0,0,15,12,70.6,1,53,21
Tim Dwight,16,112,0,0,0,15,7,43.8,0,59,19
Justin Peelle,16,116,1,1,0,25,5,31.2,0,66,18
Leonard Pope,16,161,0,2,0,33,7,43.8,0,85,24
Thomas Tapeh,16,85,1,0,0,15,3,18.8,0,70,25
Adam Bergen,15,111,1,0,0,17,5,33.3,2,43,24
Najeh Davenport,15,193,1,2,0,32,9,60,0,193,21
Corey Dillon,15,147,0,2,1,52,5,33.3,0,176,16
Malcom Floyd,15,210,3,3,1,46,9,60,0,53,31
Michael Gaines,15,146,0,0,0,19,9,60,0,68,28
Ahmard Hall,15,138,0,2,0,28,6,40,1,132,21
Mike Karney,15,96,2,0,0,12,6,40,0,84,20
Kris Wilson,15,132,3,0,0,19,11,73.3,0,93,24
Corey Bradford,14,164,0,3,0,23,9,64.3,1,22,25
Mark Bradley,14,282,3,4,2,75,10,71.4,0,105,23
Ron Dayne,14,77,0,0,0,13,3,21.4,0,89,17
Anthony Fasano,14,126,0,1,0,22,4,28.6,0,57,24
Tony Fisher,14,159,0,2,2,49,5,35.7,0,163,18
Brandon Manumaleuna,14,91,3,0,0,19,6,42.9,0,71,17
Billy Miller,14,129,0,1,0,22,7,50,1,43,23
Matt Schobel,14,214,2,3,2,60,9,64.3,0,125,22
Tony Stewart,14,120,1,1,0,26,5,35.7,0,52,18
LenDale White,14,60,0,0,0,13,1,7.1,0,92,20
Justin Fargas,13,91,0,1,0,21,3,23.1,0,89,21
Maurice Hicks,13,137,1,1,0,33,6,46.2,0,143,15
Chad Jackson,13,152,3,4,0,35,6,46.2,0,55,19
Marcedes Lewis,13,126,1,1,0,31,6,46.2,0,47,21
Shaun McDonald,13,136,1,3,0,28,6,46.2,1,16,19
Jeb Putzier,13,125,0,1,0,26,6,46.2,0,71,21
Tony Richardson,13,111,0,2,0,25,7,53.8,0,91,14
Ben Troupe,13,150,2,2,0,32,8,61.5,0,103,29
Shaun Alexander,12,48,0,0,0,14,2,16.7,1,55,16
Stephen Davis,12,90,1,0,0,18,5,41.7,0,70,16
William Henderson,12,62,0,0,0,13,3,25,0,58,18
