Player,INT,INT TD,INT Yds,Lng
Champ Bailey,10,1,162,70
Asante Samuel,10,0,120,33
Nnamdi Asomugha,8,1,59,24
Walt Harris,8,1,84,42
Rashean Mathis,8,0,146,55
Charles Woodson,8,1,61,23
Kevin Kaesviharn,6,0,24,22
Chris McAlister,6,2,121,60
Lito Sheppard,6,1,157,102
Daven Holly,5,1,127,57
Chris Hope,5,1,105,61
Sean Jones,5,0,46,19
Dawan Landry,5,1,101,37
Ricky Manning,5,1,113,54
Ed Reed,5,1,70,37
Charles Tillman,5,0,32,13
Roy Williams,5,0,33,27
Brian Dawkins,4,0,38,38
Andre Dyson,4,0,-3,-3
London Fletcher,4,1,30,17
DeAngelo Hall,4,1,131,60
Tory James,4,0,44,28
Quentin Jammer,4,0,57,35
Adam Jones,4,1,130,83
Ty Law,4,0,11,16
Kerry Rhodes,4,0,46,25
Darren Sharper,4,0,10,10
Dwight Smith,4,0,81,47
Fabian Washington,4,0,4,7
Darrent Williams,4,1,37,31
Adrian Wilson,4,1,146,99
Antoine Winfield,4,1,33,26
Oshiomogho Atogwe,3,0,8,7
Ronde Barber,3,2,103,66
David Barrett,3,0,0,0
Ronald Bartell,3,1,63,38
Dre' Bly,3,0,13,8
Derrick Brooks,3,1,51,21
Fakhir Brown,3,0,17,20
Nate Clements,3,1,80,58
Nick Collins,3,1,68,55
Patrick Dendy,3,1,37,30
Donnie Edwards,3,0,11,8
Jamar Fletcher,3,1,122,88
Drayton Florence,3,0,24,23
Chris Gamble,3,1,31,18
Robert Griffith,3,0,30,23
Ken Hamlin,3,0,63,37
Nick Harper,3,0,18,19
Al Harris,3,0,39,34
Napoleon Harris,3,0,20,11
Clinton Hart,3,0,37,22
Gerald Hayes,3,0,24,24
Tye Hill,3,0,20,14
Terrence Holt,3,0,8,7
Cato June,3,0,14,8
Ken Lucas,3,0,13,13
Richard Marshall,3,1,59,30
Bryant McFadden,3,0,39,39
Jarrad Page,3,0,30,30
Troy Polamalu,3,0,51,49
Samari Rolle,3,0,60,44
Lamont Thompson,3,0,14,11
Brian Urlacher,3,0,38,36
Nathan Vasher,3,0,11,7
Mike Vrabel,3,0,0,2
Pat Watkins,3,0,45,24
Greg Wesley,3,0,39,29
Madieu Williams,3,0,33,25
Akin Ayodele,2,0,2,2
Nick Barnett,2,0,3,3
Leigh Bodden,2,0,48,35
Michael Boley,2,0,44,40
Michael Boulware,2,0,1,1
Lance Briggs,2,0,18,18
Alex Brown,2,0,22,18
Phillip Buchanon,2,0,0,0
Josh Bullocks,2,0,14,14
Jerome Carter,2,0,39,36
Dexter Coakley,2,0,0,0
Angelo Crowell,2,0,0,0
Jason David,2,0,16,16
Andra Davis,2,0,19,19
Will Demps,2,0,30,29
Kevin Dockery,2,1,100,96
Mike Doss,2,0,47,31
Demarcus Faggins,2,0,0,0
Aaron Francisco,2,0,61,44
Scott Fujita,2,0,19,19
Deon Grant,2,0,25,24
Cedric Griffin,2,0,4,4
Chris Harris,2,0,19,16
A.J. Hawk,2,0,31,25
E.J. Henderson,2,1,48,45
Anthony Henry,2,0,41,37
Renaldo Hill,2,0,33,21
Reynaldo Hill,2,0,20,11
