Player,Comb,Asst,Solo,Sck
Zach Thomas,165,62,78,3
DeMeco Ryans,156,30,87,3.5
London Fletcher,146,42,67,2
Keith Bulluck,144,44,59,2.5
Cato June,143,46,67,1
Donnie Edwards,142,44,65,2.5
Brian Urlacher,142,49,73,0
Antonio Pierce,138,30,80,1
Keith Brooking,136,41,67,2.5
Lance Briggs,134,21,80,1
James Farrior,128,43,60,4
Kirk Morrison,128,26,82,1
Ernie Sims,125,43,67,0.5
Lofa Tatupu,123,31,64,1.5
Gary Brackett,122,35,55,0
Derrick Brooks,121,25,63,0
Chris Hope,121,32,75,0
A.J. Hawk,120,37,66,3.5
Will Witherspoon,116,14,84,3
Landon Johnson,114,34,67,0.5
Sean Taylor,114,25,64,0
Jonathan Vilma,114,47,38,0
Jeremiah Trotter,113,25,70,0
Tedy Bruschi,112,58,28,1.5
Sean Jones,111,41,56,0.5
Morlon Greenwood,110,26,53,1
E.J. Henderson,110,33,74,3
Thomas Howard,110,22,70,0
Chris Draft,109,28,66,5.5
David Thornton,109,22,59,0
Jermaine Phillips,108,20,74,1
Stuart Schweigert,107,21,77,0
Nick Barnett,105,43,50,2
Andra Davis,105,25,52,1
Shelton Quarles,105,38,45,2.5
Channing Crowder,104,43,43,1
Lemar Marshall,104,34,53,1.5
Kawika Mitchell,104,22,62,1.5
Donte Whitner,104,37,42,0
Bradie James,103,37,59,0
Ray Lewis,103,23,55,5
Bart Scott,103,25,55,9.5
Gibril Wilson,103,26,56,0
Al Wilson,102,23,63,1
Eric Barton,101,28,41,4.5
Erik Coleman,101,31,45,0
Ronde Barber,100,14,60,0
Will Demps,100,26,59,1
Victor Hobson,100,34,39,6
Caleb Miller,100,33,57,1
Brian Dawkins,98,22,68,1
Lawyer Milloy,98,26,59,2
Kerry Rhodes,98,23,44,5
Scott Shanle,98,24,52,4
Antoine Winfield,97,14,80,0
Scott Fujita,96,32,51,3.5
Ken Hamlin,96,21,55,2
Brandon Moore,94,30,55,6.5
Gerald Hayes,93,14,69,1
D'Qwell Jackson,93,33,37,0
Leroy Hill,92,22,48,2
Demorrio Williams,92,33,45,1
Larry Foote,91,29,42,4
Ian Gold,91,21,55,0
Antoine Bethea,90,24,51,0
Thomas Davis,90,19,62,1.5
Madieu Williams,90,22,57,0
Aaron Kampman,89,30,43,15.5
Julian Peterson,89,18,54,10
Daryl Smith,89,16,61,3
Mike Vrabel,89,35,37,4.5
Peter Sirmon,88,28,37,0.5
Marcus Washington,88,29,38,2.5
Corey Chavous,86,9,73,1
Sean Considine,86,26,52,1.5
Renaldo Hill,86,22,54,0
Antrel Rolle,86,7,62,0
Darrent Williams,86,11,68,0
Champ Bailey,85,12,67,0
Michael Boley,85,18,52,3
Akin Ayodele,84,20,57,1
Sammy Knight,84,9,62,2
John Lynch,84,25,50,0
Ty Warren,84,28,25,7.5
Angelo Crowell,83,25,37,2
Richard Marshall,83,13,67,1
Mike Minter,83,23,53,0
Dunta Robinson,83,13,60,0
Adalius Thomas,83,19,49,11
Adrian Wilson,83,8,62,5
Nick Collins,82,15,58,0
Karlos Dansby,82,13,61,8
Marlin Jackson,82,21,44,0
Anthony Henry,81,8,72,0
Marquand Manuel,81,19,44,0
Justin Smith,81,31,44,7.5
Charles Tillman,81,12,59,0
Robert Griffith,80,19,56,0
Carlos Rogers,80,12,56,0
Dwight Smith,79,16,52,1
Michael Huff,78,14,55,0
Quentin Jammer,78,7,58,0
Jared Allen,77,12,60,7.5
Will Allen,77,21,40,0
C.C. Brown,77,10,55,1
Clark Haggans,77,25,35,6
Terrence Holt,77,26,45,0.5
Keith Lewis,77,17,55,1
Terrence McGee,77,13,48,0
Troy Polamalu,77,19,47,1
Ko Simpson,77,26,40,1
Bryan Thomas,77,19,40,8.5
Derrick Johnson,76,18,50,4.5
Dhani Jones,76,21,44,0.5
D.J. Williams,76,17,45,1
Oshiomogho Atogwe,75,9,62,1
Daniel Bullocks,75,20,47,1
Glenn Earl,75,14,50,2
Nick Harper,75,17,43,0
Kyle Vanden Bosch,75,21,39,6.5
Artrell Hawkins,73,19,40,0
Lamont Thompson,73,18,44,0
DeMarcus Ware,73,14,54,11.5
Shaun Williams,73,12,48,0
Josh Bullocks,72,15,41,0
Ryan Clark,72,24,41,0
Nate Clements,72,16,50,0
Clint Ingram,71,16,49,1.5
Paris Lenon,71,20,42,0
Yeremiah Bell,70,24,38,2
Cortland Finnegan,70,15,42,2
Orlando Huff,70,12,45,0
Danieal Manning,70,16,45,0
Takeo Spikes,70,27,23,1
Warrick Holdman,69,16,38,1
Dawan Landry,69,21,41,3
Matt McCoy,69,12,50,2
Junior Seau,69,30,14,1
Derek M. Smith,69,18,42,0
Ike Taylor,69,9,51,0
Greg Wesley,69,5,52,0
Jamal Williams,69,20,26,2
Kelly Herndon,68,18,43,0
Tommy Kelly,68,15,37,3.5
Ty Law,68,4,58,1
Brodney Pool,68,13,46,1
Darren Sharper,68,16,46,1
Patrick Surtain,68,8,50,1
Marcus Trufant,68,8,51,0
Boss Bailey,67,16,44,1
Fakhir Brown,67,4,56,1
Drayton Florence,66,12,45,0
Chris Gamble,66,13,52,1
Vonnie Holliday,66,20,31,7
Kenoy Kennedy,66,20,41,1
Keith Ellison,65,32,24,1
Charles Grant,65,15,34,6
Robert Mathis,65,15,34,9.5
Ryan Nece,65,19,27,1.5
Shaun Phillips,65,23,32,11.5
Asante Samuel,65,5,49,0
Terrell Suggs,65,18,34,9.5
Mike Adams,64,10,51,0
Kevin Kaesviharn,64,15,42,4
Ryan Pickett,64,33,21,0
Jeff Ulbrich,64,18,38,0
Juran Bolden,63,10,49,1
Ebenezer Ekuban,63,15,36,7
Walt Harris,63,11,51,1
Adam Jones,63,12,45,1
Rashean Mathis,63,7,54,0
Shawne Merriman,63,14,42,17
Terence Newman,63,10,46,0
Fred Smoot,63,4,57,0
Trent Cole,62,19,39,8
Andre Dyson,62,11,38,0
Carlos Emmons,62,13,40,1
Omar Gaither,62,11,46,1
Kelly Gregg,62,21,33,3.5
Dewayne Robertson,62,26,21,2.5
Aaron Smith,62,17,30,4.5
Roy Williams,62,10,47,0
Kamerion Wimbley,62,18,36,11
Charles Woodson,62,11,39,1
Na'il Diggs,61,16,38,0
Marques Douglas,61,14,39,3
Domonique Foxworth,61,13,39,0
Tamba Hali,61,17,41,8
Chris Kelsay,61,20,26,5.5
Brian Simmons,61,27,29,0
Mark Simoneau,61,28,24,1
Shawntae Spencer,61,8,46,2
Jason Taylor,61,20,37,13.5
Adam Archuleta,60,11,37,1
Deon Grant,60,7,49,0
Rashad Jeanty,60,21,33,0
Leonard Little,60,3,51,13
Brady Poppinga,60,16,35,1
Ed Reed,60,8,42,0
Napoleon Harris,59,17,37,2.5
Marlon McCree,59,17,31,1
Mark Roman,59,12,40,1
Shaun Ellis,58,21,16,5
Randall Godfrey,58,16,23,4
DeAngelo Hall,58,7,44,0
Julius Peppers,58,9,44,13
Will Allen,57,14,37,1
Dre' Bly,57,8,44,0
Brandon Chillar,57,1,48,2
Daven Holly,57,3,45,0
Johnathan Joseph,57,12,41,0
Manny Lawson,57,10,38,2.5
Michael Lewis,57,14,42,2
Michael Myers,57,20,27,2
Barrett Ruud,57,20,19,0
Fred Thomas,57,7,43,0
Andre Carter,56,9,41,6
Reynaldo Hill,56,17,34,0
R.W. McQuarters,56,4,44,1
Omar Stoutmire,56,12,31,0
Brian Williams,56,8,45,0
Jordan Babineaux,55,12,37,0
Jason David,55,7,38,0
Dexter Jackson,55,16,35,1
Brett Keisel,55,17,27,5.5
Rob Morris,55,12,23,0
Joey Porter,55,15,26,7
Stephen Cooper,54,23,17,2.5
Ryan Denney,54,16,24,6
Chris Harris,54,10,32,0
Terrence Kiel,54,16,28,0
Bryant McFadden,54,7,32,0
Rosevelt Colvin,53,11,30,8.5
Keyaron Fox,53,8,37,1
Gilbert Gardner,53,19,24,0
Mathias Kiwanuka,53,9,27,4
Ricky Manning,53,11,25,2
Justin Miller,53,7,34,0
Chike Okeafor,53,11,35,8.5
Aaron Schobel,53,18,23,14
Kyle Williams,53,20,15,0
Sheldon Brown,52,15,32,0
Vernon Fox,52,8,36,0
Mike Patterson,52,14,27,1.5
Samari Rolle,52,4,43,1
Brian Russell,52,9,36,0
Ted Washington,52,9,32,0
Bryant Young,52,11,36,5.5
John Henderson,51,13,35,3.5
Chris Hovan,51,11,19,2
Will Smith,51,18,24,10.5
Greg Spires,51,18,24,5
Nnamdi Asomugha,50,2,43,1
Shawn Barber,50,17,30,0
Derrick Burgess,50,7,39,11
Chris Crocker,50,6,40,1
Darnell Dockett,50,14,27,2
Cornelius Griffin,50,11,24,1
Rodney Harrison,50,15,27,1
Tye Hill,50,3,46,0
Donnie Spragan,50,22,19,1.5
Kiwaukee Thomas,50,11,23,0
Jason Webster,50,10,38,0
Vince Wilfork,50,10,16,1
Kendrell Bell,49,6,40,1
Aaron Francisco,49,8,37,0
Clinton Hart,49,9,33,0
Raheem Brock,48,14,22,3
Donovin Darius,48,9,32,0
Hunter Hillenmeyer,48,12,22,0
Ben Leber,48,12,30,3
Alex Lewis,48,11,31,0
Cory Redding,48,10,33,8
Alex Brown,47,6,32,7
Jason Craft,47,4,31,0
Chris McAlister,47,4,42,0
Trevor Pryce,47,10,27,13
Warren Sapp,47,15,27,10
Jason Simmons,47,8,28,0
Paul Spicer,47,6,37,3
Stephen Tulloch,47,20,24,0.5
Mario Williams,47,12,30,4.5
Fernando Bryant,46,10,28,0
Jason Ferguson,46,14,30,0
Bryce Fisher,46,9,24,4
Willie McGinest,46,9,24,4
Chad Scott,46,9,28,0
Darrion Scott,46,21,20,5.5
Travares Tillman,46,17,24,0
Brian Young,46,10,27,5.5
