Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Robbie Gould,32,36,88.9,0/0,6/6,14/16,12/14,0/0,0/0,49,1
Jeff Wilkins,32,37,86.5,1/1,11/11,6/6,11/16,3/3,0/0,53,0
Jason Hanson,29,33,87.9,1/1,12/12,6/6,7/8,3/6,0/0,53,0
Joe Nedney,29,35,82.9,2/2,11/12,8/10,7/9,1/2,0/0,51,1
Neil Rackers,28,37,75.7,0/0,11/11,9/9,7/10,1/7,0/0,50,0
Matt Stover,28,30,93.3,0/0,12/13,9/9,6/7,1/1,0/0,52,0
Jason Elam,27,29,93.1,0/0,10/10,10/10,6/8,1/1,0/0,51,0
Nate Kaeding,26,29,89.7,0/0,7/7,11/12,7/9,1/1,0/0,54,0
Olindo Mare,26,36,72.2,0/0,10/10,6/8,9/12,1/6,0/0,52,2
Dave Rayner,26,35,74.3,0/0,11/12,6/9,8/11,1/3,0/0,54,2
Josh Scobee,26,32,81.2,0/0,5/6,7/7,14/18,0/1,0/0,48,0
Josh Brown,25,31,80.6,0/0,10/10,5/7,7/9,3/5,0/0,54,3
Shayne Graham,25,30,83.3,0/0,9/9,8/9,6/8,2/3,0/1,51,0
Adam Vinatieri,25,28,89.3,1/1,3/3,12/13,9/10,0/1,0/0,48,0
John Kasay,24,27,88.9,2/2,6/6,4/4,8/8,4/6,0/1,54,0
Mike Nugent,24,27,88.9,1/1,7/7,10/12,4/4,2/3,0/0,54,0
Lawrence Tynes,24,31,77.4,1/1,10/10,4/6,7/10,2/4,0/0,53,1
John Carney,23,25,92,1/1,9/9,7/8,5/6,1/1,0/0,51,0
Jay Feely,23,27,85.2,0/0,7/7,10/11,6/8,0/1,0/0,47,0
Rian Lindell,23,25,92,0/0,8/8,5/5,8/10,2/2,0/0,53,0
Rob Bironas,22,28,78.6,0/0,10/11,7/7,4/8,0/1,1/1,60,1
Phil Dawson,21,29,72.4,0/0,5/6,9/10,6/12,1/1,0/0,51,1
Ryan Longwell,21,25,84,2/2,7/7,8/8,4/6,0/2,0/0,49,1
Morten Andersen,20,23,87,0/0,7/8,6/6,7/8,0/1,0/0,45,1
Stephen Gostkowski,20,26,76.9,0/0,10/11,7/10,2/4,1/1,0/0,52,2
Jeff Reed,20,27,74.1,1/1,6/7,8/11,4/7,1/1,0/0,50,2
Kris Brown,19,25,76,1/1,4/4,3/5,11/13,0/2,0/0,49,0
David Akers,18,23,78.3,0/0,9/10,3/5,6/8,0/0,0/0,47,0
Sebastian Janikowski,18,25,72,1/1,2/3,9/11,3/3,3/7,0/0,55,0
Matt Bryant,17,22,77.3,0/0,8/8,3/3,5/9,0/1,1/1,62,0
Mike Vanderjagt,13,18,72.2,0/0,6/7,5/6,1/4,1/1,0/0,50,1
John Hall,9,11,81.8,0/0,3/3,4/4,2/4,0/0,0/0,46,0
Shaun Suisham,9,11,81.8,0/0,1/1,6/7,1/1,1/2,0/0,52,0
Martin Gramatica,7,9,77.8,0/0,2/2,2/2,3/5,0/0,0/0,48,0
Nick Novak,5,10,50,0/0,1/1,1/3,3/6,0/0,0/0,47,0
Michael Koenen,3,9,33.3,0/0,1/1,1/4,0/1,1/3,0/0,51,3
Billy Cundiff,0,1,0,0/0,0/0,0/0,0/0,0/1,0/0,0,0
Hunter Smith,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
