Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Raiders,408,1754,4.3,7,86,21.1
Rams,462,1698,3.7,7,90,19.5
Patriots,452,1605,3.6,8,86,19
Bears,544,2158,4,14,124,22.8
Falcons,504,1858,3.7,5,100,19.8
Steelers,493,1723,3.5,9,80,16.2
Colts,423,1798,4.2,11,78,18.4
Cowboys,457,1651,3.6,9,88,19.3
49ers,551,1869,3.4,16,107,19.4
Giants,519,1773,3.4,16,94,18.1
Broncos,470,1531,3.3,5,77,16.4
Dolphins,467,1749,3.8,12,101,21.6
Browns,524,2098,4,14,113,21.6
Vikings,548,2218,4,11,119,21.7
Oilers,522,1815,3.5,11,103,19.7
Cardinals,514,2237,4.4,11,122,23.7
Redskins,537,2039,3.8,8,112,20.9
Bengals,525,1897,3.6,15,113,21.5
Chargers,508,1927,3.8,11,102,20.1
Saints,623,2729,4.4,21,153,24.6
Eagles,521,1917,3.7,10,95,18.2
Lions,521,1905,3.7,13,93,17.8
Packers,582,2314,4,16,140,24
Buccaneers,581,2031,3.5,13,124,21.3
Seahawks,596,2485,4.2,21,152,25.5
Chiefs,634,2971,4.7,23,169,26.7
Bills,589,2405,4.1,21,134,22.8
Jets,575,2245,3.9,14,137,23.8
