Team,FR TD,SFTY,INT TD
Oilers,3,3,1
Chiefs,3,0,2
Falcons,1,0,2
Bills,1,1,1
Cowboys,1,0,1
Lions,1,1,1
Colts,1,1,0
Raiders,1,0,0
Vikings,1,1,0
Saints,1,1,1
Cardinals,1,0,1
Chargers,1,0,2
Buccaneers,1,0,3
Bears,0,0,0
Bengals,0,0,2
Browns,0,1,3
Broncos,0,0,2
Packers,0,0,1
Rams,0,0,1
Dolphins,0,0,0
Patriots,0,1,0
Giants,0,0,2
Jets,0,1,1
Eagles,0,0,0
Steelers,0,0,0
49ers,0,0,0
Seahawks,0,0,1
Redskins,0,0,0
