Player,KO,Yds,Ret Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Thomas Morstead,101,6842,1780,27,26.7,72,24.7,0,0,2,0
Ryan Longwell,98,6242,2060,5,5.1,91,22.6,0,0,1,0
Nate Kaeding,97,6153,1909,9,9.3,87,21.9,1,1,0,1
David Akers,94,6113,1907,11,11.7,81,23.5,2,0,1,0
Mason Crosby,94,5907,1745,12,12.8,77,22.7,3,1,2,0
Stephen Gostkowski,91,6174,1705,21,23.1,70,24.4,0,0,0,0
Lawrence Tynes,86,5345,1619,6,7,77,21,2,0,1,0
Kris Brown,82,5432,1597,10,12.2,71,22.5,1,0,1,0
Jay Feely,82,5431,1685,10,12.2,70,24.1,0,0,1,2
Rob Bironas,81,5199,1714,7,8.6,71,24.1,2,1,1,1
Jeff Reed,81,4845,1795,3,3.7,74,24.3,1,0,0,4
Patrick McAfee,80,5602,1465,21,26.2,58,25.3,0,0,1,1
Dan Carpenter,79,5025,1551,7,8.9,70,22.2,1,1,1,0
Matt Prater,78,5332,1115,28,35.9,49,22.8,1,0,0,1
David Buehler,77,5189,967,29,37.7,47,20.6,1,0,0,0
Robbie Gould,73,4797,1552,8,11,64,24.2,0,0,1,0
Michael Koenen,73,4901,902,28,38.4,43,21,2,1,0,0
Rhys Lloyd,72,4803,1267,21,29.2,51,24.8,1,0,0,1
Ryan Succop,72,4454,1427,7,9.7,59,24.2,6,1,1,2
Shayne Graham,69,4367,1289,8,11.6,58,22.2,0,0,3,0
Olindo Mare,69,4685,1059,22,31.9,46,23,1,1,0,0
Rian Lindell,68,4327,1256,6,8.8,58,21.7,1,0,1,0
Neil Rackers,65,4123,983,14,21.5,48,20.5,0,0,2,0
Josh Scobee,64,4243,1063,17,26.6,46,23.1,1,0,1,1
Jason Hanson,63,3970,1348,4,6.4,57,23.6,2,0,1,1
Joe Nedney,63,4163,1232,5,7.9,56,22,1,0,1,1
Sebastian Janikowski,58,3819,983,17,29.3,41,24,0,0,0,0
Billy Cundiff,54,3430,961,3,5.6,46,20.9,0,0,1,0
Josh Brown,52,3408,1021,8,15.4,42,24.3,2,0,1,1
Shaun Suisham,52,3125,824,5,9.6,42,19.6,3,0,2,0
Phil Dawson,49,2941,742,4,8.2,41,18.1,2,1,2,0
Steven Hauschka,46,3021,846,3,6.5,42,20.1,0,0,1,0
Connor Barth,36,2313,544,6,16.7,29,18.8,1,1,0,0
Mike Nugent,24,1437,442,2,8.3,21,21,1,0,0,0
Shane Andrus,17,1046,307,2,11.8,14,21.9,1,1,0,0
Graham Gano,16,1035,265,3,18.8,13,20.4,0,0,0,0
Ricky Schmitt,5,325,72,1,20,4,18,0,0,0,0
Kroy Biermann,3,179,43,0,0,3,14.3,0,0,0,0
Brandon Fields,3,27,6,0,0,1,6,3,0,0,0
Garrett Hartley,3,183,33,1,33.3,2,16.5,0,0,0,0
Jeremy Kapinos,3,183,79,0,0,3,26.3,0,0,0,0
Nick Folk,2,17,0,0,0,0,0,2,0,0,0
Dustin Colquitt,1,64,19,0,0,1,19,0,0,0,0
Ben Graham,1,56,15,0,0,1,15,0,0,0,0
Nick Harris,1,54,5,0,0,1,5,0,0,0,0
Dirk Johnson,1,30,0,0,0,1,0,0,0,0,0
Donnie Jones,1,63,11,0,0,1,11,0,0,0,0
Shane Lechler,1,75,95,0,0,1,95,0,0,0,1
Brian Moorman,1,68,15,0,0,1,15,0,0,0,0
Glenn Pakulak,1,67,15,0,0,1,15,0,0,0,0
Adam Podlesh,1,47,6,0,0,1,6,0,0,0,0
