Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
David Akers,32,37,86.5,1/1,11/11,8/9,11/13,1/3,0/0,52,1
Nate Kaeding,32,35,91.4,2/2,17/17,4/4,6/8,3/4,0/0,55,0
Jay Feely,30,36,83.3,0/0,6/6,12/15,11/14,1/1,0/0,55,1
Matt Prater,30,35,85.7,0/0,14/14,6/8,8/10,2/3,0/0,51,0
Rian Lindell,28,33,84.8,0/0,12/12,9/9,6/9,1/3,0/0,56,0
Rob Bironas,27,32,84.4,0/0,8/8,4/6,10/12,5/5,0/1,53,1
Mason Crosby,27,36,75,1/1,13/13,7/9,4/7,2/6,0/0,52,0
Jeff Reed,27,31,87.1,1/1,7/7,15/16,4/5,0/2,0/0,46,0
Lawrence Tynes,27,32,84.4,0/0,10/12,11/13,5/6,1/1,0/0,52,0
Stephen Gostkowski,26,31,83.9,0/0,7/7,12/13,5/8,2/3,0/0,53,0
Sebastian Janikowski,26,29,89.7,0/0,3/3,8/8,9/10,5/6,1/2,61,0
Ryan Longwell,26,28,92.9,1/1,10/10,5/6,8/9,2/2,0/0,52,1
Dan Carpenter,25,28,89.3,0/0,9/9,7/8,8/9,1/2,0/0,52,0
Ryan Succop,25,29,86.2,0/0,10/10,7/7,6/7,2/5,0/0,53,1
Robbie Gould,24,28,85.7,0/0,9/9,6/6,7/10,2/3,0/0,52,2
Olindo Mare,24,26,92.3,0/0,9/9,10/11,5/6,0/0,0/0,47,0
Shayne Graham,23,28,82.1,0/0,10/11,8/10,3/3,2/4,0/0,53,2
John Kasay,22,27,81.5,0/0,7/7,9/10,5/6,1/4,0/0,50,2
Kris Brown,21,32,65.6,0/0,11/13,6/9,2/6,2/4,0/0,56,3
Jason Hanson,21,28,75,0/0,5/5,8/9,7/10,1/4,0/0,50,0
Shaun Suisham,20,24,83.3,0/0,9/10,5/7,6/6,0/1,0/0,48,0
Josh Brown,19,24,79.2,0/0,5/5,4/5,4/7,6/7,0/0,55,1
Billy Cundiff,18,23,78.3,1/1,9/9,5/8,3/3,0/2,0/0,46,0
Nick Folk,18,28,64.3,1/1,5/6,6/7,5/12,1/2,0/0,51,0
Josh Scobee,18,28,64.3,0/0,7/8,4/4,3/7,4/8,0/1,52,1
Phil Dawson,17,19,89.5,0/0,7/7,5/5,5/6,0/1,0/0,49,0
Joe Nedney,17,21,81,0/0,4/4,7/8,4/6,2/3,0/0,51,0
Neil Rackers,16,17,94.1,0/0,4/4,6/6,6/7,0/0,0/0,48,0
Connor Barth,14,19,73.7,0/0,2/2,4/6,5/7,3/4,0/0,54,0
John Carney,13,17,76.5,0/0,6/6,5/8,2/3,0/0,0/0,46,1
Jason Elam,12,19,63.2,0/0,4/4,4/8,3/5,1/2,0/0,50,0
Garrett Hartley,9,11,81.8,1/1,3/3,5/6,0/0,0/1,0/0,38,0
Steven Hauschka,9,13,69.2,0/0,1/1,5/7,3/5,0/0,0/0,44,0
Matt Stover,9,11,81.8,0/0,2/2,5/6,2/2,0/1,0/0,43,0
Matt Bryant,7,10,70,0/0,2/2,4/4,0/2,1/2,0/0,51,2
Adam Vinatieri,7,9,77.8,1/1,3/3,1/2,2/2,0/1,0/0,48,0
Graham Gano,4,4,100,0/0,2/2,0/0,2/2,0/0,0/0,46,0
Mike Nugent,4,8,50,1/1,1/1,1/2,1/4,0/0,0/0,48,1
Ricky Schmitt,2,3,66.7,0/0,0/1,2/2,0/0,0/0,0/0,39,1
Shane Andrus,0,1,0,0/0,0/0,0/0,0/1,0/0,0/0,0,0
