Player,INT,INT TD,INT Yds,Lng
Jairus Byrd,9,0,118,37
Asante Samuel,9,0,117,37
Darren Sharper,9,3,376,99
Charles Woodson,9,3,179,45
Zack Bowman,6,0,67,39
Nick Collins,6,0,110,31
Brent Grimes,6,0,17,11
Leon Hall,6,0,47,26
Johnathan Joseph,6,1,92,32
Darrelle Revis,6,1,121,67
Dominique Rodgers-Cromartie,6,1,77,49
Leigh Bodden,5,1,60,53
Sheldon Brown,5,1,152,83
Cortland Finnegan,5,1,194,80
Brandon Flowers,5,0,38,33
Andre' Goodman,5,0,65,30
Tanard Jackson,5,2,86,35
Mike Jenkins,5,0,0,0
Brandon Meriweather,5,1,149,56
Aqib Talib,5,0,99,32
Terrell Thomas,5,1,87,33
Adrian Wilson,5,0,56,41
Antoine Bethea,4,0,19,19
Atari Bigby,4,0,14,14
Derek Cox,4,0,6,6
Brian Cushing,4,0,26,20
Vontae Davis,4,1,64,26
Domonique Foxworth,4,0,34,19
Chris Gamble,4,0,55,41
Dashon Goldson,4,0,39,34
Cedric Griffin,4,0,-2,-2
DeAngelo Hall,4,0,114,44
Dawan Landry,4,1,89,48
Richard Marshall,4,0,47,28
Bernard Pollard,4,1,121,70
Brodney Pool,4,0,33,32
Tracy Porter,4,1,72,54
Antrel Rolle,4,0,71,29
Tramon Williams,4,0,94,67
George Wilson,4,0,23,27
Eric Wright,4,0,74,47
Champ Bailey,3,0,18,11
Jon Beason,3,0,46,18
Yeremiah Bell,3,0,48,29
Dre' Bly,3,0,66,31
Mike Brown,3,0,13,10
Keith Bulluck,3,0,45,23
Darius Butler,3,1,91,91
James Butler,3,0,17,17
Ryan Clark,3,0,0,0
Antonio Cromartie,3,0,17,16
Thomas DeCoud,3,0,25,15
Vincent Fuller,3,2,71,45
Deon Grant,3,0,7,7
Chad Greenway,3,0,49,36
Chris Harris,3,0,3,3
David Hawthorne,3,0,9,5
Roderick Hood,3,1,91,43
Chris Hope,3,0,24,24
Michael Huff,3,0,15,10
Quentin Jammer,3,0,25,21
Chris Johnson,3,0,20,20
Derrick Johnson,3,2,175,70
Jacob Lacey,3,1,53,35
Dwight Lowery,3,0,41,34
Elbert Mack,3,0,36,36
Sherrod Martin,3,0,35,23
Rashean Mathis,3,0,46,29
Terence Newman,3,1,36,27
Troy Polamalu,3,0,17,16
Paul Posluszny,3,0,20,17
Ed Reed,3,1,111,52
Kerry Rhodes,3,0,17,11
Jonathan Vilma,3,0,25,11
Patrick Willis,3,1,33,23
Gerald Alexander,2,0,23,22
Will Allen,2,0,27,21
Oshiomogho Atogwe,2,0,21,12
Jordan Babineaux,2,0,18,18
Tarell Brown,2,0,52,51
Chris Carr,2,0,24,13
Tyrone Carter,2,1,53,48
Antoine Cason,2,0,22,22
Chris Crocker,2,0,38,20
Thomas Davis,2,0,24,24
Brian Dawkins,2,0,0,0
Louis Delmas,2,1,130,101
Jabari Greer,2,1,59,48
Joselio Hanson,2,0,8,6
Al Harris,2,0,29,29
Cary Harris,2,0,7,7
David Harris,2,0,24,14
A.J. Hawk,2,0,42,29
Geno Hayes,2,0,21,20
Anthony Henry,2,0,26,26
Renaldo Hill,2,0,18,18
Tim Jennings,2,0,13,13
Bruce Johnson,2,1,83,49
Jarret Johnson,2,0,8,8
Nate Jones,2,0,0,0
Sean Jones,2,0,37,37
Akeem Jordan,2,0,14,11
James Laurinaitis,2,0,28,21
Darcel McBath,2,0,28,25
Rocky McIntosh,2,0,27,18
Quintin Mikell,2,0,16,16
Chris Owens,2,0,13,13
Julius Peppers,2,1,13,13
William James,2,1,41,38
Kenny Phillips,2,0,22,22
Sabby Piscitelli,2,0,7,4
Clint Session,2,1,35,27
Scott Shanle,2,0,16,13
Anthony Smith,2,0,34,30
Shawntae Spencer,2,0,2,2
Andy Studebaker,2,0,96,94
Charles Tillman,2,1,35,21
Marcus Trufant,2,0,4,4
Eric Weddle,2,1,44,31
Donte Whitner,2,1,104,76
Jonathan Wilhite,2,0,17,17
Eugene Wilson,2,0,29,16
Josh Wilson,2,2,126,65
