Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Micheal Spurlock,30,3,90,1,1,1,77,0,0
DeSean Jackson,15.2,29,441,2,7,3,85,15,1
Domenik Hixon,15.1,17,256,1,3,1,79,17,0
Brad Smith,13.5,2,27,0,1,0,21,0,0
Wes Welker,12.5,27,338,0,3,2,69,16,1
Derek Stanley,12.3,3,37,0,1,0,24,1,0
Patrick Crayton,12.1,36,437,2,6,2,82,23,3
Josh Cribbs,11.9,38,452,1,5,3,67,3,2
Quan Cosby,11.8,40,474,0,4,2,60,19,2
Danny Amendola,11.6,31,360,0,5,1,56,11,3
Fred Jackson,11.5,6,69,0,1,0,27,5,0
Eddie Royal,11.2,30,335,1,3,1,71,13,1
Jacoby Jones,10.9,39,426,0,7,2,62,14,2
Kenny McKinley,10.7,3,32,0,0,0,14,0,0
Julian Edelman,10.5,6,63,0,1,0,35,1,0
Yamon Figurs,10.5,2,21,0,0,0,12,2,0
Tramon Williams,10.4,13,135,0,2,1,45,5,0
Darius Reynaud,10.3,30,308,0,3,0,36,13,3
Jerricho Cotchery,10.3,23,236,0,1,0,31,12,1
Earl Bennett,10.2,14,143,1,3,1,49,2,1
Alvin Pearman,10.2,11,112,0,0,0,18,8,1
Clifton Smith,10.1,23,232,0,2,0,21,8,1
Eric Weems,10,27,270,0,3,0,28,14,1
Sammie Stroughter,9.9,12,119,0,1,0,33,0,0
Brian Witherspoon,9.8,9,88,0,1,1,42,3,1
Nate Clements,9.5,4,38,0,0,0,12,1,1
Maurice Jones-Drew,9.5,2,19,0,0,0,12,0,0
Stefan Logan,9.3,30,280,0,3,0,25,15,2
Ahmad Bradshaw,9.2,6,55,0,1,0,20,1,0
Antrel Rolle,9.2,6,55,0,1,0,27,2,1
Nate Hughes,9,2,18,0,0,0,11,0,0
Captain Munnerlyn,9,31,278,0,4,0,37,10,2
Dennis Northcutt,8.6,22,189,0,1,1,43,15,2
Phillip Buchanon,8.5,4,34,0,0,0,18,0,1
Nate Burleson,8.5,30,254,0,3,0,29,3,1
Mike Thomas,8.4,14,118,0,2,1,44,4,1
Jaymar Johnson,8.4,16,134,0,2,0,24,3,0
Jim Leonhard,8.2,21,173,0,1,0,37,13,1
Chris Carr,8.2,32,262,0,3,0,34,17,0
Leon Washington,8,2,16,0,0,0,12,1,0
Corey Webster,8,1,8,0,0,0,8,0,0
Devin Hester,7.8,24,187,0,3,0,33,5,1
Mark Jones,7.7,3,23,0,0,0,15,2,0
Bobby Wade,7.6,21,160,0,0,0,18,19,3
Davone Bess,7.5,28,209,0,1,0,22,13,3
Darren Sproles,7,26,183,1,1,1,77,12,3
Allen Rossum,7,12,84,0,0,0,14,1,0
Sinorice Moss,6.7,11,74,0,0,0,16,0,1
Steve Breaston,6.7,38,253,0,3,1,64,11,2
Bernard Berrian,6.5,2,13,0,0,0,8,0,0
Kevin Faulk,6.2,5,31,0,0,0,15,2,1
Ryan Mouton,6.2,6,37,0,0,0,15,3,3
Antwaan Randle El,6,17,102,0,1,1,43,19,3
Dantrell Savage,6,6,36,0,0,0,19,1,1
Darren Sharper,6,1,6,0,0,0,6,1,0
Justin Forsett,5.8,16,92,0,1,0,20,9,1
T.J. Rushing,5.7,21,119,0,1,0,22,22,0
Ted Ginn,5.6,5,28,0,0,0,12,0,1
Roscoe Parrish,5.5,24,133,0,3,0,31,13,4
Jordy Nelson,5.3,17,90,0,0,0,14,6,2
Johnnie Lee Higgins,5.2,34,177,0,0,0,19,21,4
Jeremy Maclin,5,6,30,0,1,0,27,4,0
Reggie Bush,4.8,27,130,0,2,0,23,9,2
