Team,Rsh TD,Rec TD,Tot TD,2-PT
Bengals,23,21,45,0
Jaguars,20,20,42,0
Lions,19,19,41,0
Steelers,19,22,43,0
Broncos,18,27,53,3
Dolphins,18,16,35,0
Oilers,17,15,34,1
49ers,16,20,39,1
Chiefs,15,20,41,0
Rams,15,14,31,0
Buccaneers,15,21,38,0
Bears,14,14,28,2
Vikings,14,26,40,3
Giants,14,16,35,0
Seahawks,13,26,40,1
Bills,12,14,26,0
Redskins,12,22,39,0
Panthers,11,17,28,1
Eagles,11,22,35,0
Colts,10,16,29,0
Jets,10,20,38,0
Packers,9,35,47,0
Raiders,9,29,39,0
Saints,9,13,23,0
Cardinals,9,19,32,1
Falcons,8,26,36,0
Ravens,7,25,35,0
Cowboys,6,19,27,0
Patriots,6,31,42,0
Chargers,5,12,25,0
