Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Peyton Manning,4267,7.5,566,379,67,29,10,99,210,37.1,45,9,79,18,107
Trent Green,4039,7.7,523,330,63.1,24,12,92.6,198,37.9,54,8,67,20,130
Marc Bulger,3845,7.2,532,336,63.2,22,22,81.4,193,36.3,59,5,48,37,288
Matt Hasselbeck,3841,7.5,513,313,61,26,15,88.8,187,36.4,54,5,80,42,246
Brad Johnson,3811,6.7,570,354,62.1,26,21,81.6,184,32.3,37,9,76,20,111
Tom Brady,3620,6.9,527,317,60.2,23,12,85.9,175,33.2,44,8,82,32,219
Jon Kitna,3591,6.9,520,324,62.3,26,15,87.4,181,34.8,37,11,82,37,249
Aaron Brooks,3546,6.8,518,306,59.1,24,8,88.8,172,33.2,36,7,76,34,195
Daunte Culpepper,3479,7.7,454,295,65,25,11,96.4,169,37.2,41,10,59,37,196
Tommy Maddox,3414,6.6,519,298,57.4,18,17,75.2,171,33,44,4,53,41,242
Brett Favre,3361,7.1,471,308,65.4,32,21,90.4,166,35.2,42,7,66,19,137
Quincy Carter,3302,6.5,505,292,57.8,17,21,71.4,148,29.3,48,7,64,37,185
Jake Delhomme,3219,7.2,449,266,59.2,19,16,80.6,146,32.5,46,9,67,23,168
Donovan McNabb,3216,6.7,478,275,57.5,16,11,79.6,152,31.8,44,9,59,43,253
Steve McNair,3215,8,400,250,62.5,24,7,100.4,164,41,46,11,73,19,108
Kerry Collins,3110,6.2,500,284,56.8,13,16,70.7,159,31.8,29,7,77,28,164
Joey Harrington,2880,5.2,554,309,55.8,17,22,63.9,147,26.5,24,3,72,9,55
Drew Bledsoe,2860,6.1,471,274,58.2,11,12,73,142,30.2,28,2,54,49,371
Byron Leftwich,2819,6.7,418,239,57.2,14,16,73,135,32.3,33,7,84,19,90
Jeff Garcia,2704,6.9,392,225,57.4,18,13,80.1,131,33.4,35,6,75,21,104
Jeff Blake,2247,6.1,367,208,56.7,13,15,69.6,96,26.2,27,6,71,19,132
Jake Plummer,2182,7.2,302,189,62.6,15,7,91.2,114,37.8,26,5,60,14,73
Patrick Ramsey,2166,6.4,337,179,53.1,14,9,75.8,98,29.1,34,3,64,30,206
Chad Pennington,2139,7.2,297,189,63.6,13,12,82.9,116,39.1,26,6,65,25,160
Jay Fiedler,2138,6.8,314,179,57,11,13,72.4,107,34.1,35,2,59,19,126
