Player,Comb,Asst,Solo,Sck
Jamie Sharper,164,59,81,4
Donnie Edwards,161,39,98,0.5
Ray Lewis,161,41,93,1.5
Zach Thomas,152,68,73,1
Micheal Barrow,148,39,76,2
David Thornton,145,33,84,1
Keith Brooking,144,18,101,0
James Farrior,141,45,72,0
Sam Cowart,140,44,58,2
Andra Davis,136,39,64,5
Keith Bulluck,135,31,62,3
Jay Foreman,135,35,70,2
London Fletcher,133,37,57,2
Eric Barton,132,34,73,0.5
Tedy Bruschi,131,52,37,2
Rodney Harrison,126,34,66,3
Takeo Spikes,126,56,44,2
Chris Draft,124,21,77,2
Dhani Jones,120,27,67,3
Dat Nguyen,119,31,76,2
Marvin Jones,118,44,43,0
Brian Urlacher,116,29,71,2.5
Akin Ayodele,115,27,69,1
Derek M. Smith,114,27,66,3.5
Jeremiah Trotter,113,23,79,1.5
Shawn Barber,112,20,80,5
Nick Barnett,112,26,68,2
Scott Fujita,111,14,85,4
Napoleon Harris,107,33,49,2
Antoine Winfield,107,15,74,1
Ronald McKinnon,105,25,61,2
Lawyer Milloy,104,35,48,3
Greg Wesley,104,15,77,2
Ifeanyi Ohalete,103,23,66,0
Mike Doss,102,29,54,0
Brian Simmons,102,31,63,1.5
Derrick Brooks,101,30,54,1
Mike Peterson,100,29,55,1
Mark Simoneau,100,22,77,2
Kendrell Bell,99,19,60,5
Roman Phifer,99,33,43,0
Anthony Simmons,99,20,59,3
Will Witherspoon,99,25,64,1
Sam Garnes,98,33,39,0.5
Nick Harper,98,14,58,0
Ronde Barber,97,18,54,1.5
Earl Holmes,97,29,60,2
Kevin Bentley,96,36,40,0
Dexter Coakley,96,23,60,1
Ken Hamlin,96,20,65,0
Sammy Knight,96,32,48,0
Mike Minter,96,20,59,0
Zeke Moreno,96,17,57,2
Junior Seau,96,30,53,3
Eric Brown,95,23,58,0.5
Brian Russell,95,17,66,1
Jay Bellamy,94,17,63,1
Julian Peterson,94,25,57,7
Barrett Green,93,28,49,3
Edgerton Hartwell,93,27,51,3
Mike Logan,93,23,54,1
Omar Stoutmire,93,21,56,1
Robert Griffith,92,19,58,0
Jessie Armstead,91,17,67,6.5
Kevin Hardy,91,33,42,1.5
Nate Wayne,89,21,64,3
LaVar Arrington,88,13,67,6
Boss Bailey,88,20,61,1.5
Tyrone Carter,88,24,47,0
Dexter Jackson,88,13,65,0
Na'il Diggs,87,11,58,1
Al Wilson,87,18,59,1
Corey Chavous,86,11,62,0
Hannibal Navies,86,17,53,1
Peter Sirmon,86,23,50,0
Brent Alexander,85,22,50,1
Chad Brown,85,12,48,7
Michael Lewis,85,20,63,2
Lance Schulters,85,20,50,1
Fred Thomas,85,11,66,1
Brian Walker,85,20,59,0
Darren Woodson,85,20,53,1
Carlos Emmons,84,20,59,0
Gary Baxter,83,12,58,1
Matt Bowen,83,9,71,0
Rob Morris,83,25,36,0
Charles Tillman,83,7,56,1
Marcus Trufant,83,9,59,0
Jerry Azumah,82,11,62,1
Darren Sharper,82,13,59,2
Rogers Beckett,81,20,54,3
Donovin Darius,81,27,45,0
Rashean Mathis,81,10,61,0
Ben Taylor,81,16,42,0
Marcus Washington,81,26,35,6
Pat Williams,81,27,35,0
Jerry Wilson,81,19,50,1
Chris Claiborne,80,19,49,3
Kelly Gregg,80,17,45,3
Ben Leber,80,11,53,3
Shelton Quarles,80,23,33,0
