Player,FF,FR,FR TD
LaVar Arrington,6,1,0
Leonard Little,6,1,0
Simeon Rice,6,1,0
Terrell Suggs,6,4,0
Dre' Bly,5,2,1
Keith Bulluck,5,2,1
Pisa Tinoisamoa,5,1,0
Courtney Brown,4,1,0
Greg Ellis,4,0,0
Dwight Freeney,4,2,1
Charles Grant,4,0,0
Jevon Kearse,4,0,0
Kenny Mixon,4,0,0
Jeff Posey,4,0,0
Mike Vrabel,4,1,0
Ronde Barber,3,1,0
Micheal Barrow,3,0,0
Bertrand Berry,3,0,0
Peter Boulware,3,1,0
Eric Brown,3,0,0
Tedy Bruschi,3,1,0
Dwaine Carpenter,3,1,0
Mike Doss,3,0,0
Ebenezer Ekuban,3,0,0
Kabeer Gbaja-Biamila,3,2,0
Napoleon Harris,3,0,0
John Henderson,3,1,0
Kelly Herndon,3,0,0
Lance Johnstone,3,0,0
Aaron Kampman,3,1,0
Roger Knight,3,1,0
Robert Mathis,3,1,0
Ahmad Merritt,3,0,0
Eric Ogbogu,3,0,0
Julius Peppers,3,0,0
Julian Peterson,3,0,0
Tyrone Poole,3,0,0
Bryan Scott,3,1,0
Jamie Sharper,3,0,0
Mark Simoneau,3,0,0
Matt Stewart,3,3,0
Gary Stills,3,2,0
Michael Strahan,3,1,0
Jason Taylor,3,2,1
Marcus Washington,3,1,0
Nate Wayne,3,0,0
Jerry Wilson,3,0,0
Jerome Woods,3,1,0
Jessie Armstead,2,1,0
Shawn Barber,2,0,0
Rogers Beckett,2,0,0
Juran Bolden,2,0,0
Matt Bowen,2,2,0
Tim Bowens,2,0,0
Tony Brackens,2,0,0
Derrick Brooks,2,0,0
Alex Brown,2,1,0
Phillip Buchanon,2,0,0
Rod Coleman,2,0,0
Donovin Darius,2,1,0
Andra Davis,2,0,0
Adrian Dingle,2,1,0
Hugh Douglas,2,0,0
Marques Douglas,2,0,0
Nick Ferguson,2,0,0
Bryce Fisher,2,0,0
Arturo Freeman,2,1,0
Sam Garnes,2,0,0
Victor Green,2,0,0
James Hall,2,1,0
Ken Hamlin,2,1,0
Corey Harris,2,0,1
Johnnie Harris,2,0,0
Reggie Hayward,2,0,0
Tyoka Jackson,2,1,0
Raylee Johnson,2,0,0
Patrick Kerney,2,3,0
Kenny King,2,1,0
Sammy Knight,2,0,0
Michael Lewis,2,1,0
Ray Lewis,2,2,0
Kris Mangum,2,1,0
Ricky Manning,2,1,0
Brock Marion,2,0,0
Daylon McCutcheon,2,0,0
Anthony McFarland,2,1,0
Willie McGinest,2,2,0
Chester McGlockton,2,0,0
Ronald McKinnon,2,1,0
Lawyer Milloy,2,1,0
Zeke Moreno,2,2,0
Hannibal Navies,2,1,0
Dat Nguyen,2,0,0
Adewale Ogunleye,2,1,0
Chike Okeafor,2,0,0
Mike Peterson,2,2,0
