Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Shane Lechler,46.9,37.2,3574,96,73,4503,27,11,6,13,14,52,669,0,0
Todd Sauerbrun,44.6,37,2851,80,64,3433,22,9,12,9,12,35,402,1,3
Brian Moorman,44.6,37.1,3151,85,71,3788,20,14,8,3,8,52,577,0,0
Mitch Berger,44.3,38.7,2750,72,59,3144,28,4,8,5,18,36,294,0,1
Craig Hentrich,43.9,37.8,2681,71,58,3117,26,5,15,8,13,30,276,1,0
Chris Hanson,43.5,32.4,746,24,58,1001,4,1,3,1,2,16,235,0,1
Tom Tupa,43.2,35.9,2981,83,60,3590,26,15,11,6,12,39,489,0,0
Micah Knorr,43.2,33.2,2257,70,62,2937,14,4,7,6,5,46,560,1,2
Scott Player,42.8,34.9,2859,83,64,3511,19,5,15,9,12,41,472,2,1
Sean Landeta,42.8,32.9,1941,59,57,2525,14,4,6,5,12,32,484,2,0
Hunter Smith,42.2,36.1,2238,63,55,2617,20,4,8,3,15,32,319,0,1
Chris Gardocki,41.9,34.8,2503,72,60,3019,18,9,11,10,9,33,316,0,0
Josh Miller,41.9,36.4,3062,85,72,3521,27,8,9,8,12,47,299,0,1
Darren Bennett,41.9,36.2,2967,82,56,3436,28,5,16,3,20,38,409,2,0
Josh Bidwell,41.7,35.1,2419,69,60,2875,16,2,13,7,15,32,316,0,0
Chad Stanley,41.5,36.7,3561,97,58,4028,36,1,13,3,37,43,407,1,0
Brad Maynard,41.2,35.5,2801,81,53,3258,23,6,15,9,13,36,277,0,2
Tom Rouen,41.2,38.2,2562,69,61,2762,29,0,13,3,22,29,140,0,2
Dave Zastudil,41,35.2,3135,89,67,3649,21,9,13,8,18,41,354,0,0
Mark Royals,40.9,35.2,2148,61,51,2495,14,11,9,6,2,33,227,0,0
Dirk Johnson,40.6,34.6,2735,79,60,3207,27,8,11,10,15,35,272,0,0
Jeff Feagles,40.5,34.3,3089,91,59,3641,31,16,8,6,20,40,432,2,1
Bryan Barker,40.2,34.3,2884,84,69,3377,24,8,15,5,16,40,393,0,0
Kyle Richardson,40,33.5,1641,49,58,1961,9,2,8,5,6,28,220,0,0
Chris Mohr,39.9,36,3132,87,54,3473,19,4,13,2,33,35,301,1,0
John Jett,39.8,35.6,890,25,58,995,8,1,5,3,5,11,45,0,0
Nick Harris,39.7,32.5,2957,92,53,3615,16,4,6,8,10,63,498,1,1
Jason Baker,39.4,33.6,2689,81,68,3156,21,3,14,7,18,38,327,1,1
Eddie Johnson,39.1,33.2,1858,57,55,2191,12,4,6,5,16,25,233,0,1
Toby Gowin,39,34.9,3278,94,59,3665,25,11,15,8,26,34,227,0,0
Leo Araguz,38.7,27.7,194,7,44,271,1,0,0,0,3,4,77,0,0
Matt Turk,38.7,34.5,2348,68,57,2631,23,5,11,7,25,20,143,0,0
Bill Lafleur,38.7,34,2311,69,56,2629,17,8,14,3,15,28,258,1,1
Jason Hanson,37.7,33.4,234,7,50,264,1,1,1,0,1,4,30,0,0
Ken Walter,37.7,34,2585,77,52,2865,25,2,28,3,10,33,220,1,1
Dan Stryzinski,37.4,31.7,2253,72,55,2655,22,6,13,4,26,22,322,1,1
Brooks Barnard,36.5,32.5,325,10,49,365,4,2,1,1,1,5,20,0,0
Tom Brady,36,36,36,1,36,36,1,0,1,0,0,0,0,0,0
Matt Stover,34,14,14,1,34,34,0,0,0,1,0,0,0,0,0
John Kasay,33,33,33,1,33,33,1,0,1,0,0,0,0,0,0
Billy Cundiff,32,12,12,1,32,32,0,0,0,1,0,0,0,0,0
Kyle Boller,29,29,29,1,29,29,0,0,0,0,0,1,0,0,0
Phil Dawson,29,29,29,1,29,29,1,0,1,0,0,0,0,0,0
Ryan Longwell,29,19,38,2,30,58,1,0,1,1,0,0,0,0,0
Mike Vanderjagt,29,29,29,1,29,29,1,0,1,0,0,0,0,0,0
Steve Christie,20,20,20,1,20,20,1,0,1,0,0,0,0,0,0
