Team,FF,FR,FR TD
Jets,24,18,0
Saints,21,17,0
Colts,20,19,0
Patriots,20,19,2
Dolphins,19,13,0
Buccaneers,16,19,2
Broncos,14,17,2
Chargers,14,22,0
Bears,13,16,1
Raiders,13,12,1
Eagles,13,13,0
Browns,12,19,1
Lions,12,19,0
Giants,12,19,0
Packers,11,12,0
Cardinals,11,12,0
Cowboys,10,18,0
Oilers,10,15,2
Rams,10,15,1
Vikings,9,18,0
Steelers,9,13,0
Chiefs,8,18,1
49ers,8,10,0
Seahawks,8,14,0
Falcons,7,14,2
Redskins,6,9,1
Bills,5,8,1
Bengals,3,11,1
