Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Jaguars,218,79,9,4,73,16.8,979
Browns,230,95,14,6,124,23.2,1035
Ravens,221,71,21,10,79,18.8,1002
Rams,216,83,8,5,122,23.9,1033
Seahawks,221,77,11,7,96,20.3,1049
Chiefs,210,72,16,7,96,18.9,991
Falcons,211,93,11,6,87,23.4,965
Texans,212,76,13,6,73,19.3,960
Niners,216,76,17,7,53,15,974
Bengals,220,78,11,4,94,22.1,1009
Redskins,206,77,10,4,95,21.7,988
Titans,236,96,20,8,111,24.1,1080
Vikings,208,92,9,5,92,21,1027
Broncos,218,73,9,3,101,20.7,1063
Colts,216,98,6,3,136,25.2,1062
Jets,211,69,10,1,83,18.4,993
Lions,205,67,19,8,91,22.2,1055
Chargers,195,96,9,1,102,22.8,958
Saints,202,67,22,6,92,26.2,1010
Dolphins,219,74,14,7,88,21.4,1043
Giants,220,84,18,10,103,23.7,1072
Buccaneers,185,73,13,9,135,27.1,1002
Eagles,211,75,17,7,84,20.3,982
Cardinals,226,71,8,4,118,24.8,1095
Bears,229,80,17,7,75,19.5,1048
Raiders,219,92,14,4,105,24.4,1070
Cowboys,204,81,11,4,78,20.3,972
Steelers,221,86,13,8,82,20.6,964
Patriots,202,87,19,8,101,24.9,1064
Bills,189,75,13,9,120,25.7,1003
Packers,195,83,16,4,96,25.1,1049
Panthers,194,83,12,4,110,24.4,972
