Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Steelers,35,83.3,32,94.1,0,1
Vikings,34,87.2,33,89.2,2,1
Ravens,33,82.5,29,100,0,1
Bears,33,84.6,28,96.6,0,0
Patriots,33,91.7,52,100,0,0
Panthers,30,83.3,56,94.9,0,0
Cowboys,30,93.8,25,100,0,0
Broncos,30,85.7,35,97.2,0,1
Chiefs,30,81.1,39,95.1,0,0
Giants,30,93.8,44,97.8,1,1
Seahawks,29,93.6,40,90.9,1,1
Buccaneers,29,72.5,31,91.2,0,0
Browns,28,87.5,22,91.7,0,1
Cardinals,28,90.3,53,91.4,1,0
Jets,27,81.8,42,97.7,0,0
Jaguars,26,86.7,32,82,0,1
Chargers,26,81.2,28,87.5,0,0
Redskins,26,86.7,40,97.6,2,0
Falcons,25,80.6,34,100,0,0
Colts,25,92.6,32,91.4,0,0
Packers,24,85.7,36,100,0,0
Niners,24,88.9,20,95.2,0,0
Bills,23,85.2,34,85,0,0
Bengals,23,82.1,48,98,0,0
Texans,23,85.2,32,88.9,0,0
Lions,22,91.7,36,92.3,0,0
Rams,21,67.7,27,93.1,0,1
Raiders,21,80.8,38,97.4,0,0
Eagles,21,80.8,42,95.4,0,2
Saints,18,69.2,44,95.6,0,1
Titans,14,87.5,29,93.6,0,0
Dolphins,13,81.2,33,91.7,0,1
