Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Jaguars,11.6,31,361,1,5,2,73T,16,3
Eagles,11.4,39,443,2,4,3,89T,18,1
Ravens,11.2,40,450,1,5,2,82T,15,2
Browns,11.2,29,325,1,4,1,78T,10,2
Seahawks,10.7,42,450,1,6,4,66T,22,2
Dolphins,10.3,41,424,1,6,1,69T,16,1
Giants,10.2,36,367,1,5,1,80T,9,3
Patriots,10.1,47,473,0,6,1,82,18,3
Buccaneers,9.9,29,288,0,4,1,58,14,7
Broncos,9.8,29,283,1,2,1,83T,26,3
Falcons,9.4,27,255,0,2,1,41,20,0
Panthers,9.4,30,282,0,3,0,37,25,0
Vikings,9.2,34,311,1,4,1,65T,15,2
Jets,8.6,49,422,0,2,1,58,22,1
Saints,8.6,32,275,1,3,1,74T,13,3
Steelers,8.2,28,231,1,2,1,71T,17,4
Bengals,8.1,43,350,0,1,0,35,12,1
Titans,8.1,38,307,0,2,0,37,17,2
Chiefs,7.9,45,355,0,3,0,37,9,4
Bears,7.8,31,242,0,2,0,34,22,3
Rams,7.7,39,300,1,4,1,75,15,3
Niners,7.5,30,226,0,3,0,37,23,4
Bills,7.5,31,232,0,1,0,27,22,5
Cardinals,7.4,39,289,0,2,0,38,22,6
Texans,7.2,52,377,0,1,0,20,23,3
Lions,7,30,209,0,3,0,28T,22,3
Colts,6.9,39,268,0,3,0,33,28,4
Raiders,6.5,42,272,0,3,0,22,13,2
Cowboys,5.6,33,183,0,2,0,28T,21,2
Packers,5.4,31,167,0,0,0,16T,23,2
Redskins,4.8,32,153,0,0,0,16,17,3
Chargers,4.2,20,84,0,0,0,18,26,3
