Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Steelers,35,42,83.3,1_1,11_11,9_9,19_12,2_2,0_0,51,0
Vikings,34,39,87.2,0_0,9_9,15_13,7_6,8_6,0_0,54,1
Ravens,33,40,82.5,0_0,10_10,9_9,11_10,10_4,0_0,52,0
Bears,33,39,84.6,1_1,8_8,12_10,9_7,9_7,0_0,55,0
Patriots,33,36,91.7,0_0,6_6,11_11,14_12,5_4,0_0,57,0
Panthers,30,36,83.3,1_1,10_10,5_4,16_13,4_2,0_0,52,4
Cowboys,30,32,93.8,0_0,9_9,10_10,7_6,6_5,0_0,54,0
Broncos,30,35,85.7,0_0,12_12,8_8,8_5,7_5,0_0,57,0
Chiefs,30,37,81.1,0_0,8_7,10_10,11_9,7_4,1_0,53,1
Giants,30,32,93.8,1_1,6_6,12_12,10_8,3_3,0_0,53,0
Seahawks,29,31,93.6,0_0,9_9,7_7,9_7,6_6,0_0,54,1
Buccaneers,29,40,72.5,0_0,11_10,11_10,9_4,9_5,0_0,58,0
Browns,28,32,87.5,0_0,11_11,10_10,9_7,2_0,0_0,47,4
Cardinals,28,31,90.3,1_1,12_12,9_9,7_6,2_0,0_0,47,0
Jets,27,33,81.8,0_0,6_6,10_10,14_9,3_2,0_0,55,0
Jaguars,26,30,86.7,0_0,10_9,8_8,8_6,4_3,0_0,58,1
Chargers,26,32,81.2,0_0,4_4,7_7,16_11,4_4,1_0,54,0
Redskins,26,30,86.7,0_0,7_7,9_9,10_8,4_2,0_0,54,1
Falcons,25,31,80.6,1_1,6_6,8_7,13_8,3_3,0_0,54,1
Colts,25,27,92.6,0_0,8_7,6_6,8_8,5_4,0_0,55,0
Packers,24,28,85.7,1_1,7_7,4_4,11_8,5_4,0_0,56,1
Niners,24,27,88.9,0_0,10_9,6_6,8_6,3_3,0_0,54,2
Bills,23,27,85.2,0_0,5_5,9_8,8_7,5_3,0_0,52,0
Bengals,23,28,82.1,0_0,6_6,6_5,13_10,3_2,0_0,52,1
Texans,23,27,85.2,1_1,6_6,8_8,7_6,5_2,0_0,51,0
Lions,22,24,91.7,0_0,3_3,9_8,6_6,6_5,0_0,59,0
Rams,21,31,67.7,1_1,2_2,11_10,8_5,6_2,3_1,61,3
Raiders,21,26,80.8,0_0,7_7,6_5,8_5,5_4,0_0,56,1
Eagles,21,26,80.8,0_0,5_5,11_9,6_5,4_2,0_0,53,0
Saints,18,26,69.2,0_0,6_5,9_7,6_3,5_3,0_0,57,2
Titans,14,16,87.5,0_0,3_3,3_3,7_7,3_1,0_0,51,0
Dolphins,13,16,81.2,1_1,3_3,4_4,6_4,1_1,1_0,53,0
