Team,Rsh TD,Rec TD,Tot TD,2-PT
Rams,20,37,61,1
Steelers,17,16,35,0
Buccaneers,17,13,34,1
Colts,16,27,46,1
Chiefs,16,17,34,1
49ers,16,32,50,0
Patriots,15,21,43,0
Seahawks,15,15,33,0
Raiders,14,27,45,1
Dolphins,14,20,40,1
Chargers,13,16,33,0
Bears,12,20,35,1
Titans,12,23,38,0
Ravens,11,18,30,0
Bengals,11,12,24,0
Packers,11,32,46,0
Jaguars,11,20,32,0
Giants,11,19,31,2
Jets,11,17,32,0
Vikings,10,23,34,2
Cardinals,10,18,31,1
Redskins,10,13,25,1
Falcons,9,19,29,0
Bills,9,18,31,0
Panthers,9,12,26,0
Browns,8,18,30,1
Cowboys,8,14,26,0
Lions,8,18,29,1
Saints,8,27,35,0
Broncos,7,26,35,1
Eagles,6,27,36,0
