Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Steelers,580,2774,4.8,17,25,6,48,148,25.5,16
49ers,509,2244,4.4,16,11,1,43,120,23.6,10
Cowboys,505,2184,4.3,8,14,5,80T,114,22.6,10
Redskins,490,1948,4,10,9,0,32,104,21.2,19
Ravens,483,1810,3.8,11,11,1,55,92,19,15
Broncos,481,1877,3.9,7,11,2,62,106,22,8
Bears,475,1742,3.7,12,10,1,46,99,20.8,6
Dolphins,473,1664,3.5,14,5,1,56,95,20.1,8
Patriots,473,1793,3.8,15,10,2,44T,101,21.4,12
Seahawks,469,1936,4.1,15,9,5,88T,107,22.8,9
Titans,468,1794,3.8,12,12,2,51,87,18.6,13
Raiders,450,1654,3.7,14,5,0,38,102,22.7,9
Chiefs,448,2008,4.5,16,11,1,41,119,26.6,7
Jets,445,2054,4.6,11,13,2,47T,105,23.6,10
Bengals,441,1712,3.9,11,13,2,96T,95,21.5,12
Falcons,439,1762,4,9,16,3,58,84,19.1,7
Colts,438,1966,4.5,16,12,2,77,110,25.1,10
Chargers,435,1695,3.9,13,9,2,67,92,21.2,10
Giants,424,1777,4.2,11,14,2,61,93,21.9,19
Saints,419,1712,4.1,8,4,2,54T,87,20.8,16
Browns,417,1351,3.2,8,6,2,51,78,18.7,10
Rams,416,2027,4.9,20,14,6,71,104,25,11
Eagles,412,1778,4.3,6,9,2,48T,90,21.8,6
Packers,410,1693,4.1,11,13,5,83,72,17.6,13
Buccaneers,407,1371,3.4,17,6,0,39,84,20.6,3
Bills,406,1686,4.2,9,8,2,68T,74,18.2,7
Cardinals,400,1449,3.6,10,9,1,42,77,19.2,14
Vikings,376,1609,4.3,10,7,0,34T,88,23.4,11
Jaguars,372,1600,4.3,11,13,1,54T,84,22.6,8
Panthers,354,1372,3.9,9,4,0,39,66,18.6,11
Lions,351,1398,4,8,13,0,38,74,21.1,4
