Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Titans,387,1390,3.6,7,62,16
Steelers,425,1693,4,9,82,19.3
Raiders,383,1551,4,8,85,22.2
Broncos,344,1598,4.6,13,80,23.3
Ravens,361,970,2.7,5,59,16.3
Giants,359,1156,3.2,7,62,17.3
Saints,395,1672,4.2,14,95,24
Dolphins,417,1736,4.2,9,92,22.1
Bengals,504,1925,3.8,12,101,20
Buccaneers,398,1648,4.1,12,84,21.1
Jaguars,436,1685,3.9,14,85,19.5
Bills,444,1559,3.5,13,76,17.1
Cowboys,538,2636,4.9,17,137,25.5
Lions,421,1823,4.3,14,96,22.8
Redskins,430,1853,4.3,9,97,22.6
Colts,446,1935,4.3,13,109,24.4
Vikings,396,1788,4.5,17,110,27.8
Patriots,495,1831,3.7,12,108,21.8
Jets,476,1888,4,9,98,20.6
Bears,469,1827,3.9,15,106,22.6
49ers,435,1794,4.1,22,110,25.3
Packers,417,1618,3.9,7,84,20.1
Seahawks,503,2454,4.9,20,126,25
Eagles,453,1830,4,10,105,23.2
Chiefs,441,1809,4.1,13,103,23.4
Rams,383,1697,4.4,18,95,24.8
Panthers,426,1944,4.6,12,107,25.1
Chargers,470,1422,3,10,76,16.2
Falcons,453,1983,4.4,16,113,24.9
Cardinals,578,2609,4.5,29,149,25.8
Browns,594,2505,4.2,26,147,24.8
