Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Bills,219,81,11,7,76,17.1,966
Ravens,211,72,19,4,59,16.3,924
Jaguars,203,74,8,4,85,19.5,934
Patriots,237,103,10,9,108,21.8,1068
Jets,238,93,16,7,98,20.6,1033
Giants,219,78,18,2,62,17.3,988
Steelers,222,78,17,8,82,19.3,985
Titans,221,68,12,1,62,16,908
Bengals,239,102,13,4,101,20,1068
Saints,204,80,14,4,95,24,949
Lions,215,80,16,9,96,22.8,993
Eagles,221,72,24,14,105,23.2,1055
Bears,223,82,17,12,106,22.6,1035
Chargers,242,91,9,5,76,16.2,1061
Broncos,191,66,18,6,80,23.3,962
Packers,224,82,11,7,84,20.1,1012
Dolphins,211,70,15,8,92,22.1,995
Redskins,205,72,10,4,97,22.6,937
Browns,227,98,17,11,147,24.8,1122
Raiders,205,81,14,4,85,22.2,1014
Seahawks,201,89,7,1,126,25,1019
Chiefs,207,84,11,8,103,23.4,1041
49ers,204,80,18,12,110,25.3,1031
Colts,217,84,14,10,109,24.4,1018
Cardinals,222,105,15,10,149,25.8,1062
Panthers,208,90,19,6,107,25.1,1005
Buccaneers,225,74,20,12,84,21.1,1047
Falcons,198,71,18,11,113,24.9,999
Cowboys,208,84,18,8,137,25.5,1021
Vikings,202,92,14,4,110,27.8,1011
Rams,192,74,12,6,95,24.8,968
