Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Andrew Beck,85,1,85,1,1,1,85,0,0
Damien Harris,41,1,41,0,1,1,41,0,0
Byron Pringle,38,1,38,0,1,0,38,0,0
Boston Scott,38,1,38,0,1,0,38,0,0
Raheem Blackshear,35.2,6,211,0,6,2,52,0,0
Marvin Mims Jr.,33.6,7,235,1,6,1,99,1,0
KaVontae Turpin,31.7,6,190,0,4,2,63,0,0
Britain Covey,30,1,30,0,1,0,30,0,0
Craig Reynolds,28,1,28,0,1,0,28,0,0
Jamal Agnew,27.7,7,194,0,6,1,53,0,0
Anthony McFarland,27.3,6,164,0,5,0,37,0,0
Laviska Shenault Jr.,27.2,5,136,0,5,0,37,0,1
Velus Jones Jr.,27.2,6,163,0,5,0,37,0,0
Keisean Nixon,26.4,19,502,0,16,2,51,0,0
DeeJay Dallas,25.7,9,231,0,9,0,34,0,0
Isaiah McKenzie,24.8,4,99,0,2,1,42,3,0
Ty Montgomery,24.7,7,173,0,5,1,43,0,0
Braxton Berrios,24.6,10,246,0,10,0,33,0,0
DeAndre Carter,24.3,7,170,0,6,1,40,0,0
Antonio Gibson,24.3,14,340,0,10,0,37,0,0
Ty Chandler,24.2,4,97,0,3,0,33,0,0
Pierre Strong,24,5,120,0,4,0,33,1,0
Parris Campbell,23.9,8,191,0,6,0,36,0,0
Godwin Igwebuike,23.2,4,93,0,2,0,36,1,0
Trayveon Williams,22.9,8,183,0,5,1,41,0,0
Austin Trammell,22.7,3,68,0,2,0,36,3,0
Chris Evans,22.5,2,45,0,1,0,27,0,0
Devin Singletary,22.5,4,90,0,2,0,35,0,0
Xavier Gipson,22.4,8,179,0,6,0,30,1,0
Cordarrelle Patterson,22.2,4,89,0,2,0,29,0,0
Ray-Ray McCloud,22.2,6,133,0,3,0,34,0,0
Andre Baccellia,22,1,22,0,1,0,22,0,0
Derius Davis,22,3,66,0,2,0,27,1,0
Tank Dell,22,2,44,0,2,0,23,1,0
Mohamed Ibrahim,22,1,22,0,1,0,22,0,0
Desmond King,22,4,88,0,3,0,27,0,0
Bam Knight,22,1,22,0,1,0,22,0,0
Tyler Scott,21.6,5,108,0,3,0,33,0,0
Rashid Shaheed,21.4,16,343,0,9,0,28,1,1
Jaelon Darden,21,2,42,0,1,0,23,0,0
D'Wayne Eskridge,21,4,84,0,3,0,27,0,0
Daniel Thomas,21,1,21,0,1,0,21,0,0
Deven Thompkins,20.6,11,226,0,5,0,32,1,0
Kene Nwangwu,20.5,2,41,0,1,0,28,1,0
Jerick McKinnon,20,1,20,0,1,0,20,0,0
Demarcus Robinson,20,1,20,0,1,0,20,0,0
Montrell Washington,20,1,20,0,1,0,20,0,0
Khalil Shakir,19.6,5,98,0,2,0,27,3,0
Devin Duvernay,19.1,8,153,0,4,0,28,4,0
Dallis Flowers,19,1,19,0,0,0,19,2,0
Tyjae Spears,19,5,95,0,2,0,29,6,0
Ty Johnson,18.8,4,75,0,2,0,24,0,0
Khalil Dorsey,17.6,5,88,0,0,0,19,0,0
Devon Allen,17,1,17,0,0,0,17,0,0
Rico Dowdle,17,5,85,0,2,0,31,0,0
Greg Dortch,16.9,8,135,0,2,0,28,0,0
Mike Boone,16.5,4,66,0,1,0,25,0,0
D'Ernest Johnson,16,2,32,0,1,0,22,0,0
Colby Parkinson,16,1,16,0,0,0,16,0,0
Ronnie Rivers,16,1,16,0,0,0,16,2,0
Mike Hughes,15.3,3,46,0,0,0,19,0,0
Eric Gray,14.5,4,58,0,1,0,20,1,0
Mecole Hardman,14,1,14,0,0,0,14,0,0
Richie James,14,1,14,0,0,0,14,0,0
Kyle Philips,13,1,13,0,0,0,13,0,0
Gunner Olszewski,12,2,24,0,1,0,24,0,0
Myles Bryant,11,1,11,0,0,0,11,0,0
Quez Watkins,11,1,11,0,0,0,11,0,0
Keith Smith,10,1,10,0,0,0,10,0,0
Trenton Irwin,8,1,8,0,0,0,8,0,0
Kyren Williams,8,1,8,0,0,0,8,0,0
Olamide Zaccheaus,7,1,7,0,0,0,7,1,0
Dee Alford,5,1,5,0,0,0,5,0,0
Roschon Johnson,0,1,0,0,0,0,0,0,0
Cole Kmet,0,1,0,0,0,0,0,0,0
Hunter Luepke,0,1,0,0,0,0,0,0,0
