Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Christian McCaffrey,747,153,9,3,2,65,44,28.8,2
Derrick Henry,625,148,4,3,1,63,30,20.3,0
Josh Jacobs,622,186,5,2,1,40,30,16.1,2
Travis Etienne,618,160,7,4,0,35,33,20.6,0
Zack Moss,617,133,5,6,2,56,31,23.3,0
James Cook,615,120,1,4,1,42,31,25.8,1
D'Andre Swift,614,135,3,4,1,43,30,22.2,2
Bijan Robinson,612,125,2,4,0,38,32,25.6,2
Raheem Mostert,605,109,11,6,2,49,32,29.4,2
Kenneth Walker III,595,145,6,5,1,45,28,19.3,0
Saquon Barkley,568,139,1,4,0,34,26,18.7,1
Joe Mixon,536,137,4,2,0,22,34,24.8,0
Jerome Ford,532,124,2,4,2,69,19,15.3,1
Tony Pollard,529,135,2,3,0,31,27,20,1
Isiah Pacheco,525,124,3,2,1,48,30,24.2,0
Breece Hall,521,107,2,4,3,83,17,15.9,2
Gus Edwards,502,121,8,3,1,42,30,24.8,0
David Montgomery,501,106,7,2,2,75,26,24.5,2
Brian Robinson,485,121,5,3,0,29,31,25.6,2
Rhamondre Stevenson,482,126,3,1,1,64,25,19.8,0
Lamar Jackson,481,92,5,2,0,26,33,35.9,4
Jahmyr Gibbs,476,90,4,5,0,35,20,22.2,0
Najee Harris,464,116,3,5,0,25,23,19.8,1
Alexander Mattison,461,130,0,0,0,19,18,13.8,1
De'Von Achane,460,38,5,6,4,76,15,39.5,1
Kyren Williams,456,97,6,3,0,31,26,26.8,1
James Conner,437,84,2,5,0,35,21,25,0
Javonte Williams,436,111,0,1,0,21,20,18,0
Rachaad White,429,132,3,0,0,16,20,15.2,0
Tyler Allgeier,402,125,3,1,0,22,25,20,0
Alvin Kamara,388,104,2,0,0,17,24,23.1,0
AJ Dillon,376,103,1,1,1,40,18,17.5,0
Joshua Dobbs,368,62,5,6,1,44,26,41.9,4
D'Onta Foreman,367,86,3,1,0,22,20,23.3,1
Jaylen Warren,364,71,2,2,0,22,20,28.2,1
Devin Singletary,359,92,1,1,0,22,13,14.1,0
Chuba Hubbard,351,94,1,2,0,21,25,26.6,0
Joshua Kelley,339,79,2,2,1,49,18,22.8,0
Austin Ekeler,332,92,4,2,1,55,13,14.1,0
Ezekiel Elliott,331,86,2,0,0,17,23,26.7,0
Dameon Pierce,327,109,1,0,0,16,12,11,0
Jonathan Taylor,323,85,2,2,1,42,16,18.8,0
Jalen Hurts,316,88,7,1,0,24,39,44.3,2
Jaleel McLaughlin,276,44,1,4,0,38,9,20.4,0
Khalil Herbert,272,51,0,3,0,34,12,23.5,0
Taysom Hill,261,50,3,1,0,20,19,38,0
Justice Hill,258,60,3,1,0,27,14,23.3,0
Patrick Mahomes,258,42,0,2,0,25,17,40.5,1
Josh Allen,246,48,7,1,0,23,23,47.9,4
Justin Fields,237,47,1,1,0,20,16,34,1
Tyjae Spears,234,44,1,2,0,23,12,27.3,0
Aaron Jones,231,62,2,0,0,11,10,16.1,1
Russell Wilson,231,40,0,2,0,21,21,52.5,1
Kareem Hunt,228,70,6,0,0,16,20,28.6,0
Miles Sanders,224,71,1,0,0,15,12,16.9,2
Trevor Lawrence,223,44,0,3,0,26,11,25,1
Latavius Murray,215,51,3,2,0,29,19,37.2,0
Zach Charbonnet,214,38,0,2,0,21,17,44.7,0
Rico Dowdle,212,47,1,1,0,21,11,23.4,0
Daniel Jones,206,40,1,0,0,17,15,37.5,1
Emari Demercado,195,49,1,0,0,18,8,16.3,0
Zach Wilson,184,29,0,2,0,20,7,24.1,3
Jordan Love,182,31,2,3,0,26,10,32.3,1
Craig Reynolds,179,41,1,0,0,19,11,26.8,1
Kenneth Gainwell,175,54,2,0,0,16,10,18.5,2
Sam Howell,174,31,1,2,0,24,11,35.5,1
Keaton Mitchell,172,12,2,3,2,60,6,50,0
Nick Chubb,170,28,0,1,0,20,8,28.6,0
Cam Akers,167,60,2,0,0,19,12,20,0
Roschon Johnson,167,38,1,1,0,29,8,21,0
Pierre Strong,152,34,1,1,1,40,6,17.6,0
Rondale Moore,150,21,1,2,2,45,4,19,0
Desmond Ridder,150,32,4,1,0,23,13,40.6,2
Dalvin Cook,147,47,0,0,0,10,9,19.2,1
Royce Freeman,142,33,1,0,0,15,9,27.3,0
Deshaun Watson,142,26,1,0,0,16,10,38.5,2
