Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Christian McCaffrey,459,80,6,2,2,65,23,28.8,0
D'Andre Swift,364,59,2,3,1,43,17,28.8,0
James Conner,318,62,2,4,0,26,15,24.2,0
Bijan Robinson,318,53,0,3,0,38,18,34,0
Tony Pollard,311,73,2,3,0,31,18,24.7,0
De'Von Achane,309,27,4,4,3,67,10,37,0
James Cook,296,56,1,2,0,36,14,25,0
Derrick Henry,285,73,2,2,0,29,16,21.9,0
Kenneth Walker III,283,64,5,2,0,36,17,26.6,0
Zack Moss,280,66,1,3,0,24,17,25.8,0
Isiah Pacheco,270,55,2,2,1,48,16,29.1,0
David Montgomery,262,69,5,0,0,16,16,23.2,1
Brian Robinson,261,61,3,2,0,27,19,31.2,1
Travis Etienne,260,69,1,1,0,26,10,14.5,0
Alexander Mattison,250,56,0,0,0,17,10,17.9,1
Raheem Mostert,249,48,6,2,1,43,14,29.2,1
Joe Mixon,247,59,1,1,0,22,15,25.4,0
Kyren Williams,245,64,5,1,0,20,15,23.4,1
Lamar Jackson,220,41,4,0,0,16,17,41.5,2
Breece Hall,210,32,0,3,2,83,6,18.8,2
Najee Harris,210,49,0,3,0,24,10,20.4,0
Joshua Kelley,207,57,1,1,0,22,15,26.3,0
Rachaad White,206,63,1,0,0,13,11,17.5,0
Khalil Herbert,196,41,0,2,0,24,10,24.4,0
Gus Edwards,193,44,1,1,0,20,11,25,0
Jerome Ford,186,50,1,1,1,69,6,12,1
Dameon Pierce,181,64,1,0,0,13,7,10.9,0
Jahmyr Gibbs,179,39,0,1,0,21,8,20.5,0
Daniel Jones,173,34,1,0,0,17,13,38.2,1
Nick Chubb,170,28,0,1,0,20,8,28.6,0
Josh Jacobs,166,62,1,0,0,10,10,16.1,0
Rhamondre Stevenson,164,60,1,0,0,12,9,15,0
Miles Sanders,158,54,1,0,0,15,7,13,1
Patrick Mahomes,154,23,0,1,0,25,12,52.2,1
Tyler Allgeier,151,45,2,1,0,22,10,22.2,0
Joshua Dobbs,141,24,1,2,1,44,11,45.8,3
Ezekiel Elliott,138,34,0,0,0,14,9,26.5,0
Javonte Williams,138,38,0,0,0,16,6,15.8,0
Justin Fields,134,28,1,1,0,20,8,28.6,1
Jalen Hurts,134,40,3,1,0,24,17,42.5,1
Anthony Richardson,131,23,4,1,0,23,8,34.8,2
Tyjae Spears,122,20,0,1,0,22,7,35,0
Chuba Hubbard,119,26,0,1,0,21,11,42.3,0
AJ Dillon,118,44,0,0,0,14,6,13.6,0
Austin Ekeler,117,16,1,1,1,55,4,25,0
Saquon Barkley,114,29,1,0,0,18,7,24.1,0
Kenneth Gainwell,111,32,0,0,0,16,5,15.6,1
Josh Allen,106,16,2,1,0,23,9,56.2,2
Zach Charbonnet,104,21,0,0,0,15,8,38.1,0
Roschon Johnson,103,22,1,1,0,29,5,22.7,0
Taysom Hill,101,20,0,0,0,19,6,30,0
Trevor Lawrence,101,23,0,1,0,22,7,30.4,1
Devin Singletary,95,27,0,0,0,14,2,7.4,0
Jaleel McLaughlin,92,13,1,1,0,31,4,30.8,0
Clyde Edwards-Helaire,89,25,1,0,0,16,5,20,0
Jaylen Warren,84,25,0,0,0,18,4,16,1
Justice Hill,83,22,2,0,0,15,6,27.3,0
