Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Marvin Mims Jr.,35,2,70,0,2,1,45,4,0
Rashid Shaheed,23.8,6,143,1,2,1,76,7,0
Charlie Jones,18.8,8,150,1,1,1,81,2,0
Keisean Nixon,17,2,34,0,1,0,34,0,0
Britain Covey,16.8,9,151,0,3,1,52,4,1
DeeJay Dallas,16.4,5,82,0,1,0,23,4,0
Jamal Agnew,15.8,4,63,0,1,1,48,3,0
Xavier Gipson,15.4,8,123,1,1,1,65,6,0
Isaiah McKenzie,13.5,6,81,0,1,0,32,8,0
Mason Kinsey,12.5,4,50,0,1,0,21,1,0
Jabrill Peppers,12.5,2,25,0,0,0,18,1,0
Christian Kirk,12,1,12,0,0,0,12,2,0
Devin Duvernay,11.8,8,94,0,2,0,31,6,0
Braxton Berrios,11.4,5,57,0,0,0,18,6,0
Ray-Ray McCloud,11.1,9,100,0,0,0,19,5,0
Montrell Washington,10.8,4,43,0,1,0,23,4,0
Derius Davis,10.5,8,84,0,1,0,20,1,1
Deonte Harty,10.3,3,31,0,1,0,23,7,0
Tank Dell,10.2,4,41,0,0,0,14,2,1
Jayden Reed,9.7,6,58,0,1,0,35,2,1
Kalif Raymond,9.1,8,73,0,0,0,17,8,0
Robert Woods,8.5,2,17,0,0,0,10,4,0
Kearis Jackson,8,6,48,0,0,0,14,3,0
Trent Taylor,8,3,24,0,0,0,8,5,0
DeAndre Carter,7.5,6,45,0,0,0,16,1,1
Marcus Jones,7,3,21,0,1,0,21,1,1
Kyren Williams,7,3,21,0,0,0,11,5,0
Donovan Peoples-Jones,6.2,8,50,0,0,0,13,7,1
Mike Hughes,6.2,5,31,0,0,0,16,4,0
Greg Dortch,6.1,7,43,0,0,0,19,3,0
Deven Thompkins,6.1,7,43,0,0,0,16,4,1
Ihmir Smith-Marsette,6.1,10,61,0,0,0,15,2,0
Eric Gray,6,4,24,0,0,0,14,2,1
KaVontae Turpin,6,5,30,0,0,0,12,8,0
Jamison Crowder,5.5,6,33,0,0,0,14,4,0
Brandon Powell,5.1,9,46,0,1,0,20,4,1
Calvin Austin III,5,6,30,0,0,0,14,3,0
Parker Washington,5,1,5,0,0,0,5,0,0
Demario Douglas,4.8,5,24,0,0,0,12,3,0
Richie James,4,6,24,0,0,0,9,2,1
Scott Miller,4,1,4,0,0,0,4,0,0
Austin Trammell,3.8,4,15,0,0,0,8,0,0
Trenton Irwin,2,1,2,0,0,0,2,1,1
Dee Alford,0,1,0,0,0,0,0,1,0
Ced Wilson,0,1,0,0,0,0,0,0,0
