Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Drew Brees,5476,8.3,657,468,71.2,46,14,110.6,278,42.3,69,11,79,24,158
Tom Brady,5235,8.6,611,401,65.6,39,12,105.6,261,42.7,71,14,99,32,173
Matthew Stafford,5038,7.6,663,421,63.5,41,16,97.2,243,36.6,64,16,73,36,257
Eli Manning,4933,8.4,589,359,61,29,16,92.9,216,36.7,67,18,99,28,199
Aaron Rodgers,4643,9.2,502,343,68.3,45,6,122.5,208,41.4,64,13,93,36,219
Philip Rivers,4624,8,582,366,62.9,27,20,88.7,234,40.2,69,8,58,30,198
Tony Romo,4184,8,522,346,66.3,31,10,102.5,203,38.9,56,11,77,36,227
Matt Ryan,4177,7.4,566,347,61.3,29,12,92.2,205,36.2,55,10,80,26,173
Ben Roethlisberger,4077,8,513,324,63.2,21,14,90.1,210,40.9,56,9,95,40,269
Cam Newton,4051,7.8,517,310,60,21,17,84.5,173,33.5,65,9,91,35,260
Ryan Fitzpatrick,3832,6.7,569,353,62,24,23,79.1,178,31.3,48,8,60,22,148
Joe Flacco,3610,6.7,542,312,57.6,20,12,80.9,179,33,44,7,74,31,203
Josh Freeman,3592,6.5,551,346,62.8,16,22,74.6,168,30.5,33,5,65,29,164
Matt Hasselbeck,3571,6.9,518,319,61.6,18,14,82.4,163,31.5,43,10,80,19,153
Mark Sanchez,3474,6.4,543,308,56.7,26,18,78.2,171,31.5,39,2,74,39,243
Andy Dalton,3398,6.6,516,300,58.1,20,13,80.4,156,30.2,48,10,84,24,160
Mike Vick,3303,7.8,423,253,59.8,18,14,84.9,155,36.6,50,6,73,23,126
Rex Grossman,3151,6.9,458,265,57.9,16,20,72.4,159,34.7,48,6,51,25,201
Alex Smith,3144,7.1,445,273,61.4,17,5,90.7,147,33,41,6,56,44,263
Tarvaris Jackson,3091,6.9,450,271,60.2,14,13,79.2,138,30.7,45,8,61,42,293
Carson Palmer,2753,8.4,328,199,60.7,13,16,80.5,122,37.2,43,11,78,17,119
Colt McCoy,2733,5.9,463,265,57.2,14,11,74.6,144,31.1,26,5,56,32,173
Matt Moore,2497,7.2,347,210,60.5,16,9,87.1,122,35.2,38,6,65,36,229
Matt Schaub,2479,8.5,292,178,61,15,6,96.8,118,40.4,37,9,80,16,98
Jay Cutler,2319,7.4,314,182,58,13,7,85.7,106,33.8,32,5,56,23,159
Blaine Gabbert,2214,5.4,413,210,50.8,12,11,65.4,109,26.4,25,4,74,40,293
Sam Bradford,2164,6.1,357,191,53.5,6,6,70.5,104,29.1,25,3,68,36,248
Kevin Kolb,1955,7.7,253,146,57.7,9,8,81,88,34.8,23,8,73,30,219
John Skelton,1913,7,275,151,54.9,11,14,69,82,29.8,31,7,60,23,162
Christian Ponder,1853,6.4,291,158,54.3,13,13,70.1,91,31.3,23,4,72,30,164
Kyle Orton,1758,7,252,150,59.5,9,9,77.8,94,37.3,19,4,52,10,54
Tim Tebow,1729,6.4,271,126,46.5,12,6,73,76,28,25,6,56,33,225
Matt Cassel,1713,6.4,269,160,59.5,10,9,76.6,83,30.9,21,5,52,22,120
Curtis Painter,1541,6.3,243,132,54.3,6,9,66.6,71,29.2,19,5,87,16,104
Dan Orlovsky,1201,6.2,193,122,63.2,6,4,82.4,70,36.3,8,1,40,14,84
Jason Campbell,1170,7.1,165,100,60.6,6,4,84.2,56,33.9,17,3,58,5,19
Donovan McNabb,1026,6.6,156,94,60.3,4,2,82.9,52,33.3,14,3,60,16,113
T.J. Yates,949,7.1,134,82,61.2,3,3,80.7,48,35.8,12,1,50,15,74
Chad Henne,868,7.8,112,64,57.1,4,4,79,41,36.6,16,1,41,11,67
Vince Young,866,7.6,114,66,57.9,4,9,60.8,39,34.2,13,3,58,8,34
John Beck,858,6.5,132,80,60.6,2,4,72.1,44,33.3,8,0,32,16,84
Tyler Palko,796,5.9,134,80,59.7,2,7,59.8,40,29.8,10,0,38,11,83
Caleb Hanie,613,6,102,51,50,3,9,41.8,29,28.4,6,1,81,19,133
Seneca Wallace,567,5.3,107,55,51.4,2,2,65.4,29,27.1,6,1,76,6,30
A.J. Feeley,548,5.6,97,53,54.6,1,2,66,27,27.8,5,0,34,10,72
Kellen Clemens,546,6,91,48,52.8,2,1,73.8,28,30.8,7,0,36,9,68
Jake Locker,542,8.2,66,34,51.5,4,0,99.4,22,33.3,8,4,54,5,37
Matt Flynn,518,10.6,49,33,67.4,6,2,124.8,22,44.9,6,3,80,5,18
Kerry Collins,481,4.9,98,48,49,2,1,65.9,29,29.6,5,0,36,5,40
Josh McCown,414,7.5,55,35,63.6,2,4,68.3,18,32.7,5,1,49,7,43
Joe Webb,376,6,63,34,54,3,2,74.6,16,25.4,4,0,36,3,21
