Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Sean Lissemore,38,1,38,0,1,0,38,0,0
Doug Baldwin,37,1,37,0,1,0,37,0,0
Quintin Demps,33.8,5,169,0,5,1,50,0,0
Percy Harvin,32.5,16,520,1,13,3,104,0,0
Joe McKnight,31.6,34,1073,1,27,5,107,0,1
Jacoby Ford,31,11,341,1,7,2,101,0,1
Cassius Vaughn,30,7,210,0,5,1,67,0,0
David Reed,29.7,18,534,0,16,3,77,0,3
Lardarius Webb,29.5,2,59,0,2,0,37,0,0
Dwayne Harris,28.9,8,231,0,7,1,51,0,0
Justin Rogers,28.7,13,373,0,11,3,54,0,0
Steve Slaton,28.3,3,85,0,2,1,42,0,0
Anthony Armstrong,28,1,28,0,1,0,28,0,0
Marcus Sherels,27.8,16,445,0,12,1,78,0,0
Randall Cobb,27.7,34,941,1,25,3,108,0,1
Ted Ginn,27.6,29,800,1,25,1,102,0,0
Richard Goodman,27.5,34,936,1,28,3,105,0,0
Bryan McCann,27.5,16,440,0,13,1,91,0,0
Danieal Manning,27.4,13,356,0,10,2,46,0,1
Antonio Brown,27.3,27,737,0,25,2,52,0,0
Darren Sproles,27.2,40,1089,0,33,2,92,0,0
Sammie Stroughter,27,20,540,0,15,1,78,0,1
Quan Cosby,26.9,17,457,0,13,2,63,0,0
Felix Jones,26.6,7,186,0,5,1,69,0,0
Johnny Knox,26.5,15,397,0,11,2,56,0,0
Kendall Hunter,26,6,156,0,5,1,43,0,0
Dominique Rodgers-Cromartie,26,2,52,0,2,0,29,0,0
Bernard Scott,26,1,26,0,1,0,26,0,0
Kyle Williams,26,4,104,0,3,0,33,0,0
Kealoha Pilares,25.6,23,590,1,15,2,101,0,1
Jordan Pugh,25.5,2,51,0,2,0,28,0,0
Jerious Norwood,25.5,24,611,0,21,1,47,0,0
A.J. Jefferson,25.4,14,356,0,11,1,51,0,0
Stefan Logan,25.2,33,832,0,29,1,42,0,2
Leon Washington,25.2,43,1084,0,33,4,54,0,0
Eric Decker,25,2,50,0,1,0,34,0,0
Josh Cribbs,25,39,974,0,29,3,63,0,0
Clyde Gates,24.8,34,843,0,24,1,77,0,0
Antonio Cromartie,24.5,17,417,0,12,2,46,0,1
Da'Rel Scott,24.4,14,341,0,11,0,38,0,0
Devin Thomas,24.3,25,607,0,20,1,40,0,0
Deji Karim,24.2,27,652,0,20,0,37,0,1
Sam Hurd,24,1,24,0,1,0,24,0,0
Devin McCourty,24,1,24,0,1,0,24,0,0
Buster Skrine,24,3,72,0,2,0,32,0,0
Torrey Smith,24,1,24,0,1,0,24,0,0
C.J. Spiller,23.8,6,143,0,4,0,35,0,0
LaRod Stephens-Howling,23.8,36,857,0,29,0,37,0,0
Brandon Tate,23.8,42,998,0,29,1,45,0,2
Lorenzo Booker,23.7,19,450,0,14,1,68,0,1
Julian Edelman,23.7,12,284,0,10,0,37,0,0
Jacob Hester,23.7,3,71,0,3,0,24,0,0
Eric Weems,23.5,24,563,0,18,0,37,0,0
Marc Mariani,23.4,32,748,0,24,2,49,0,1
Jerrel Jernigan,23.2,8,186,0,5,0,31,0,0
Tom Zbikowski,23.2,9,209,0,7,0,30,0,0
Brandon Banks,23,51,1174,0,33,3,47,0,2
Mike Goodson,22.7,11,250,0,8,0,31,0,0
Kahlil Bell,22.5,2,45,0,2,0,25,0,0
Dexter McCluster,22.3,25,557,0,14,0,35,0,2
Quinn Porter,22.2,25,554,0,17,0,32,0,1
DuJuan Harris,22,14,308,0,11,0,35,0,0
Jeremy Horne,22,2,44,0,2,0,24,0,0
Preston Parker,22,20,439,0,13,1,45,0,0
Devin Hester,21.9,33,723,1,15,2,98,0,0
Danny Woodhead,21.8,20,437,0,12,0,37,0,0
LaQuan Williams,21.8,5,109,0,2,0,37,0,1
Stevan Ridley,21.7,7,152,0,5,0,32,0,0
Dion Lewis,21.6,31,669,0,20,0,33,0,1
Will Blackmon,21.5,2,43,0,1,0,32,0,0
Chad Hall,21.5,2,43,0,1,0,24,0,0
Leodis McKelvin,21.5,2,43,0,2,0,22,0,0
Javier Arenas,21.3,17,362,0,10,0,35,0,0
Mike Adams,21,2,42,0,1,0,30,0,0
Austin Pettis,20.7,3,62,0,1,0,24,0,0
Taiwan Jones,20.6,8,165,0,3,1,46,0,0
Sherrick McManis,20.5,10,205,0,5,1,45,0,1
Cecil Shorts,20.5,4,82,0,2,0,23,0,0
Matt Willis,20.4,8,163,0,4,0,29,0,0
Josh Baker,20,3,60,0,1,0,29,0,0
Chris Carr,20,1,20,0,1,0,20,0,0
Daniel Fells,20,1,20,0,1,0,20,0,0
Matthew Mulligan,20,1,20,0,1,0,20,0,0
Brandon Saine,20,2,40,0,2,0,20,0,0
Jerricho Cotchery,19,1,19,0,0,0,19,0,0
Kevin Ogletree,19,6,114,0,2,0,25,0,0
Brad Smith,18.8,15,282,0,9,0,28,0,0
Akwasi Owusu-Ansah,18.7,3,56,0,1,0,23,0,0
Joe Young,18.6,31,578,0,11,1,51,0,1
Emmanuel Sanders,18.6,5,93,0,2,0,25,0,0
Denarius Moore,18.5,2,37,0,1,0,20,0,0
Dez Bryant,18.3,3,55,0,1,0,26,0,0
DeMarco Murray,18,2,36,0,1,0,22,0,0
Isaac Redman,18,1,18,0,0,0,18,0,0
Nick Miller,17.3,6,104,0,2,0,23,0,0
Armando Allen,17,1,17,0,0,0,17,0,0
Curtis Brinkley,17,2,34,0,1,0,22,0,0
Rashied Davis,17,2,34,0,0,0,18,0,0
Matthew Slater,17,4,68,0,2,0,22,0,1
Kyle Wilson,17,1,17,0,0,0,17,0,0
Andre Roberts,16.5,2,33,0,1,0,21,0,0
Micheal Spurlock,16.5,2,33,0,1,0,21,0,0
Riley Cooper,16,1,16,0,0,0,16,0,0
Eddie Royal,15.7,3,47,0,1,0,20,0,0
Tyvon Branch,15.5,2,31,0,0,0,16,0,0
