Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Cardinals,222,73,9,4,107,21.2,1041
Colts,197,75,7,3,102,23.8,995
Lions,208,76,6,5,107,25.5,998
Patriots,205,82,23,9,100,24.1,1046
Steelers,206,73,11,8,78,20,951
Eagles,203,83,10,2,108,22.6,994
Texans,215,71,16,5,94,24.1,1015
Raiders,212,83,14,8,95,21.4,995
Bears,220,78,16,10,75,19.3,1021
Browns,223,85,11,7,104,22.8,1095
Ravens,232,83,12,6,105,21.3,1086
Bengals,219,79,12,5,99,23.4,1034
Titans,214,85,14,6,122,25.3,1086
Jets,226,84,15,12,96,19.4,1019
Chargers,214,90,10,4,85,20.9,1012
Jaguars,215,89,9,4,133,24.4,1100
Broncos,216,66,18,7,73,18.1,1015
Packers,218,83,23,9,83,19.9,1033
Cowboys,202,81,11,6,92,20.9,986
Chiefs,202,79,4,3,106,22,973
Buccaneers,219,88,14,6,75,19.9,1031
Vikings,230,95,20,11,82,19.2,1083
Rams,213,80,16,6,107,24.2,1041
Dolphins,238,87,17,12,79,18.3,1073
Saints,208,80,19,10,116,25.4,1089
Falcons,200,81,13,6,99,24.1,991
Panthers,202,73,19,10,98,23.6,1010
Seahawks,198,76,10,3,80,21.7,968
Bills,209,92,12,6,136,28.9,1042
Niners,215,71,25,14,72,17.7,1012
Giants,198,84,21,10,104,23.2,1016
Redskins,215,95,14,8,89,24.5,1031
