Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Paul McFadden,30,37,81.1,0/0,4/5,13/16,10/12,0/0,0/0,52,0
Mike Lansford,25,33,75.8,2/2,9/9,10/13,3/7,0/0,0/0,50,1
Ray Wersching,25,35,71.4,1/1,8/8,8/11,7/13,0/0,0/0,53,3
Gary Anderson,24,32,75,0/0,8/9,6/9,8/11,0/0,0/0,55,1
Matt Bahr,24,32,75,3/3,12/12,2/7,6/9,0/0,0/0,50,0
Mark Moseley,24,31,77.4,1/1,9/10,12/13,1/5,0/0,0/0,51,1
Nick Lowery,23,33,69.7,0/0,7/7,6/11,8/10,0/0,0/0,52,1
Neil O'Donoghue,23,35,65.7,0/0,7/7,7/9,8/16,0/0,0/0,52,5
Rafael Septien,23,29,79.3,2/2,6/7,9/9,4/8,0/0,0/0,52,1
Jim Breech,22,31,71,0/0,9/10,10/12,3/4,0/0,0/0,48,0
Tony Franklin,22,28,78.6,2/2,10/10,4/7,6/8,0/0,0/0,48,0
Bob Thomas,22,28,78.6,3/3,6/7,5/6,6/9,0/0,0/0,52,0
Rich Karlis,21,28,75,1/1,6/7,7/8,6/9,0/0,0/0,50,0
Morten Andersen,20,27,74.1,0/0,9/9,4/5,5/10,0/0,0/0,53,1
Chris Bahr,20,27,74.1,1/1,7/7,4/7,7/11,0/0,0/0,50,3
Norm Johnson,20,24,83.3,0/0,9/10,4/4,6/7,0/0,0/0,50,0
Mick Luckhurst,20,27,74.1,0/0,4/4,9/10,4/9,0/0,0/0,52,0
Eddie Murray,20,27,74.1,1/1,1/2,5/7,12/13,0/0,0/0,52,1
Jan Stenerud,20,23,87,2/2,3/3,9/9,3/5,0/0,0/0,54,0
Obed Ariri,19,26,73.1,0/0,7/7,6/7,6/10,0/0,0/0,49,0
Rolf Benirschke,17,26,65.4,1/1,4/6,3/4,8/11,0/0,0/0,51,1
Ali Haji-Sheikh,17,33,51.5,1/1,3/3,8/13,5/12,0/0,0/0,48,1
Pat Leahy,17,24,70.8,2/2,5/6,7/8,2/5,0/0,0/0,52,2
Raul Allegre,11,18,61.1,0/0,4/4,1/2,3/6,0/0,0/0,54,2
Joe Cooper,11,13,84.6,2/2,2/2,4/4,3/5,0/0,0/0,44,0
Al Del Greco,9,12,75,0/0,2/2,3/4,4/5,0/0,0/0,45,0
Uwe von Schamann,9,19,47.4,0/0,7/7,2/5,0/4,0/0,0/0,37,1
Joe Danelo,8,16,50,0/0,5/5,2/4,0/4,0/0,0/0,52,2
Florian Kempf,4,6,66.7,0/0,3/3,0/1,1/2,0/0,0/0,49,0
Dean Biasucci,3,5,60,0/0,1/1,0/0,1/1,0/0,0/0,50,0
Eddie Garcia,3,9,33.3,0/0,0/2,1/3,1/3,0/0,0/0,51,1
Chuck Nelson,3,5,60,0/0,0/0,1/2,2/3,0/0,0/0,47,0
Benny Ricardo,3,3,100,0/0,1/1,1/1,1/1,0/0,0/0,42,0
Steve Cox,1,3,33.3,0/0,0/0,0/0,0/0,0/0,0/0,60,0
