Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Jim Arnold,44.9,37.5,3676,98,63,4397,22,8,11,13,6,60,461,0,0
Reggie Roby,44.7,38.1,1943,51,69,2281,15,5,6,10,13,17,138,0,0
Rohn Stark,44.7,37.2,3643,98,72,4383,21,4,10,7,15,62,600,0,0
Brian Hansen,43.8,33.8,2330,70,66,3020,9,10,0,7,5,47,550,1,1
Steve Cox,43.4,34.6,2564,76,69,3213,16,5,11,8,7,43,489,0,2
Luke Prestridge,42.8,35.4,1556,44,89,1884,8,6,3,5,9,21,228,1,0
Greg Coleman,42.4,36.6,2998,82,62,3473,16,13,10,2,8,49,435,0,0
Bucky Scribner,42.3,35.2,2988,85,61,3596,18,12,10,12,5,46,368,0,0
Pat McInally,42.3,35.2,2362,67,61,2832,19,12,6,8,3,38,310,0,0
Mike Horan,42.2,35.6,3274,92,69,3880,21,18,2,6,8,58,486,0,0
Rich Camarillo,42.1,34.7,1666,48,61,2020,12,7,7,7,3,24,214,0,0
Maury Buford,42,35.1,2314,66,60,2773,11,11,4,3,5,43,399,0,0
John Kidd,42,33.4,2939,90,63,3696,16,9,9,8,10,52,597,0,2
Ralph Giacomarro,42,33.6,2285,70,58,2855,12,10,6,6,4,42,450,1,2
Frank Garcia,41.9,34.7,2359,68,60,2849,12,8,4,9,11,36,310,0,0
Ray Guy,41.9,35.4,3224,91,63,3809,25,24,7,12,14,34,345,0,0
Max Runager,41.8,34.4,1925,57,59,2341,18,8,7,12,3,26,176,0,1
Mike Black,41.6,32.7,2488,76,63,3164,13,12,5,8,2,49,516,1,0
Craig Colquitt,41.2,34.7,2432,70,62,2883,21,14,8,5,6,37,351,1,0
Dave Finzer,40.1,36.1,2999,85,87,3328,26,16,10,4,12,41,249,0,2
Chris Norman,40.1,35.4,3395,96,83,3850,16,11,10,6,25,44,335,0,0
Dave Jennings,40,32.4,2919,93,54,3598,22,7,10,10,13,50,479,2,3
Chuck Ramsey,39.7,34.2,2533,75,64,2935,19,3,7,8,19,37,242,0,1
John James,39.6,31.4,2764,88,55,3482,20,11,3,5,9,60,618,0,0
Jeff Hayes,39.4,35.4,2547,73,59,2834,11,6,7,5,16,38,187,0,1
Tom Orosz,39,36.2,181,5,55,195,1,0,0,0,1,4,14,0,0
John Misko,38.7,33.6,2490,74,58,2866,21,2,7,9,21,35,196,0,0
Carl Birdsong,38.7,32.8,2195,68,59,2594,19,9,10,8,13,27,239,0,1
Danny White,38.4,34.6,2835,82,54,3151,21,10,9,8,17,38,156,0,0
John Warren,38,33,692,21,48,799,3,1,2,3,2,13,47,0,0
Jeff West,37.6,33.3,3162,95,60,3567,24,8,6,10,39,32,205,1,0
Jim Miller,34.6,29.2,146,5,41,173,1,1,0,0,0,4,27,0,0
