Team,Rsh TD,Rec TD,Tot TD,2-PT
Ravens,3,0,3,1
Cowboys,3,0,5,0
Rams,3,0,3,0
Chargers,3,1,4,0
Falcons,2,1,3,0
Jaguars,2,2,4,0
Bears,1,1,2,1
Browns,1,1,2,1
Lions,1,1,3,0
Packers,1,3,5,0
Colts,1,1,2,0
Dolphins,1,3,4,0
49ers,1,2,3,0
Commanders,1,1,2,0
Bills,0,1,1,0
Panthers,0,1,1,0
Bengals,0,0,0,0
Broncos,0,2,2,0
Titans,0,0,0,0
Texans,0,0,0,0
Chiefs,0,2,2,0
Raiders,0,2,2,0
Vikings,0,2,2,0
Patriots,0,3,3,0
Saints,0,1,1,0
Giants,0,0,0,0
Jets,0,1,2,0
Eagles,0,1,2,0
Cardinals,0,0,0,0
Steelers,0,1,1,0
Seahawks,0,1,1,0
Buccaneers,0,2,2,0
