Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Patriots,54,35,64.8,5.8,316,3,1,91.3,18,33.3,2,0,32,2,10
Steelers,46,31,67.4,5,232,1,2,68.4,9,19.6,2,0,31,5,34
Dolphins,45,28,62.2,10.4,466,3,1,110,23,51.1,8,1,47,0,0
Texans,44,28,63.6,5.5,242,0,0,78,13,29.6,1,0,26,5,46
Vikings,44,33,75,7.8,344,2,1,102.8,15,34.1,5,1,42,2,16
Bills,41,29,70.7,5.8,236,1,3,62.6,11,26.8,1,0,26,5,19
Colts,39,24,61.5,5.7,223,1,1,75,12,30.8,3,0,39T,4,8
Chiefs,39,21,53.8,5.8,226,2,1,77.5,10,25.6,4,0,34,0,0
Panthers,38,20,52.6,3.8,146,1,2,48.8,9,23.7,0,0,14,2,19
Rams,38,24,63.2,8.8,334,0,0,91.3,17,44.7,6,1,44,0,0
Bears,37,24,64.9,5.8,216,1,1,78.2,12,32.4,2,0,23,4,27
Lions,35,22,62.9,7.2,253,1,0,94.1,11,31.4,4,0,33,1,3
Broncos,34,27,79.4,5.2,177,2,0,108,11,32.4,2,0,21,2,11
Titans,34,16,47.1,5.8,198,0,3,28.8,8,23.5,3,1,46,3,17
Buccaneers,34,21,61.8,5.1,173,2,0,94.4,9,26.5,1,0,28T,1,4
Saints,33,23,69.7,9.2,305,1,1,96.2,12,36.4,5,2,45,4,23
Eagles,33,22,66.7,5.2,170,1,0,89.2,8,24.2,1,0,23,3,16
Chargers,33,23,69.7,6.9,228,1,0,99,10,30.3,3,0,36,3,29
Bengals,32,14,43.8,2.6,82,0,0,51,3,9.4,0,0,12,2,15
Jaguars,32,24,75,7.5,241,2,1,103.8,10,31.2,3,0,29,2,4
Commanders,31,19,61.3,6.5,202,1,1,77.6,10,32.3,1,0,32,6,46
Giants,30,17,56.7,3.7,110,0,2,36.8,5,16.7,2,0,24,7,47
Cardinals,30,21,70,4.4,132,0,0,78.8,9,30,1,0,31,3,18
Browns,29,16,55.2,5.3,154,1,1,67.3,9,31,2,0,33,3,10
49ers,29,19,65.5,7.6,220,2,0,111.3,13,44.8,3,0,23,3,17
Packers,27,15,55.6,9.1,245,3,0,123.2,10,37,4,1,51,1,8
Raiders,26,20,76.9,7.7,200,2,1,107.8,11,42.3,2,0,21,0,0
Seahawks,26,16,61.5,4.3,112,1,0,84.1,7,26.9,1,0,28,2,17
Cowboys,25,13,52,5.7,143,0,0,69.2,8,32,1,1,49,0,0
Ravens,22,17,77.3,7.7,169,0,1,79.6,8,36.4,3,0,29,4,14
Jets,22,14,63.6,6.4,140,1,1,77.8,7,31.8,3,0,24,3,23
Falcons,18,15,83.3,6.4,115,1,0,111.8,6,33.3,1,0,34,4,24
