Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
Texans,18,7,4,1,13,46.4,1,4.4,72
Rams,17,11,1,1,17,70.8,8,20,78
Buccaneers,17,6,1,1,9,42.9,5,15.2,68
Packers,16,9,2,1,10,66.7,5,15.6,60
Saints,16,7,0,0,12,52.2,2,7.4,64
Giants,16,5,5,3,5,29.4,6,21.4,65
Ravens,15,8,0,0,8,47.1,7,21.9,58
Bengals,15,2,1,0,3,21.4,2,10,54
Lions,15,5,3,1,11,50,8,23.5,70
Patriots,15,5,4,1,18,51.4,5,22.7,78
Steelers,15,5,3,1,9,29,3,30,61
Chargers,15,9,1,0,10,43.5,17,42.5,76
Panthers,14,5,2,0,9,45,9,28.1,72
Browns,14,4,0,0,9,56.2,12,30,72
Chiefs,14,5,1,0,10,47.6,6,26.1,62
Vikings,14,6,0,0,15,45.4,2,11.8,63
Cardinals,14,4,1,0,9,42.9,4,16,58
Bills,13,5,0,0,11,37.9,8,36.4,68
Bears,13,3,2,1,12,50,8,27.6,70
Cowboys,13,6,2,1,8,61.5,7,23.3,55
Jets,13,5,1,1,7,50,5,17.9,53
Eagles,13,4,1,0,8,36.4,6,24,61
49ers,13,6,1,1,13,68.4,8,23.5,66
Titans,12,2,0,0,8,50,5,22.7,59
Colts,12,2,5,1,12,50,4,15.4,69
Jaguars,12,3,3,1,10,41.7,9,25.7,69
Commanders,12,4,0,0,10,52.6,7,25,65
Broncos,11,5,0,0,11,40.7,5,22.7,58
Raiders,11,5,1,1,11,55,5,17.2,55
Falcons,10,2,0,0,6,40,7,26.9,48
Dolphins,9,4,1,1,23,82.1,5,25,65
Seahawks,9,2,0,0,7,43.8,3,16.7,46
