Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Packers,25,39,64.1,3_3,7_7,12_8,12_6,0_0,0_0,52,3
Lions,23,32,71.9,0_0,8_6,15_13,8_4,0_0,0_0,42,2
Steelers,20,29,69,0_0,9_8,12_8,7_4,0_0,0_0,45,1
Bills,19,33,57.6,0_0,10_8,9_6,12_5,0_0,0_0,47,4
Redskins,19,31,61.3,1_1,6_3,13_9,10_6,0_0,0_0,48,2
Chiefs,17,24,70.8,1_1,7_7,8_5,4_3,0_0,0_0,50,2
Patriots,16,22,72.7,0_0,7_6,10_8,5_2,0_0,0_0,46,1
Browns,14,16,87.5,1_1,7_7,3_3,4_3,0_0,0_0,46,0
Cardinals,13,22,59.1,0_0,3_2,9_5,10_6,0_0,0_0,47,2
Colts,12,20,60,0_0,8_8,5_2,6_2,0_0,0_0,45,1
Vikings,12,20,60,0_0,7_7,7_3,6_2,0_0,0_0,46,0
Jets,12,18,66.7,1_0,6_4,7_5,4_3,0_0,0_0,45,3
Bengals,11,18,61.1,1_1,2_2,9_5,6_3,0_0,0_0,47,3
Broncos,11,21,52.4,1_0,4_3,7_6,8_2,0_0,0_0,43,0
Raiders,11,17,64.7,1_1,3_3,8_5,3_2,0_0,0_0,49,1
49ers,11,24,45.8,2_2,7_5,3_2,12_2,0_0,0_0,46,3
Cowboys,10,21,47.6,1_1,6_6,8_3,5_0,0_0,0_0,39,2
Giants,10,19,52.6,0_0,3_2,8_6,8_2,0_0,0_0,42,0
Eagles,10,16,62.5,1_1,2_1,6_4,6_4,0_0,0_0,48,0
Falcons,9,16,56.2,0_0,4_2,5_5,6_2,0_0,0_0,47,2
Bears,9,13,69.2,0_0,5_4,5_3,3_2,0_0,0_0,44,0
Oilers,9,19,47.4,0_0,7_4,4_2,7_3,0_0,0_0,46,1
Rams,9,16,56.2,1_1,6_5,5_2,4_1,0_0,0_0,46,1
Saints,9,16,56.2,0_0,6_4,4_2,4_1,0_0,0_0,52,1
Dolphins,8,15,53.3,1_0,5_4,3_2,4_2,0_0,0_0,43,1
Chargers,6,16,37.5,0_0,3_2,5_1,5_3,0_0,0_0,42,3
