Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Redskins,25.9,45,1166,1,0,0,102T,0,0
Giants,24.7,59,1458,0,0,0,72,0,0
Cardinals,24.1,50,1203,1,0,0,94T,0,0
Rams,23.4,40,938,1,0,0,84T,0,0
Browns,22.9,60,1375,1,0,0,88T,0,0
Oilers,22.9,62,1419,0,0,0,67,0,0
Dolphins,22.8,49,1118,0,0,0,73,0,0
Raiders,22.8,50,1140,0,0,0,67,0,0
Bills,22.6,50,1128,0,0,0,74,0,0
Colts,22.6,66,1489,0,0,0,55,0,0
49ers,22.4,51,1144,0,0,0,57,0,0
Eagles,22.1,48,1062,0,0,0,52,0,0
Bears,22,57,1256,0,0,0,69,0,0
Broncos,22,54,1188,0,0,0,41,0,0
Cowboys,21.9,49,1071,0,0,0,43,0,0
Vikings,21.8,50,1090,0,0,0,52,0,0
Chiefs,21.6,56,1211,0,0,0,57,0,0
Falcons,21.6,60,1296,0,0,0,59,0,0
Steelers,21.4,42,901,0,0,0,60,0,0
Bengals,21.4,54,1157,0,0,0,48,0,0
Jets,21.4,61,1307,0,0,0,46,0,0
Packers,20.9,49,1022,0,0,0,52,0,0
Lions,20.8,62,1293,0,0,0,59,0,0
Chargers,20.8,55,1142,0,0,0,39,0,0
Patriots,20.7,58,1198,0,0,0,62,0,0
Saints,19.6,53,1040,0,0,0,41,0,0
