Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Patriots,13.3,40,533,0,0,0,66,11,0
Lions,12.6,34,429,0,0,0,58,10,0
Falcons,12.4,51,635,1,0,0,72T,3,0
Bengals,12.2,52,632,2,0,0,90T,6,0
Oilers,12.1,41,495,0,0,0,49,5,0
Steelers,11.6,67,774,1,0,0,69,3,0
Raiders,11.5,45,517,0,0,0,55,3,0
Dolphins,11.3,46,520,0,0,0,42,3,0
Broncos,11,43,474,0,0,0,60,7,0
Browns,10.1,52,523,0,0,0,72,1,0
Giants,10,41,408,0,0,0,40,2,0
Packers,9.9,42,416,2,0,0,95,8,0
Cardinals,9.8,52,512,0,0,0,43,9,0
Redskins,9.8,46,453,1,0,0,58T,6,0
Saints,9.6,43,415,0,0,0,40,7,0
Rams,9.6,53,507,0,0,0,23,5,0
Cowboys,9.2,62,573,1,0,0,98T,7,0
Eagles,9.2,37,339,0,0,0,22,5,0
49ers,9,44,398,1,0,0,88T,5,0
Bills,8.2,56,460,0,0,0,52,4,0
Jets,8,53,425,0,0,0,38,2,0
Chargers,7.8,37,287,0,0,0,28,4,0
Vikings,7.4,43,320,0,0,0,20,8,0
Chiefs,6.7,44,296,0,0,0,54,4,0
Colts,6,42,253,0,0,0,18,5,0
Bears,5.6,44,248,0,0,0,15,5,0
