Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Bears,17.1,33,564,3,9,5,89T,10,0
Cowboys,15.9,24,382,3,5,3,97,14,5
Patriots,13.4,27,361,1,5,2,94,14,2
Titans,12.2,27,329,1,4,1,87T,17,1
Falcons,12.1,19,230,1,1,1,55,19,1
Lions,12.1,30,362,0,4,1,71,21,2
Niners,11.8,31,366,1,4,2,78T,25,2
Rams,11.3,40,452,0,7,2,42,19,0
Seahawks,11.1,42,468,0,6,4,84T,14,3
Redskins,10.8,40,432,0,6,1,53,13,2
Browns,10.7,22,235,0,1,1,62,11,4
Eagles,10.6,38,404,1,4,2,65T,19,3
Bills,10.5,32,336,0,8,0,34T,18,4
Chargers,10.5,40,420,0,3,2,62,19,1
Dolphins,10.5,28,293,0,2,1,47T,22,4
Broncos,10.4,31,323,0,3,0,33,15,4
Chiefs,10.1,52,524,1,6,1,94T,9,2
Jaguars,10,36,359,1,5,3,78,8,3
Panthers,9.6,39,373,0,7,0,37,6,4
Jets,9.4,56,529,0,5,0,32,25,3
Vikings,8.6,42,361,0,4,1,52,22,2
Packers,7.9,41,325,0,3,2,52,19,2
Saints,7.8,27,210,0,2,2,72,18,3
Ravens,7.4,43,319,0,4,0,35,26,3
Bengals,7.2,36,258,0,2,0,27T,21,1
Raiders,7,55,386,0,3,2,53T,11,2
Cardinals,7,42,294,0,2,0,25,8,5
Colts,6.9,31,214,0,0,0,18,24,3
Texans,6.7,35,235,0,1,0,39T,16,0
Buccaneers,6.4,30,193,0,2,0,23,16,3
Giants,6.1,43,263,0,3,0,22,13,4
Steelers,6.1,37,226,0,3,0,38,19,3
