Team,Net Avg,Net Yds,Punts,Avg,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Cowboys,42.3,2750,65,47.9,65,3115,22,11,6,8,7,33,205,0,1
Raiders,40.6,3171,78,46.8,68,3651,27,7,10,4,11,46,400,0,0
Rams,40,3761,94,45.5,63,4276,32,6,18,4,21,45,435,1,0
Ravens,39.2,3175,81,43.6,60,3530,39,11,10,4,22,34,275,0,0
Jaguars,39.2,2233,57,43.8,63,2496,26,5,11,7,15,19,123,0,0
Titans,39.1,3008,77,42.9,68,3302,24,8,14,4,16,35,214,0,0
Eagles,39,2846,73,43.8,63,3195,28,11,5,2,21,34,309,0,0
Browns,39,3039,78,43.9,59,3424,29,8,12,5,13,40,285,0,0
Vikings,38.9,3228,83,43,59,3569,32,7,17,5,22,32,241,1,0
Dolphins,38.8,2835,73,46.2,69,3369,31,2,9,4,15,43,454,1,2
Bengals,38.7,2748,71,42.1,72,2992,28,8,17,6,14,26,124,0,1
Saints,38.4,2188,57,45.9,64,2618,21,5,10,6,10,26,310,0,0
Patriots,38.4,2226,58,43.2,65,2505,19,2,12,5,14,25,179,0,0
Niners,38.2,3480,91,46.2,64,4203,34,2,11,12,12,54,483,0,0
Jets,38.1,3202,84,42.6,61,3581,42,11,15,4,27,27,299,0,0
Chiefs,37.8,3360,89,44.3,72,3941,33,10,6,11,20,42,361,0,1
Packers,37.6,2673,71,43.9,62,3114,25,9,8,5,18,31,341,1,0
Steelers,37.3,2762,74,44.3,62,3276,22,2,4,11,25,32,294,0,0
Seahawks,37.3,2907,78,41.7,63,3254,27,5,14,1,23,35,327,1,0
Texans,36.8,2317,63,42.1,60,2650,19,4,11,5,14,29,233,0,0
Cardinals,36.6,3442,94,43.4,65,4080,29,14,16,9,20,35,458,0,0
Broncos,36.6,3145,86,44.6,63,3835,19,7,5,7,17,50,550,0,0
Bills,36.6,2742,75,42.4,61,3181,17,12,7,7,17,32,299,0,0
Panthers,36.5,3469,95,43.1,60,4097,22,8,10,7,16,54,488,1,0
Falcons,36.1,2673,74,40.7,61,3014,29,6,11,5,24,28,241,0,1
Lions,35.8,3225,90,44.6,66,4018,24,4,7,8,17,54,633,1,0
Buccaneers,35.5,2701,76,40.2,64,3053,24,10,11,6,17,32,232,0,0
Colts,35.5,2450,69,42.2,66,2909,23,3,8,8,22,28,299,1,0
Bears,35.2,2923,83,40.1,56,3326,24,14,15,5,10,39,303,1,0
Giants,34.8,2507,72,44.8,69,3222,20,11,9,9,7,36,535,2,1
Redskins,34.1,3168,93,40.6,56,3776,23,17,12,2,17,45,568,1,1
Chargers,33.1,1722,52,46.7,67,2430,13,5,3,9,7,28,528,1,4
