Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
Rams,33,84.6,26,96.3,0,0
Raiders,33,80.5,43,100,3,0
Eagles,32,84.2,47,100,0,1
Dolphins,30,73.2,25,100,0,0
Jets,30,76.9,37,100,2,0
Steelers,29,78.4,38,100,1,0
Falcons,28,90.3,44,100,1,1
Texans,27,90,43,100,0,0
Chargers,27,81.8,48,100,0,0
Ravens,26,89.7,39,100,1,0
Colts,26,92.9,51,100,1,0
Panthers,25,86.2,17,100,0,0
Bears,25,83.3,35,100,0,3
Lions,25,83.3,35,97.2,1,0
Saints,25,80.6,43,100,0,0
Seahawks,25,83.3,31,100,3,0
Bengals,24,77.4,30,93.8,0,0
Cowboys,24,75,42,95.4,0,3
Titans,24,92.3,38,100,1,1
Cardinals,24,88.9,29,100,2,0
Redskins,24,68.6,28,100,1,0
Browns,23,82.1,28,100,0,0
Buccaneers,23,82.1,36,100,1,0
Broncos,22,88,38,97.4,1,0
Packers,22,78.6,46,100,0,0
Jaguars,22,78.6,41,100,0,1
Patriots,22,88,62,96.9,2,1
Niners,22,81.5,33,100,0,1
Chiefs,20,76.9,42,100,0,1
Giants,19,82.6,47,100,0,0
Vikings,17,94.4,30,96.8,1,0
Bills,16,76.2,31,96.9,1,0
