Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Phil Dawson,48,47,47,1,48,48,0,0,0,0,0,1,1,0,0
Johnny Hekker,47.9,43.7,4192,96,68,4601,41,8,17,6,25,40,289,1,0
Patrick McAfee,47.7,41.7,3546,85,63,4052,28,7,13,6,23,36,386,3,0
Matt Darr,47.6,39.7,3654,92,70,4380,30,9,8,10,15,50,526,0,0
Brett Kern,47.4,40.3,3550,88,61,4175,34,11,6,1,23,47,605,1,0
Shane Lechler,47.3,38.8,3685,95,64,4497,24,2,8,10,15,60,612,0,0
Matt Bosher,47.2,41.1,2383,59,69,2735,24,3,4,4,19,28,272,0,1
Donnie Jones,47,42.6,3663,88,64,4038,29,1,12,8,23,42,215,0,2
Andy Lee,46.7,40.1,2809,70,67,3270,25,7,7,4,15,37,381,1,0
Sam Koch,46.7,43,3178,74,67,3454,29,15,7,5,12,35,176,0,0
Colton Schmidt,46.3,41.3,3384,82,65,3797,22,9,10,3,20,40,353,0,0
Bryan Anger,46.2,39.5,3158,80,63,3700,26,3,6,4,22,45,462,0,0
Tress Way,46.1,40.4,2826,71,64,3224,21,5,14,7,14,30,258,1,1
Ryan Allen,46,40.4,2951,74,67,3358,31,11,6,3,14,39,347,1,1
Sam Martin,46,42,3356,80,66,3679,25,4,10,3,20,43,263,0,0
Kevin Huber,45.8,41.1,2793,69,67,3116,22,4,11,6,15,32,203,0,1
Jon Ryan,45.7,37.9,2579,68,73,3105,24,4,8,7,20,29,386,1,0
Thomas Morstead,45.6,40.7,2277,56,58,2551,20,12,2,4,14,24,194,0,0
Brad Nortman,45.4,39.8,2787,70,65,3175,20,6,3,5,19,37,288,1,0
Spencer Lanning,45.3,35.7,107,3,51,136,1,0,0,0,0,3,29,0,0
Mike Scifres,45.3,38.7,2789,73,68,3261,15,4,8,2,14,44,432,0,1
Chris Jones,45.2,42.5,2935,69,61,3117,27,16,6,1,22,24,162,0,0
Marquette King,44.5,41.2,3416,84,70,3697,40,9,21,4,19,30,201,0,1
Brad Wing,44.5,39,2960,76,64,3380,33,2,17,6,21,30,300,0,0
Dustin Colquitt,44.4,40.8,3063,75,62,3333,37,9,14,5,21,26,170,0,0
Pat O'Donnell,44.2,40.3,2820,71,72,3097,28,6,11,4,22,27,197,1,1
Tim Masthay,43.9,40.3,3263,81,62,3557,18,14,6,6,14,41,174,0,0
Ryan Quigley,43.8,37,2775,76,68,3287,27,15,8,4,14,34,432,2,1
Bradley Pinion,43.6,39.4,3587,91,62,3969,31,13,8,5,22,43,282,0,0
Britton Colquitt,43.6,39.7,3336,84,62,3663,22,12,16,4,16,36,247,0,0
Zach Hocker,43,43,43,1,43,43,1,0,0,0,1,0,0,0,0
Drew Butler,42.9,36,2160,61,58,2575,22,2,8,6,19,25,295,0,1
Jordan Berry,42.6,39.1,2306,59,79,2511,28,5,12,2,21,19,165,0,0
Jacob Schum,41.9,38,2128,56,60,2348,15,3,7,4,15,27,140,0,0
Jeff Locke,41.6,37.8,2494,66,61,2746,23,3,8,5,21,29,152,0,0
Brandon Fields,41.2,35.1,351,10,57,412,4,3,2,2,1,2,21,0,0
Brandon McManus,41,21,21,1,41,41,0,0,0,1,0,0,0,0,0
Steve Weatherford,40.2,30.8,123,4,50,161,0,0,1,0,0,3,38,0,0
Nick Novak,36,16,16,1,36,36,0,0,0,1,0,0,0,0,0
