Player,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Andre Roberts,33,7,231,1,6,1,99,0,0
Cordarrelle Patterson,31.8,32,1019,2,25,6,101,0,1
Travaris Cadet,31.3,3,94,0,2,0,38,0,0
Ty Montgomery,31.1,7,218,0,5,2,46,0,0
Deonte Thompson,29.2,14,409,0,10,2,74,0,0
Ameer Abdullah,29.1,37,1077,0,33,4,104,0,1
Jeff Janis,29,14,406,0,10,3,70,0,0
Chris Owusu,29,2,58,0,2,0,30,0,0
Dwayne Harris,28.7,22,631,1,16,3,100,0,0
Benny Cunningham,28.6,25,714,0,20,3,102,0,0
Justin Gilbert,28.2,12,339,0,10,1,40,0,0
Lucky Whitehead,28.2,16,452,0,14,2,79,0,1
Stedman Bailey,28,1,28,0,1,0,28,0,0
Terrence Magee,28,1,28,0,1,0,28,0,0
Raheem Mostert,27.9,19,530,0,17,2,53,0,1
Corey Grant,27.5,8,220,0,7,2,42,0,0
David Johnson,27.2,22,598,1,15,2,108,0,1
Quan Bray,27.1,21,570,0,16,2,60,0,0
Griff Whalen,27.1,9,244,0,8,1,50,0,1
Robert Blanton,27,1,27,0,1,0,27,0,0
LaMichael James,27,2,54,0,2,0,29,0,1
Denard Robinson,27,2,54,0,2,0,31,0,0
Chandler Worthy,27,1,27,0,1,0,27,0,0
Eric Weems,26.9,15,403,0,12,2,50,0,0
Taiwan Jones,26.7,31,829,0,25,2,70,0,1
Nick Marshall,26.6,13,346,0,10,0,36,0,0
Michael Campanaro,26.3,3,79,0,3,0,29,0,0
Marc Mariani,26.1,16,418,0,13,1,47,0,0
Devin Hester,26.1,9,235,0,8,0,35,0,0
Jared Abbrederis,26,2,52,0,2,0,30,0,0
Duke Johnson,26,2,52,0,2,0,30,0,0
Rod Smith,26,1,26,0,1,0,26,0,0
Golden Tate,26,1,26,0,1,0,26,0,0
Tyler Lockett,25.8,33,852,1,23,3,105,0,0
Keshawn Martin,25.7,10,257,0,6,1,75,0,0
Marlon Moore,25.7,3,77,0,3,0,29,0,0
Walt Powell,25.7,3,77,0,3,0,32,0,0
Bruce Ellington,25.6,26,665,0,22,1,40,0,1
Dri Archer,25.3,14,354,0,10,0,38,0,0
Tyler Varga,25.2,6,151,0,6,0,30,0,0
Antonio Cromartie,25.1,15,377,0,12,1,54,0,0
Knile Davis,25.1,24,603,0,16,2,54,0,0
Marcus Murphy,25,12,300,0,10,0,35,0,0
Jeremy Ross,24.7,19,470,0,16,2,46,0,1
Jarvis Landry,24.7,13,321,0,8,1,50,0,0
Bobby Rainey,24.7,19,469,0,15,0,38,0,0
Branden Oliver,24.6,8,197,0,7,0,30,0,0
Kaelin Clay,24.5,14,343,0,9,0,39,0,0
Rashad Ross,24.4,28,684,1,18,2,101,0,0
Lance Dunbar,24.3,6,146,0,4,0,32,0,0
Keith Mumphery,24.1,14,338,0,12,1,41,0,1
Jerick McKinnon,24,1,24,0,1,0,24,0,0
Josh Huff,23.7,21,498,0,13,2,49,0,0
DeAndrew White,23.7,6,142,0,5,0,30,0,1
Adam Jones,23.5,10,235,0,6,1,49,0,0
Seth Roberts,23.5,2,47,0,2,0,24,0,0
Micah Hyde,23.4,8,187,0,6,0,30,0,0
Fozzy Whittaker,23.2,9,209,0,7,0,33,0,0
Andre Caldwell,23.1,7,162,0,5,0,29,0,0
Quintin Demps,23,2,46,0,2,0,23,0,0
Dan Herron,23,4,92,0,4,0,28,0,0
Darren McFadden,23,1,23,0,1,0,23,0,0
Patrick Peterson,23,2,46,0,2,0,24,2,0
De'Anthony Thomas,23,6,138,0,4,0,30,0,0
Zurlon Tipton,23,1,23,0,1,0,23,0,0
Jacoby Jones,22.9,18,413,0,14,0,36,0,1
Brandon Tate,22.9,18,413,0,12,1,58,0,0
Shane Vereen,22.9,14,321,0,11,1,46,0,0
Omar Bolden,22.8,15,342,0,10,1,41,0,0
Darius Jennings,22.6,7,158,0,7,0,28,0,0
Javontee Herndon,22.4,7,157,0,4,0,34,0,0
Quinton Patton,22.4,7,157,0,4,0,35,0,0
Joe Webb,22.2,8,178,0,6,0,27,0,0
Stefon Diggs,22,1,22,0,1,0,22,0,0
Devin Street,22,1,22,0,1,0,22,0,0
Jordan Todman,22,1,22,0,1,0,22,0,0
Dexter McCluster,21.9,13,285,0,8,0,32,0,0
Damien Williams,21.8,21,457,0,13,0,37,0,1
Percy Harvin,21.6,5,108,0,4,0,25,0,0
Danny Amendola,21.5,8,172,0,5,0,29,0,0
Reshad Jones,21.5,2,43,0,1,0,25,0,0
Bishop Sankey,21.3,9,192,0,6,0,34,0,1
C.J. Spiller,21.3,7,149,0,5,0,26,0,0
Roy Helu,21.2,4,85,0,2,0,37,0,0
Shaun Draughn,21.2,5,106,0,2,0,31,0,0
T.J. Jones,21.2,5,106,0,3,0,34,0,0
Isaiah Pead,21,3,63,0,2,0,22,0,0
Devin Smith,21,1,21,0,1,0,21,0,1
Chris Thompson,21,3,63,0,1,0,36,0,0
Markus Wheaton,21,5,105,0,3,0,28,0,0
Zac Stacy,20.4,10,204,0,5,0,31,0,0
Jay Ajayi,20,1,20,0,1,0,20,0,0
Ben Edwards,20,1,20,0,1,0,20,0,0
Bilal Powell,20,1,20,0,1,0,20,0,0
Darren Sproles,20,1,20,0,1,0,20,0,0
Bryan Walters,20,4,80,0,3,0,28,0,0
Ka'Deem Carey,19,2,38,0,1,0,22,0,0
Patrick DiMarco,19,1,19,0,0,0,19,0,0
Akeem Hunt,19,1,19,0,0,0,19,0,0
