Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50-59 > A-M,60+ > A-M,Lng,FG Blk
Blair Walsh,34,39,87.2,0/0,9/9,13/15,6/7,6/8,0/0,54,1
Stephen Gostkowski,33,36,91.7,0/0,6/6,11/11,12/14,4/5,0/0,57,0
Robbie Gould,33,39,84.6,1/1,8/8,10/12,7/9,7/9,0/0,55,0
Justin Tucker,33,40,82.5,0/0,10/10,9/9,10/11,4/10,0/0,52,0
Dan Bailey,30,32,93.8,0/0,9/9,10/10,6/7,5/6,0/0,54,0
Josh Brown,30,32,93.8,1/1,6/6,12/12,8/10,3/3,0/0,53,0
Graham Gano,30,36,83.3,1/1,10/10,4/5,13/16,2/4,0/0,52,4
Brandon McManus,30,35,85.7,0/0,12/12,8/8,5/8,5/7,0/0,57,0
Cairo Santos,30,37,81.1,0/0,7/8,10/10,9/11,4/7,0/1,53,1
Chris Boswell,29,32,90.6,1/1,9/9,8/8,9/12,2/2,0/0,51,0
Steven Hauschka,29,31,93.6,0/0,9/9,7/7,7/9,6/6,0/0,54,1
Chandler Catanzaro,28,31,90.3,1/1,12/12,9/9,6/7,0/2,0/0,47,0
Travis Coons,28,32,87.5,0/0,11/11,10/10,7/9,0/2,0/0,47,4
Josh Lambo,26,32,81.2,0/0,4/4,7/7,11/16,4/4,0/1,54,0
Jason Myers,26,30,86.7,0/0,9/10,8/8,6/8,3/4,0/0,58,1
Dustin Hopkins,25,28,89.3,0/0,7/7,9/9,7/8,2/4,0/0,54,1
Adam Vinatieri,25,27,92.6,0/0,7/8,6/6,8/8,4/5,0/0,55,0
Mason Crosby,24,28,85.7,1/1,7/7,4/4,8/11,4/5,0/0,56,1
Phil Dawson,24,27,88.9,0/0,9/10,6/6,6/8,3/3,0/0,54,2
Connor Barth,23,28,82.1,0/0,9/9,8/8,3/6,3/5,0/0,53,0
Dan Carpenter,23,27,85.2,0/0,5/5,8/9,7/8,3/5,0/0,52,0
Mike Nugent,23,28,82.1,0/0,6/6,5/6,10/13,2/3,0/0,52,1
Matt Prater,22,24,91.7,0/0,3/3,8/9,6/6,5/6,0/0,59,0
Sebastian Janikowski,21,26,80.8,0/0,7/7,5/6,5/8,4/5,0/0,56,1
Greg Zuerlein,20,30,66.7,1/1,2/2,9/10,5/8,2/6,1/3,61,3
Randy Bullock,19,23,82.6,1/1,4/4,6/6,8/11,0/1,0/0,49,0
Nick Novak,18,21,85.7,0/0,6/6,6/6,4/4,2/5,0/0,51,0
Caleb Sturgis,18,22,81.8,0/0,4/4,8/10,4/4,2/4,0/0,53,0
Matt Bryant,14,18,77.8,1/1,4/4,3/4,6/9,0/0,0/0,47,0
Ryan Succop,14,16,87.5,0/0,3/3,3/3,7/7,1/3,0/0,51,0
Nick Folk,13,16,81.2,0/0,2/2,6/6,3/6,2/2,0/0,55,0
Andrew Franks,13,16,81.2,1/1,3/3,4/4,4/6,1/1,0/1,53,0
Shayne Graham,11,13,84.6,0/0,2/2,4/4,2/4,3/3,0/0,54,1
Kai Forbath,10,15,66.7,0/0,2/3,3/4,3/5,2/3,0/0,57,2
Zach Hocker,10,14,71.4,0/0,3/3,5/6,1/3,1/2,0/0,51,0
Kyle Brindza,6,12,50,0/0,1/2,2/3,1/3,2/4,0/0,58,0
Josh Scobee,6,10,60,0/0,2/2,1/1,3/7,0/0,0/0,45,0
Cody Parkey,3,4,75,0/0,1/1,1/1,1/2,0/0,0/0,46,0
Ryan Quigley,0,0,0,0/0,0/0,0/0,0/0,0/0,0/0,0,0
