Player,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM
Marvin Mims Jr.,45,1,45,0,1,1,45,3,0
Rashid Shaheed,24.5,4,98,1,1,1,76,6,0
Britain Covey,18.8,6,113,0,2,1,52,3,1
Charlie Jones,18.8,8,150,1,1,1,81,2,0
Xavier Gipson,16,7,112,1,1,1,65,5,0
Jamal Agnew,15.8,4,63,0,1,1,48,3,0
DeeJay Dallas,14.8,4,59,0,0,0,18,2,0
Isaiah McKenzie,13.6,5,68,0,1,0,32,6,0
Tank Dell,13.5,2,27,0,0,0,14,2,0
Derius Davis,13.2,5,66,0,1,0,20,0,0
Mason Kinsey,13,1,13,0,0,0,13,1,0
Jabrill Peppers,12.5,2,25,0,0,0,18,1,0
Jayden Reed,11.6,5,58,0,1,0,35,1,0
Braxton Berrios,11.4,5,57,0,0,0,18,6,0
Montrell Washington,11,3,33,0,1,0,23,1,0
Ray-Ray McCloud,10.9,7,76,0,0,0,19,5,0
Deonte Harty,10.3,3,31,0,1,0,23,5,0
Devin Duvernay,9.4,5,47,0,1,0,31,4,0
Kalif Raymond,9.2,5,46,0,0,0,17,6,0
DeAndre Carter,8.8,5,44,0,0,0,16,0,1
Robert Woods,8.5,2,17,0,0,0,10,3,0
Eric Gray,8,3,24,0,0,0,14,2,0
Kearis Jackson,8,6,48,0,0,0,14,3,0
Trent Taylor,8,2,16,0,0,0,8,2,0
Marcus Jones,7,3,21,0,1,0,21,1,1
Kyren Williams,7,3,21,0,0,0,11,5,0
Demario Douglas,6.5,4,26,0,0,0,12,2,0
Mike Hughes,6.2,5,31,0,0,0,16,3,0
Brandon Powell,6.2,6,37,0,1,0,20,3,1
Greg Dortch,6.1,7,43,0,0,0,19,3,0
Deven Thompkins,6,6,36,0,0,0,16,1,1
KaVontae Turpin,5.7,3,17,0,0,0,10,5,0
Calvin Austin III,5.2,4,21,0,0,0,14,3,0
Donovan Peoples-Jones,5.2,5,26,0,0,0,13,5,1
Richie James,4,6,24,0,0,0,9,2,1
Scott Miller,4,1,4,0,0,0,4,0,0
Jamison Crowder,3.8,5,19,0,0,0,6,2,0
Ihmir Smith-Marsette,3.7,7,26,0,0,0,13,2,0
Dee Alford,0,1,0,0,0,0,0,1,0
Keisean Nixon,0,1,0,0,0,0,0,0,0
