Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Keenan Allen,32,402,2,7,1,42,17,53.1,1,146,39
Puka Nacua,30,338,0,4,0,37,17,56.7,0,120,42
Justin Jefferson,27,458,1,12,2,52,20,74.1,1,168,38
Davante Adams,25,322,3,3,0,32,18,72,0,58,37
Stefon Diggs,25,279,1,3,0,30,14,56,0,80,32
Tyreek Hill,25,412,4,6,2,54,21,84,0,116,35
Michael Pittman,25,230,1,2,0,39,11,44,1,115,34
T.J. Hockenson,23,179,2,2,0,24,10,43.5,1,68,28
Ja'Marr Chase,22,211,0,1,1,43,12,54.6,0,104,32
Chris Olave,22,302,0,5,2,45,15,68.2,0,110,32
Zay Flowers,21,188,0,3,1,52,8,38.1,0,102,25
Amon-Ra St. Brown,21,275,1,4,0,39,12,57.1,1,82,28
A.J. Brown,20,239,0,4,0,28,13,65,0,102,30
Adam Thielen,20,211,2,3,0,25,14,70,0,67,25
CeeDee Lamb,19,273,0,6,1,49,12,63.2,1,118,24
Mike Williams,19,249,1,4,1,49,9,47.4,0,108,26
Evan Engram,18,173,0,2,0,28,8,44.4,0,126,21
Sam LaPorta,18,186,1,2,1,45,9,50,0,76,22
Michael Thomas,18,166,0,1,0,25,7,38.9,0,17,26
Tutu Atwell,17,246,1,3,1,44,14,82.4,0,60,26
Amari Cooper,17,243,1,4,1,43,12,70.6,0,18,25
Mike Evans,17,297,3,7,1,70,10,58.8,0,103,28
Deebo Samuel,17,247,1,5,1,40,11,64.7,1,141,28
Courtland Sutton,17,189,2,3,0,25,9,52.9,2,51,23
Christian Kirk,16,173,1,2,1,45,8,50,0,49,23
Jakobi Meyers,16,166,2,1,0,21,7,43.8,0,31,22
Nico Collins,15,260,1,7,0,32,10,66.7,0,104,23
Tank Dell,15,251,2,3,2,68,10,66.7,0,75,21
Josh Downs,15,124,0,1,0,22,6,40,0,69,24
DK Metcalf,15,234,1,4,0,34,11,73.3,0,46,19
Elijah Moore,15,128,0,1,0,33,7,46.7,1,48,25
DeVonta Smith,15,206,2,2,2,63,7,46.7,0,47,20
Robert Woods,15,165,0,1,0,25,11,73.3,0,41,25
Kendrick Bourne,14,139,2,0,0,19,6,42.9,0,51,25
Marquise Brown,14,143,2,2,0,23,11,78.6,0,21,22
Zach Ertz,14,83,0,0,0,17,3,21.4,0,32,20
DeAndre Hopkins,14,153,0,1,0,26,9,64.3,0,20,25
Bijan Robinson,14,102,1,1,0,29,6,42.9,0,123,17
Jordan Addison,13,185,2,2,1,62,6,46.2,0,35,19
Tyler Boyd,13,101,0,0,0,13,5,38.5,0,44,20
Chris Godwin,13,141,0,1,0,24,9,69.2,0,40,19
Hunter Henry,13,125,2,0,0,13,8,61.5,0,18,18
George Kittle,13,139,0,1,0,29,6,46.2,0,76,18
Tyler Lockett,13,103,2,0,0,16,8,61.5,0,32,21
Terry McLaurin,13,126,1,1,0,30,7,53.8,0,20,16
George Pickens,13,238,1,4,1,71,8,61.5,0,116,23
Calvin Ridley,13,173,1,4,0,29,8,61.5,1,44,26
Tony Pollard,12,48,0,0,0,19,3,25,1,52,14
Miles Sanders,12,68,0,0,0,14,3,25,0,63,20
Darren Waller,12,132,0,2,0,25,7,58.3,0,43,20
Jaylen Warren,12,101,0,1,0,30,4,33.3,0,123,16
Garrett Wilson,12,165,2,2,1,68,6,50,0,83,22
Brandon Aiyuk,11,172,2,2,0,23,11,100,0,26,14
Parris Campbell,11,47,0,0,0,9,0,0,0,15,16
Romeo Doubs,11,129,3,1,0,30,9,81.8,0,23,20
Travis Etienne,11,79,0,0,0,18,3,27.3,0,70,13
Gerald Everett,11,98,0,1,0,29,8,72.7,1,70,12
Dallas Goedert,11,63,0,0,0,13,2,18.2,0,25,15
Tyler Higbee,11,132,0,2,0,30,7,63.6,0,40,15
Travis Kelce,11,95,2,1,0,24,5,45.4,0,35,17
Dalton Kincaid,11,72,0,0,0,14,2,18.2,0,42,12
Cole Kmet,11,104,0,0,0,15,6,54.6,0,59,15
Alexander Mattison,11,53,1,0,0,16,2,18.2,0,55,17
Christian McCaffrey,11,70,0,0,0,17,4,36.4,1,71,13
DJ Moore,11,170,1,4,0,33,8,72.7,0,65,15
Luke Musgrave,11,124,0,1,0,37,4,36.4,0,51,15
Allen Robinson,11,100,0,1,0,31,3,27.3,0,33,15
James Cook,10,67,0,1,0,26,3,30,0,73,13
Jahan Dotson,10,83,0,0,0,18,5,50,0,15,16
Jake Ferguson,10,70,1,0,0,12,3,30,0,55,18
Jahmyr Gibbs,10,59,0,0,0,10,3,30,0,48,13
Tee Higgins,10,110,2,1,0,20,7,70,0,43,28
Josh Jacobs,10,92,0,0,0,19,4,40,0,73,14
Roschon Johnson,10,56,0,0,0,8,1,10,0,54,11
Raheem Mostert,10,79,1,0,0,19,1,10,0,93,10
David Njoku,10,92,0,1,0,29,2,20,1,77,11
Rashee Rice,10,108,1,1,0,25,7,70,0,55,14
Curtis Samuel,10,127,0,2,0,37,5,50,0,42,12
JuJu Smith-Schuster,10,66,0,0,0,15,4,40,0,29,16
Rhamondre Stevenson,10,77,0,1,0,32,4,40,0,85,13
Rachaad White,10,64,0,0,0,16,2,20,1,91,10
Nelson Agholor,9,102,1,0,0,18,5,55.6,0,12,10
Mark Andrews,9,80,1,2,0,20,4,44.4,0,26,13
Calvin Austin III,9,119,1,1,1,72,3,33.3,0,51,16
Saquon Barkley,9,41,1,0,0,10,4,44.4,0,40,11
Tyler Conklin,9,78,0,0,0,18,3,33.3,0,38,12
Gabe Davis,9,159,2,3,1,40,9,100,0,42,15
Mike Gesicki,9,87,0,0,0,18,4,44.4,0,34,10
Kylen Granson,9,64,1,0,0,14,6,66.7,0,41,14
Chuba Hubbard,9,45,0,0,0,11,2,22.2,0,59,10
Hayden Hurst,9,72,1,0,0,14,4,44.4,0,20,13
Cade Otton,9,76,0,0,0,16,3,33.3,0,30,11
Samaje Perine,9,72,0,1,0,20,2,22.2,0,69,11
Kyle Pitts,9,100,0,1,0,34,4,44.4,0,18,17
Jayden Reed,9,148,2,3,0,30,8,88.9,0,47,20
Josh Reynolds,9,146,2,4,0,33,9,100,0,37,13
Rashid Shaheed,9,152,1,3,2,45,6,66.7,0,23,12
