Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Christian McCaffrey,353,60,3,2,2,65,15,25,0
D'Andre Swift,308,45,1,3,1,43,16,35.6,0
James Cook,267,44,0,2,0,36,12,27.3,0
James Conner,266,51,2,4,0,26,14,27.4,0
Tony Pollard,264,62,2,3,0,31,16,25.8,0
Raheem Mostert,240,41,6,2,1,43,13,31.7,0
Brian Robinson,216,47,2,2,0,27,16,34,0
Bijan Robinson,213,39,0,1,0,21,13,33.3,0
Zack Moss,210,48,1,2,0,24,14,29.2,0
De'Von Achane,208,19,2,3,2,67,6,31.6,0
Travis Etienne,205,49,1,1,0,26,9,18.4,0
Kenneth Walker III,204,47,4,1,0,36,13,27.7,0
Lamar Jackson,193,32,2,0,0,16,14,43.8,1
Joe Mixon,180,45,1,1,0,22,11,24.4,0
Nick Chubb,170,28,0,1,0,20,8,28.6,0
Derrick Henry,163,51,1,1,0,23,9,17.6,0
Jerome Ford,160,41,1,1,1,69,5,12.2,1
Alexander Mattison,155,39,0,0,0,15,7,18,1
Isiah Pacheco,155,35,1,1,0,31,11,31.4,0
Breece Hall,154,26,0,2,1,83,4,15.4,2
Rachaad White,150,48,1,0,0,13,8,16.7,0
Gus Edwards,145,29,1,1,0,20,10,34.5,0
Joshua Kelley,142,40,1,0,0,15,12,30,0
Kyren Williams,142,39,3,0,0,9,9,23.1,0
David Montgomery,141,37,2,0,0,16,7,18.9,1
Jahmyr Gibbs,139,31,0,1,0,21,6,19.4,0
Najee Harris,139,35,0,2,0,24,7,20,0
Miles Sanders,139,41,1,0,0,15,6,14.6,1
Javonte Williams,138,36,0,0,0,16,6,16.7,0
Tyler Allgeier,135,38,2,1,0,22,9,23.7,0
Rhamondre Stevenson,134,46,1,0,0,12,8,17.4,0
Ezekiel Elliott,122,28,0,0,0,14,8,28.6,0
Austin Ekeler,117,16,1,1,1,55,4,25,0
Saquon Barkley,114,29,1,0,0,18,7,24.1,0
Justin Fields,109,24,1,0,0,17,7,29.2,1
Josh Jacobs,108,45,0,0,0,10,6,13.3,0
AJ Dillon,107,39,0,0,0,14,5,12.8,0
Daniel Jones,107,24,1,0,0,15,9,37.5,1
Patrick Mahomes,103,16,0,0,0,16,8,50,0
Jalen Hurts,100,31,3,0,0,14,13,41.9,1
Dameon Pierce,100,40,1,0,0,10,3,7.5,0
Kenneth Gainwell,97,28,0,0,0,16,4,14.3,0
Joshua Dobbs,93,12,1,2,1,44,6,50,2
Khalil Herbert,93,23,0,0,0,12,5,21.7,0
Taysom Hill,91,16,0,0,0,19,5,31.2,0
Roschon Johnson,90,17,1,1,0,29,5,29.4,0
Josh Allen,89,12,1,1,0,23,8,66.7,2
Deshaun Watson,83,15,1,0,0,13,7,46.7,2
Tyjae Spears,82,15,0,0,0,17,5,33.3,0
Chuba Hubbard,78,12,0,1,0,21,7,58.3,0
Clyde Edwards-Helaire,77,22,1,0,0,16,5,22.7,0
Anthony Richardson,75,13,3,0,0,18,5,38.5,0
Jordan Love,74,14,1,2,0,24,4,28.6,0
Jamaal Williams,74,27,0,0,0,11,3,11.1,1
Zach Charbonnet,73,16,0,0,0,12,7,43.8,0
Rico Dowdle,71,17,0,0,0,10,3,17.6,0
Tony Jones,70,21,2,0,0,19,6,28.6,0
Devin Singletary,70,20,0,0,0,14,1,5,0
Christopher Brooks,66,9,0,1,1,52,1,11.1,0
Rondale Moore,66,5,1,1,1,45,1,20,0
Trevor Lawrence,59,15,0,0,0,18,4,26.7,1
Dalvin Cook,58,25,0,0,0,10,4,16,1
Russell Wilson,57,7,0,0,0,15,6,85.7,0
Jaylen Warren,55,17,0,0,0,11,2,11.8,0
Samaje Perine,54,12,0,0,0,12,3,25,0
Mac Jones,53,11,0,0,0,18,7,63.6,0
Elijah Mitchell,52,16,0,0,0,18,2,12.5,0
Damien Harris,51,13,1,0,0,11,4,30.8,0
Bryce Young,51,5,0,1,0,26,2,40,1
Justice Hill,50,19,2,0,0,11,4,21,0
Deebo Samuel,48,8,1,0,0,17,2,25,0
Latavius Murray,45,13,2,0,0,8,4,30.8,0
Dak Prescott,44,10,0,0,0,15,4,40,0
Boston Scott,43,6,0,0,0,18,3,50,0
Zach Wilson,43,10,0,0,0,16,3,30,0
Sam Howell,42,5,1,0,0,18,3,60,0
Aaron Jones,41,9,1,0,0,9,3,33.3,0
Desmond Ridder,41,13,1,0,0,9,3,23.1,0
Antonio Gibson,35,7,0,0,0,13,2,28.6,1
Matthew Stafford,35,8,0,0,0,9,3,37.5,0
C.J. Stroud,35,10,0,0,0,11,2,20,1
Kendre Miller,34,9,0,0,0,10,3,33.3,0
Tre Tucker,34,1,0,1,0,34,1,100,0
Melvin Gordon,32,10,0,0,0,15,1,10,0
Matt Breida,31,7,1,0,0,8,2,28.6,0
Baker Mayfield,30,15,0,0,0,9,2,13.3,0
Cam Akers,29,22,1,0,0,12,4,18.2,0
Marquise Brown,29,1,0,1,0,29,1,100,0
Patrick Taylor,29,9,0,0,0,10,1,11.1,0
Justin Herbert,28,8,1,0,0,12,5,62.5,0
Pierre Strong,28,8,1,0,0,9,2,25,0
Tutu Atwell,27,2,0,1,0,22,1,50,0
Ty Chandler,27,7,0,0,0,12,1,14.3,0
Salvon Ahmed,24,6,0,0,0,10,1,16.7,0
Brock Purdy,24,10,1,0,0,17,4,40,2
Deuce Vaughn,24,9,0,0,0,13,1,11.1,0
Zamir White,24,5,0,0,0,8,1,20,1
Tank Bigsby,23,9,2,0,0,9,5,55.6,0
Elijah Moore,23,6,0,0,0,19,1,16.7,0
Sean Tucker,23,15,0,0,0,7,1,6.7,0
J.K. Dobbins,22,8,1,0,0,4,1,12.5,0
Erik Ezukanma,22,5,0,0,0,12,1,20,0
Craig Reynolds,22,7,0,0,0,8,1,14.3,0
Geno Smith,22,8,0,0,0,15,0,0,0
Chase Edmonds,20,4,0,0,0,14,2,50,0
