Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Patriots,27,39,1051,3,0,0,101T,0,0
Dolphins,26.6,38,1011,1,0,0,90T,0,0
Eagles,24.7,45,1110,1,0,0,99T,0,0
Cowboys,24.3,44,1071,0,0,0,64,0,0
49ers,24,49,1174,1,0,0,80T,0,0
Redskins,23.1,47,1087,0,0,0,46,0,0
Oilers,23,46,1056,1,0,0,76T,0,0
Jets,22.5,61,1374,0,0,0,60,0,0
Bears,22.3,57,1273,1,0,0,84T,0,0
Steelers,22.1,45,995,0,0,0,43,0,0
Cardinals,21.5,59,1271,0,0,0,51,0,0
Broncos,21.5,34,732,0,0,0,33,0,0
Saints,21.5,63,1355,1,0,0,92T,0,0
Lions,21.4,58,1239,1,0,0,98T,0,0
Rams,21.4,33,705,0,0,0,43,0,0
Buccaneers,21.3,43,914,0,0,0,41,0,0
Seahawks,21.2,71,1502,0,0,0,44,0,0
Bills,20.6,60,1238,0,0,0,45,0,0
Chiefs,20.4,63,1284,0,0,0,70,0,0
Browns,20.3,53,1075,0,0,0,36,0,0
Bengals,19.3,46,886,0,0,0,38,0,0
Giants,19.2,54,1036,0,0,0,35,0,0
Colts,19,48,912,0,0,0,37,0,0
Chargers,18.8,39,734,0,0,0,33,0,0
Packers,18.6,51,947,1,0,0,96,0,0
Raiders,18.6,49,909,0,0,0,31,0,0
Vikings,18.5,45,834,0,0,0,48,0,0
Falcons,18.3,34,621,0,0,0,30,0,0
