Team,INT,INT TD,INT Yds,Lng
49ers,19,1,306,66T
Bears,18,2,236,45
Ravens,16,1,224,52T
Browns,16,1,104,34T
Steelers,16,1,184,32T
Bengals,15,1,126,30
Colts,15,3,256,66
Texans,14,0,63,33
Jaguars,14,2,208,61
Saints,14,1,95,27T
Giants,14,3,378,102
Jets,14,1,161,51T
Bills,13,1,98,32T
Cowboys,13,5,249,63T
Lions,13,1,162,50T
Dolphins,13,4,262,99
Buccaneers,13,1,93,28T
Raiders,12,3,268,75
Broncos,11,0,85,33
Vikings,11,0,112,43
Seahawks,11,3,177,97
Cardinals,10,0,98,46
Rams,9,0,100,42
Patriots,9,0,96,32
Falcons,8,1,124,92T
Panthers,8,2,203,99
Chiefs,8,0,69,24
Chargers,8,0,31,9
Eagles,7,1,108,70T
Commanders,7,0,78,52
Packers,6,1,68,37T
Titans,4,1,82,44T
