Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Commanders,530,340,64.2,7.7,4088,33,7,181,34.2,38
Chiefs,476,293,61.6,6.1,2897,18,8,146,30.7,48
Browns,462,254,55,5.9,2712,19,16,116,25.1,44
Vikings,540,378,70,6.8,3675,18,11,178,33,42
Bengals,500,330,66,8.1,4069,20,15,183,36.6,39
Jaguars,558,368,66,7.3,4075,25,14,183,32.8,32
Chargers,536,354,66,7.8,4202,25,8,190,35.4,45
Saints,491,286,58.2,6.4,3141,18,14,146,29.7,31
Lions,506,315,62.2,7.6,3821,24,13,182,36,34
Panthers,425,272,64,6.6,2794,19,8,147,34.6,21
Cowboys,446,268,60.1,6.8,3022,19,13,143,32.1,41
Jets,463,282,60.9,6,2785,16,14,138,29.8,40
Texans,515,351,68.2,7.8,4009,17,14,172,33.4,39
Colts,495,320,64.6,7.3,3594,17,15,163,32.9,47
Rams,537,324,60.3,6.9,3687,22,9,175,32.6,32
Packers,475,313,65.9,7.3,3475,20,6,171,36,36
Seahawks,531,350,65.9,7,3723,20,11,180,33.9,45
Bills,499,330,66.1,6.6,3294,17,13,166,33.3,50
Eagles,587,375,63.9,6.8,4008,31,7,193,32.9,40
Buccaneers,559,368,65.8,7.6,4266,21,13,198,35.4,44
Dolphins,508,331,65.2,6.8,3433,19,13,157,30.9,52
Patriots,525,347,66.1,6.8,3552,19,9,170,32.4,34
Cardinals,454,312,68.7,7.6,3473,27,10,179,39.4,33
Raiders,507,341,67.3,6.7,3404,19,12,168,33.1,40
Bears,552,370,67,6.8,3749,28,18,177,32.1,27
Falcons,489,298,60.9,6.5,3175,19,8,158,32.3,36
Steelers,512,310,60.6,7.3,3728,21,16,164,32,42
Broncos,502,338,67.3,7.6,3838,27,11,179,35.7,38
Ravens,576,344,59.7,5.8,3328,15,16,154,26.7,54
Giants,512,327,63.9,7.1,3637,19,14,168,32.8,25
Titans,496,334,67.3,7.4,3688,17,4,165,33.3,44
49ers,569,376,66.1,6.4,3617,17,19,173,30.4,45
