Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,351,1551,4.4,5,82,23.4
Falcons,427,1663,3.9,6,83,19.4
Bears,337,1210,3.6,7,70,20.8
Browns,369,1503,4.1,14,71,19.2
Eagles,340,1428,4.2,10,88,25.9
Lions,365,1359,3.7,15,81,22.2
Bills,365,1669,4.6,11,84,23
49ers,319,1354,4.2,9,85,26.6
Cowboys,411,1735,4.2,13,98,23.8
Rams,384,1586,4.1,11,92,24
Colts,465,1961,4.2,21,114,24.5
Dolphins,365,1362,3.7,13,90,24.7
Saints,422,1903,4.5,10,96,22.8
Giants,428,2013,4.7,21,118,27.6
Steelers,414,1762,4.3,8,87,21
Panthers,444,1813,4.1,23,108,24.3
Broncos,414,2116,5.1,14,103,24.9
Titans,429,1638,3.8,10,91,21.2
Jaguars,380,1520,4,13,89,23.4
Buccaneers,358,1381,3.9,11,87,24.3
Cardinals,473,2205,4.7,19,127,26.8
Texans,410,1363,3.3,18,96,23.4
Chargers,406,1700,4.2,18,96,23.6
Packers,452,2039,4.5,15,115,25.4
Patriots,401,1272,3.2,11,81,20.2
Chiefs,370,1703,4.6,9,92,24.9
Raiders,430,1833,4.3,13,104,24.2
Vikings,384,1431,3.7,11,90,23.4
Seahawks,431,1944,4.5,20,116,26.9
Commanders,412,1840,4.5,13,103,25
Jets,468,1893,4,13,99,21.2
Bengals,410,1909,4.7,17,118,28.8
