Team,3rd Att,3rd Md,4th Att,4th Md,Rush 1st,Rush 1st%,Scrm Plys
Giants,71,31,4,1,47,27.2,357
Saints,84,27,6,2,28,18.8,364
Texans,83,38,4,0,45,26.8,391
Patriots,83,31,4,1,33,18.1,387
Ravens,95,36,7,3,31,21.1,389
Eagles,77,32,11,6,22,19.8,365
Cowboys,74,26,11,5,32,19.9,347
Colts,88,33,10,6,43,23.2,418
Panthers,70,24,5,3,50,28.1,362
Lions,72,24,7,4,25,21,366
Jaguars,81,32,14,6,28,22,375
Rams,79,31,8,4,40,23.7,383
Bengals,75,31,7,2,45,26.5,383
Chiefs,75,27,13,6,32,23.7,359
Falcons,74,23,6,2,28,17.4,355
Bears,81,41,6,3,35,22.7,372
Cardinals,71,32,6,2,55,31.1,394
Bills,76,32,7,2,34,22.8,356
Vikings,85,37,8,5,47,25.5,404
Steelers,68,26,8,2,35,23.2,350
Browns,65,15,3,2,18,15.8,262
Jets,86,40,2,1,46,24.9,412
Titans,81,33,6,4,34,20,378
Raiders,77,33,7,5,44,26,368
Commanders,83,33,10,6,44,26,395
Buccaneers,73,36,5,3,25,21.9,322
Chargers,60,20,10,7,34,26.8,336
Broncos,67,26,9,4,49,26.5,394
Packers,72,25,10,8,47,28,345
49ers,80,30,10,5,34,28.1,371
Dolphins,83,34,10,2,46,27.4,398
Seahawks,74,36,9,4,26,20.8,344
