Team,INT,INT TD,INT Yds,Lng
49ers,10,0,178,32
Bills,8,1,74,32T
Bengals,8,1,55,24
Cowboys,8,2,126,54T
Jaguars,8,1,124,61T
Saints,8,1,42,27T
Jets,8,0,58,45
Lions,6,1,101,50T
Buccaneers,6,1,52,26T
Ravens,5,0,148,52
Panthers,5,2,202,99
Raiders,5,0,66,24
Steelers,5,1,30,30T
Commanders,5,0,26,23
Broncos,4,0,11,6
Packers,4,1,65,37T
Texans,4,0,33,33
Colts,4,0,44,34
Cardinals,4,0,38,35
Seahawks,4,2,158,97
Falcons,3,0,3,3
Bears,3,0,42,42
Chiefs,3,0,28,16
Rams,3,0,0,0
Vikings,3,0,46,37
Giants,3,1,114,102T
Chargers,3,0,17,9
Browns,2,0,14,14
Titans,2,0,20,10
Dolphins,2,0,5,5
Patriots,2,0,0,0
Eagles,2,1,70,70T
