Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Panthers,170,113,66.5,7,1187,10,5,65,38.2,14
Vikings,202,152,75.2,6.5,1313,9,3,69,34.2,18
Bengals,194,119,61.3,6.6,1275,8,8,67,34.5,19
Chiefs,207,126,60.9,5.3,1103,7,3,61,29.5,17
Rams,204,116,56.9,6.1,1249,4,3,65,31.9,10
Colts,215,146,67.9,6.8,1462,7,4,71,33,18
Saints,202,113,55.9,5.4,1092,7,8,55,27.2,13
Patriots,193,129,66.8,6.3,1216,6,2,67,34.7,12
Texans,214,151,70.6,6.9,1473,4,4,69,32.2,9
Commanders,207,127,61.4,7.2,1489,12,5,68,32.8,19
Jaguars,236,152,64.4,6.9,1622,9,8,73,30.9,12
Eagles,234,150,64.1,6,1393,11,2,81,34.6,20
Bills,183,123,67.2,6.2,1141,4,8,64,35,24
Falcons,184,113,61.4,5.8,1075,10,3,63,34.2,10
Lions,232,141,60.8,5.7,1327,8,6,73,31.5,15
Giants,179,115,64.2,7.3,1302,8,3,64,35.8,5
Dolphins,209,145,69.4,6.6,1375,8,2,70,33.5,21
Raiders,186,127,68.3,6.2,1162,8,5,58,31.2,13
Cardinals,199,141,70.8,7.3,1460,9,4,79,39.7,18
Cowboys,170,102,60,6.2,1062,8,8,51,30,16
Broncos,195,149,76.4,8.2,1608,14,4,79,40.5,14
Jets,214,141,65.9,6.1,1300,8,8,71,33.2,13
Chargers,188,125,66.5,7.7,1445,8,3,71,37.8,21
Bears,209,147,70.3,7.7,1604,13,3,74,35.4,9
Ravens,218,131,60.1,4.5,979,4,5,56,25.7,24
Browns,133,69,51.9,4.6,607,4,2,27,20.3,15
Seahawks,200,137,68.5,6.4,1288,7,4,70,35,19
Titans,193,138,71.5,7.4,1422,6,2,67,34.7,15
Steelers,182,108,59.3,6.8,1228,8,5,62,34.1,17
49ers,235,149,63.4,5,1187,5,10,56,23.8,15
Buccaneers,193,126,65.3,6.4,1235,6,6,62,32.1,15
Packers,162,107,66,6,972,5,4,55,34,15
