Team,Att,Rush Yds,YPC,TD,Rush 1st,Rush 1st%
Ravens,147,586,4,1,31,21.1
Eagles,111,395,3.6,3,22,19.8
49ers,121,481,4,3,34,28.1
Lions,119,388,3.3,3,25,21
Cowboys,161,670,4.2,4,32,19.9
Jaguars,127,452,3.6,4,28,22
Falcons,161,594,3.7,1,28,17.4
Bears,154,537,3.5,4,35,22.7
Dolphins,168,687,4.1,7,46,27.4
Saints,149,578,3.9,1,28,18.8
Texans,168,651,3.9,8,45,26.8
Colts,185,681,3.7,9,43,23.2
Browns,114,395,3.5,3,18,15.8
Chiefs,135,601,4.4,1,32,23.7
Bills,149,802,5.4,4,34,22.8
Cardinals,177,800,4.5,8,55,31.1
Giants,173,885,5.1,9,47,27.2
Rams,169,733,4.3,6,40,23.7
Raiders,169,730,4.3,7,44,26
Patriots,182,624,3.4,5,33,18.1
Titans,170,612,3.6,3,34,20
Panthers,178,866,4.9,12,50,28.1
Chargers,127,513,4,6,34,26.8
Jets,185,811,4.4,2,46,24.9
Buccaneers,114,419,3.7,2,25,21.9
Broncos,185,1034,5.6,8,49,26.5
Seahawks,125,396,3.2,5,26,20.8
Commanders,169,774,4.6,4,44,26
Bengals,170,857,5,5,45,26.5
Steelers,151,719,4.8,3,35,23.2
Packers,168,717,4.3,6,47,28
Vikings,184,674,3.7,5,47,25.5
