Team,INT,INT TD,INT Yds,Lng
Packers,30,3,477,67T
Bills,28,2,335,76
Saints,26,5,652,99
Eagles,25,2,370,83
Ravens,22,2,346,52
Panthers,22,1,235,41T
Cardinals,21,1,338,80T
Titans,20,4,433,80T
Bengals,19,2,259,45T
Buccaneers,19,2,275,36T
Patriots,18,3,327,91
Niners,18,1,237,51T
Broncos,17,0,171,37
Jets,17,1,247,67T
Colts,16,2,167,35
Falcons,15,1,158,62T
Jaguars,15,0,208,37
Chiefs,15,2,380,94
Dolphins,15,1,164,29
Texans,14,1,212,70T
Chargers,14,1,173,34T
Bears,13,1,144,39T
Giants,13,2,221,49
Seahawks,13,2,164,65T
Steelers,12,2,189,82
Cowboys,11,1,33,27T
Vikings,11,0,43,36
Redskins,11,0,185,44
Browns,10,0,161,47
Lions,9,2,210,101
Rams,8,1,102,36T
Raiders,8,0,35,20
