Team,INT,INT TD,INT Yds,Lng
Steelers,20,1,152,34
49ers,20,2,305,56
Patriots,19,5,383,69
Bills,17,1,165,43T
Packers,17,2,351,75
Eagles,17,2,186,42
Cowboys,16,0,60,26
Texans,16,1,253,39T
Rams,16,1,240,85T
Broncos,15,0,89,23
Vikings,15,0,186,39
Ravens,14,0,105,33
Bears,14,0,201,42
Titans,14,1,149,76T
Jaguars,14,2,232,59
Chargers,14,1,166,30T
Seahawks,14,1,163,40T
Bengals,13,0,133,46
Lions,12,1,157,38T
Jets,12,0,69,27
Browns,11,1,57,40T
Chiefs,11,2,225,99
Cardinals,11,3,246,56
Falcons,10,1,124,28T
Panthers,10,2,189,54
Colts,10,2,141,35
Buccaneers,10,1,140,68T
Commanders,9,2,68,37T
Dolphins,8,0,115,33
Saints,7,1,110,41T
Raiders,6,1,141,73T
Giants,6,1,97,52T
