Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,1st,1st%,Sck
Buccaneers,570,364,63.9,6.1,3461,29,10,186,32.6,45
Chargers,505,310,61.4,6.7,3406,24,14,175,34.6,40
Vikings,617,408,66.1,7.3,4515,23,15,224,36.3,38
Cardinals,593,414,69.8,6.6,3915,29,11,218,36.8,36
Chiefs,619,408,65.9,6.1,3756,33,11,207,33.4,55
Jets,556,347,62.4,5.8,3220,15,12,166,29.9,45
Bengals,559,329,58.9,6.6,3665,17,13,173,31,30
Colts,537,365,68,6.6,3569,25,10,184,34.3,44
Jaguars,601,385,64.1,6.8,4055,25,14,211,35.1,35
Lions,560,353,63,7.5,4179,26,12,209,37.3,39
Raiders,590,399,67.6,7,4129,25,6,206,34.9,27
Dolphins,624,416,66.7,6.4,3992,27,8,200,32,40
Texans,522,336,64.4,6.8,3558,15,16,196,37.6,39
Bills,570,362,63.5,6,3433,21,17,181,31.8,40
Seahawks,547,343,62.7,6.6,3595,23,14,188,34.4,45
Broncos,605,392,64.8,5.9,3574,20,15,180,29.8,36
Steelers,542,332,61.2,7,3779,29,20,196,36.2,40
Packers,478,314,65.7,7,3349,22,17,163,34.1,34
Cowboys,550,345,62.7,6.2,3415,23,16,174,31.6,54
Commanders,514,308,59.9,6.3,3252,26,9,155,30.2,43
Browns,519,315,60.7,6.4,3336,20,11,166,32,34
Patriots,596,364,61.1,6.2,3681,28,19,194,32.6,54
Eagles,556,350,63,5.5,3057,22,17,186,33.4,70
Rams,556,375,67.4,6.9,3842,23,16,203,36.5,38
Giants,568,349,61.4,6.4,3638,21,6,200,35.2,41
Saints,536,322,60.1,5.8,3134,17,7,159,29.7,48
49ers,593,389,65.6,6.4,3789,20,20,188,31.7,44
Ravens,593,394,66.4,6.7,3947,20,14,206,34.7,48
Panthers,580,383,66,6.7,3868,25,10,194,33.4,35
Titans,671,439,65.4,7,4671,29,14,215,32,39
Falcons,561,372,66.3,7,3942,26,10,200,35.6,21
Bears,481,323,67.2,7.7,3716,22,14,184,38.2,20
