Player,Comb,Asst,Solo,Sck
Joey Browner,128,15,98,1
Cliff Odom,125,21,87,2
Jim Haslett,122,18,73,1
Tom Cousineau,119,36,58,1.5
Lance Mehl,119,27,61,5.5
Jim Collins,115,12,87,2
Glen Redd,109,7,97,1
Billy Ray Smith Jr.,108,25,71,2
Barry Krauss,106,22,61,1
Fredd Young,105,20,52,3
Carl Ekern,104,12,77,0
Kevin Ross,104,14,78,0
Rod Martin,103,25,56,7
Kyle Clifton,102,31,50,0
Eddie Johnson,101,24,60,0.5
Leonard Smith,101,6,89,3
Ronnie Lott,100,10,79,1.5
Riki Ellison,99,20,61,1
Mike Green,99,19,59,1
Gill Byrd,96,11,71,0
Reggie McKenzie,96,21,45,1
Don Rogers,96,21,63,0
Keith Butler,95,22,41,0
Jeff Davis,94,7,79,2.5
Gary Fencik,94,2,86,0
Scott Studwell,93,16,63,0
Curtis Jordan,92,7,80,0
E.J. Junior,92,8,74,2
Eugene Marve,92,25,50,0
Fred Marion,91,6,79,0
Bo Eason,90,16,60,2.5
Mike Singletary,90,2,85,3
Deron Cherry,88,18,49,0
Bob Golic,87,25,37,3
Al Gross,87,12,57,0
Rickey Jackson,87,12,72,11
Mark Brown,86,8,72,1
Matt Millen,85,28,37,1
Brian Noble,85,6,74,3
Neal Olkewicz,84,6,70,0
Randy Scott,84,4,73,3
Mark Murphy,83,7,75,4
Steve Nelson,83,6,68,2
Chris Washington,83,4,76,2
Bud Brown,82,9,71,0
Andre Tippett,82,9,68,16.5
William Graham,80,7,69,1
Linden King,80,11,57,6
Bill Pickel,80,18,41,12.5
Lonnie Young,80,10,64,0
Lawrence Taylor,79,5,66,13
Jimmy Williams,79,9,68,7.5
Steve Freeman,78,14,49,0
Greg Brown,77,6,68,13
Ivory Sully,77,4,71,0
Keith Bostic,76,8,55,5
Hugh Green,76,4,70,7.5
Terry Hoage,76,7,64,1
Wes Hopkins,76,5,63,2
Angelo King,76,1,72,4
Scott Radecic,76,25,38,3
Stacey Toran,76,15,51,1
Frank Wattelet,76,3,69,1
Jeffery Dale,75,8,55,0
Eugene Daniel,75,3,64,0
Demetrious Johnson,75,4,68,3
Mike Wilcher,75,6,63,12.5
John Anderson,74,1,69,6
Duane Bickett,74,16,51,6
Ray Ellis,74,3,68,2
Ken Jolly,74,12,45,0
David Little,74,9,47,1
Joe Nash,74,17,32,9
Avon Riley,74,18,46,2
Carlton Williamson,74,12,55,0
Harry Carson,73,4,64,1
Scott Case,73,2,70,1
Mike Reichenbach,73,6,61,0
Chip Banks,72,17,43,11
Steve Busick,72,8,59,0
Bill Maas,72,8,43,7
Johnnie Poe,72,3,68,0
Nolan Cromwell,71,4,62,1
Ken Woodard,71,4,63,3
John Holt,70,5,62,0
