Player,Avg,Net Avg,Net Yds,Punts,Lng,Yds,IN 20,OOB,Dn,TB,FC,Ret,RetY,TD,P Blk
Rohn Stark,46,35,2732,80,68,3584,12,2,11,14,8,43,572,1,2
Reggie Roby,43.7,34.7,2045,59,63,2576,19,11,7,8,6,27,371,1,0
Rick Donnelly,43.6,37.5,2214,59,68,2574,18,7,7,5,7,33,260,0,0
Dale Hatcher,43.2,38.4,3344,88,67,3761,32,3,13,6,22,43,297,0,1
Danny White,43,23,23,1,43,43,0,0,0,1,0,0,0,0,0
Rich Camarillo,43,33.6,3095,92,75,3953,16,13,3,13,7,56,598,0,0
Sean Landeta,42.9,36.4,2945,81,68,3472,20,11,7,14,20,29,247,0,0
Greg Coleman,42.8,36.7,2459,67,62,2867,12,13,11,4,3,36,328,0,0
Ralf Mojsiejenko,42.4,35.7,2427,68,67,2881,15,11,11,9,1,36,274,0,0
Brian Hansen,42.3,36.5,3246,89,58,3763,14,13,8,6,17,45,397,0,0
Pat McInally,42.3,30.4,1735,58,64,2410,8,6,3,7,0,41,535,1,1
Maury Buford,42.2,35.1,2387,69,69,2870,18,9,13,14,9,23,203,0,1
Frank Garcia,42,33.7,2594,79,61,3233,12,9,8,6,7,47,519,0,2
Mike Saxon,41.9,35.9,2910,82,57,3396,20,10,7,10,10,44,286,0,1
Mike Black,41.8,34.7,2534,73,60,3054,17,1,11,5,12,44,420,0,0
Steve Cox,41.8,32.4,1687,52,57,2175,14,2,7,13,8,22,228,0,0
Lee Johnson,41.7,35.6,2959,83,65,3464,22,16,8,8,6,45,345,0,0
Carl Birdsong,41.7,34.5,2929,87,67,3545,20,6,8,8,12,51,456,0,2
Jeff Hayes,41.6,36.1,578,16,55,665,4,1,2,2,2,9,47,0,0
Mike Horan,41.5,34.2,3115,91,75,3777,20,18,6,10,16,41,462,1,0
John Kidd,41.5,35.9,3300,92,67,3818,33,16,8,4,15,49,438,1,0
Jim Arnold,41.2,33.1,3077,95,62,3827,15,5,14,11,15,48,530,1,2
Chris Norman,40.9,34.8,3199,94,61,3764,16,18,7,12,17,38,325,0,2
Ray Guy,40.8,36.3,3228,89,68,3627,32,31,6,12,14,26,159,0,0
Dave Finzer,40.7,34.6,2351,68,61,2766,12,8,4,6,12,38,295,0,0
Don Bracken,40.5,33.3,866,26,54,1052,1,2,2,2,4,16,146,0,0
Jeff Gossett,40.3,34.5,2797,81,64,3261,18,17,6,8,14,36,304,0,0
Dave Jennings,40.2,33.8,2499,74,66,2978,23,7,13,8,10,36,319,1,0
Jimmy Colquitt,40.1,34.2,411,12,55,481,3,1,5,2,1,3,30,0,0
Ralph Giacomarro,39.9,33.1,960,29,52,1157,1,0,5,2,3,19,157,0,0
Max Runager,39.8,34.3,2948,87,57,3422,30,25,13,9,6,33,294,1,1
Harry Newsome,39.6,32.9,2568,79,59,3088,17,15,5,7,8,43,380,0,1
Joe Prokop,39.5,32.6,1825,56,66,2210,9,8,6,6,6,30,265,0,0
Jeff West,38.2,28.3,311,11,52,420,0,0,1,3,1,6,49,0,0
Jay Schroeder,33,25.5,102,4,44,132,0,0,1,1,1,1,10,0,0
Jim Breech,30.6,26.8,134,5,43,153,2,2,2,0,0,1,19,0,0
Mick Luckhurst,26,26,26,1,26,26,1,1,0,0,0,0,0,0,0
Tim Smith,26,26,26,1,26,26,1,0,0,0,1,0,0,0,0
Joe Theismann,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
